name01	label01	datazone	name	add	add_source	gctwt
60QS004939	60QS004939	S01009983	Glenwood North - 04	39	61	.639344262295082
60QS004939	60QS004939	S01009984	Glenwood North - 05	22	61	.360655737704918
60QS004940	60QS004940	S01009983	Glenwood North - 04	39	39	1
60QS004941	60QS004941	S01009985	Glenwood North - 06	45	45	1
60QS004942	60QS004942	S01009983	Glenwood North - 04	70	70	1
60QS004943	60QS004943	S01009985	Glenwood North - 06	51	51	1
60QS004944	60QS004944	S01009985	Glenwood North - 06	77	77	1
60QS004945	60QS004945	S01009984	Glenwood North - 05	49	49	1
60QS004946	60QS004946	S01009985	Glenwood North - 06	40	40	1
60QS004947	60QS004947	S01009763	Darnley East - 06	2	2	1
60QS004948	60QS004948	S01009763	Darnley East - 06	22	22	1
60QS004949	60QS004949	S01009758	Darnley East - 01	59	59	1
60QS004950	60QS004950	S01009758	Darnley East - 01	2	33	.0606060606060606
60QS004950	60QS004950	S01009761	Darnley East - 04	31	33	.939393939393939
