"output_area","ALL PEOPLE","In an unshared dwelling","House or bungalow","     Detached","     Semi-detached","     Terraced (including end-terrace)","  Flat, maisonette or apartment","     In a purpose-built block of flats","     Part of a converted or shared house","     In a commercial building","  Caravan or other mobile or temporary structure","In a shared dwelling"
"60QA000273",81,81,79,40,39,0,2,2,0,0,0,0
"60QA000274",149,149,144,7,122,15,5,5,0,0,0,0
"60QA000275",144,144,139,17,89,33,5,5,0,0,0,0
"60QA000276",147,147,69,0,7,62,77,49,24,4,1,0
"60QA000277",120,120,73,13,38,22,46,17,28,1,1,0
"60QA000278",126,115,112,18,25,69,3,0,3,0,0,11
"60QA000279",124,124,90,20,70,0,32,27,2,3,2,0
"60QA000280",133,133,111,43,39,29,22,10,12,0,0,0
"60QA000281",101,101,45,1,13,31,56,46,10,0,0,0
"60QA000282",97,97,66,6,12,48,31,12,19,0,0,0
"60QA000283",126,121,53,10,18,25,68,33,35,0,0,5
"60QA000284",91,91,39,0,0,39,52,49,3,0,0,0
"60QA000285",61,61,21,0,9,12,40,26,14,0,0,0
"60QA000286",145,145,82,20,34,28,63,46,17,0,0,0
"60QA000287",152,152,25,11,12,2,127,102,25,0,0,0
"60QA000288",86,86,12,1,2,9,74,73,1,0,0,0
"60QA000289",56,56,3,0,3,0,53,48,5,0,0,0
"60QA000290",118,118,51,14,9,28,67,43,22,2,0,0
"60QA000291",85,85,9,4,4,1,76,52,7,17,0,0
"60QA000292",109,109,37,2,25,10,72,57,15,0,0,0
"60QA000293",65,65,1,0,0,1,62,54,6,2,2,0
"60QA000294",111,111,11,0,8,3,100,95,5,0,0,0
"60QA000295",82,82,9,0,7,2,73,71,2,0,0,0
"60QA000296",119,116,42,7,7,28,74,60,13,1,0,3
"60QA000297",92,92,67,18,22,27,25,6,19,0,0,0
"60QA000298",65,65,51,2,12,37,14,5,9,0,0,0
"60QA000299",75,75,16,1,0,15,59,51,8,0,0,0
"60QA000300",134,132,71,8,27,36,61,45,12,4,0,2
"60QA000301",55,55,2,1,1,0,53,53,0,0,0,0
"60QA000302",51,51,1,0,1,0,50,42,8,0,0,0
"60QA000303",183,183,176,8,114,54,7,6,1,0,0,0
"60QA000304",65,65,1,0,1,0,64,64,0,0,0,0
