"output_area","ALL PEOPLE","Good Health","Fairly Good Health","Not Good Health"
"60QC000898",181,127,38,16
"60QC000899",59,40,16,3
"60QC000900",134,93,25,16
"60QC000901",77,35,27,15
"60QC000902",106,64,37,5
"60QC000903",57,41,10,6
"60QC000904",137,111,18,8
"60QC000905",82,45,24,13
"60QC000906",54,24,17,13
"60QC000907",129,93,20,16
"60QC000908",56,38,8,10
"60QC000909",174,142,26,6
"60QC000910",108,78,19,11
"60QC000911",90,61,19,10
"60QC000912",181,126,43,12
"60QC000913",112,87,18,7
"60QC000914",127,104,19,4
"60QC000915",82,48,24,10
"60QC000916",468,353,84,31
"60QC000917",154,132,18,4
"60QC000918",111,87,20,4
"60QC000919",163,147,14,2
"60QC000920",137,112,21,4
"60QC000921",289,220,46,23
"60QC000922",121,96,18,7
"60QC000923",122,92,20,10
"60QC000924",158,129,22,7
"60QC000925",144,116,19,9
"60QC000926",103,94,6,3
"60QC000927",129,118,11,0
"60QC000928",196,173,20,3
"60QC000929",96,72,14,10
"60QC000930",118,94,20,4
"60QC000931",115,81,28,6
"60QD000001",53,36,12,5
"60QD000002",167,129,28,10
"60QD000003",54,39,8,7
"60QD000004",89,71,16,2
"60QD000005",134,101,23,10
"60QD000006",128,74,40,14
"60QD000007",101,62,28,11
"60QD000008",67,45,16,6
"60QD000009",128,99,21,8
"60QD000010",61,33,23,5
"60QD000011",51,34,11,6
"60QD000012",105,66,35,4
"60QD000013",63,33,24,6
"60QD000014",144,97,32,15
"60QD000015",109,82,17,10
"60QD000016",188,142,29,17
"60QD000017",73,51,14,8
"60QD000018",59,43,15,1
"60QD000019",120,78,30,12
"60QD000020",74,47,21,6
"60QD000021",106,65,29,12
"60QD000022",192,127,48,17
"60QD000023",139,82,37,20
"60QD000024",130,85,36,9
"60QD000025",61,31,21,9
"60QD000026",135,82,38,15
"60QD000027",58,41,13,4
"60QD000028",159,96,44,19
"60QD000029",103,67,25,11
"60QD000030",135,72,45,18
"60QD000031",71,53,15,3
"60QD000032",96,63,17,16
"60QD000033",153,108,37,8
"60QD000034",97,66,19,12
"60QD000035",160,123,23,14
"60QD000036",56,32,19,5
"60QD000037",106,70,26,10
"60QD000038",141,79,46,16
"60QD000039",110,80,20,10
"60QD000040",81,54,23,4
"60QD000041",128,80,40,8
"60QD000042",129,84,37,8
"60QD000043",103,79,17,7
"60QD000044",55,40,10,5
"60QD000045",105,77,18,10
"60QD000046",123,80,35,8
"60QD000047",149,95,43,11
"60QD000048",69,50,10,9
"60QD000049",112,86,20,6
"60QD000050",132,102,25,5
"60QD000051",77,44,23,10
"60QD000052",191,132,34,25
"60QD000053",112,75,30,7
"60QD000054",180,123,39,18
"60QD000055",70,55,10,5
"60QD000056",77,64,8,5
"60QD000057",80,62,11,7
"60QD000058",153,125,24,4
"60QD000059",160,126,19,15
"60QD000060",123,96,25,2
"60QD000061",127,100,24,3
"60QD000062",238,172,47,19
"60QD000063",134,102,20,12
"60QD000064",164,114,40,10
"60QD000065",108,82,25,1
"60QD000066",120,77,35,8
"60QD000067",186,135,34,17
"60QD000068",179,116,46,17
"60QD000069",184,141,34,9
"60QD000070",81,44,22,15
"60QD000071",122,92,23,7
"60QD000072",105,70,30,5
"60QD000073",136,104,24,8
"60QD000074",93,68,17,8
"60QD000075",115,80,23,12
"60QD000076",114,89,16,9
"60QD000077",144,96,34,14
"60QD000078",112,81,22,9
"60QD000079",105,84,14,7
"60QD000080",98,64,26,8
"60QD000081",125,104,16,5
"60QD000082",144,111,24,9
"60QD000083",167,111,42,14
"60QD000084",95,59,28,8
"60QD000085",130,88,37,5
"60QD000086",99,79,16,4
"60QD000087",77,57,13,7
"60QD000088",130,94,25,11
"60QD000089",72,52,12,8
"60QD000090",91,66,20,5
"60QD000091",145,91,38,16
"60QD000092",103,85,13,5
"60QD000093",173,125,40,8
"60QD000094",101,73,20,8
"60QD000095",123,93,22,8
"60QD000096",116,92,17,7
"60QD000097",191,120,54,17
"60QD000098",167,109,49,9
"60QD000099",89,61,20,8
"60QD000100",138,99,34,5
"60QD000101",110,66,39,5
"60QD000102",185,116,57,12
"60QD000103",96,64,21,11
"60QD000104",92,62,19,11
"60QD000105",71,49,16,6
"60QD000106",124,98,20,6
"60QD000107",69,49,11,9
"60QD000108",99,72,25,2
"60QD000109",134,106,22,6
"60QD000110",125,87,27,11
"60QD000111",85,46,29,10
"60QD000112",83,41,28,14
"60QD000113",144,95,37,12
"60QD000114",71,51,13,7
"60QD000115",117,82,23,12
"60QD000116",78,51,21,6
"60QD000117",136,95,30,11
"60QD000118",84,51,22,11
"60QD000119",90,59,22,9
"60QD000120",130,105,24,1
"60QD000121",56,35,14,7
"60QD000122",66,41,18,7
"60QD000123",79,50,23,6
"60QD000124",125,96,24,5
"60QD000125",68,47,19,2
"60QD000126",69,45,19,5
"60QD000127",87,61,20,6
"60QD000128",66,44,19,3
"60QD000129",119,84,25,10
"60QD000130",160,116,34,10
"60QD000131",52,18,22,12
"60QD000132",54,34,14,6
"60QD000133",95,63,27,5
"60QD000134",81,50,22,9
"60QD000135",83,59,16,8
"60QD000136",67,54,11,2
"60QD000137",91,71,17,3
"60QD000138",130,104,21,5
"60QD000139",53,39,11,3
"60QD000140",129,99,18,12
"60QD000141",99,73,17,9
"60QD000142",102,78,18,6
"60QD000143",103,77,19,7
"60QD000144",126,98,24,4
"60QD000145",115,79,25,11
"60QD000146",85,71,9,5
"60QD000147",119,71,35,13
"60QD000148",159,113,39,7
"60QD000149",76,57,15,4
"60QD000150",70,60,8,2
"60QD000151",81,64,12,5
"60QD000152",154,123,17,14
"60QD000153",76,57,14,5
"60QD000154",123,93,24,6
"60QD000155",157,110,31,16
"60QD000156",202,127,54,21
"60QD000157",186,129,43,14
"60QD000158",86,45,24,17
"60QD000159",68,41,16,11
"60QD000160",73,35,27,11
"60QD000161",124,89,28,7
"60QD000162",165,115,39,11
"60QD000163",117,75,36,6
"60QD000164",106,74,14,18
"60QD000165",129,82,38,9
"60QD000166",99,56,37,6
"60QD000167",91,58,27,6
"60QD000168",82,54,21,7
"60QD000169",74,32,33,9
"60QD000170",123,86,27,10
"60QD000171",71,40,22,9
"60QD000172",80,45,24,11
"60QD000173",74,44,18,12
"60QD000174",134,82,35,17
"60QD000175",131,77,34,20
"60QD000176",147,105,36,6
"60QD000177",157,114,32,11
"60QD000178",99,60,26,13
"60QD000179",109,80,19,10
"60QD000180",170,123,32,15
"60QD000181",104,54,33,17
"60QD000182",85,49,27,9
"60QD000183",103,66,26,11
"60QD000184",74,54,13,7
"60QD000185",127,80,37,10
"60QD000186",101,65,27,9
"60QD000187",109,78,26,5
"60QD000188",93,38,31,24
"60QD000189",70,40,20,10
"60QD000190",112,78,25,9
"60QD000191",52,37,12,3
"60QD000192",160,102,38,20
"60QD000193",166,125,34,7
"60QD000194",121,81,28,12
"60QD000195",113,73,33,7
"60QD000196",130,94,19,17
"60QD000197",132,80,35,17
"60QD000198",131,82,36,13
"60QD000199",59,31,20,8
"60QD000200",174,98,60,16
"60QD000201",124,85,28,11
"60QD000202",179,112,54,13
"60QD000203",108,66,25,17
"60QD000204",127,79,30,18
"60QD000205",188,125,43,20
"60QD000206",192,136,42,14
"60QD000207",91,53,23,15
"60QD000208",78,57,14,7
"60QD000209",130,110,18,2
"60QD000210",74,44,20,10
"60QD000211",119,80,28,11
"60QD000212",125,85,27,13
"60QD000213",71,25,26,20
"60QD000214",157,105,42,10
"60QD000215",78,37,20,21
"60QD000216",111,65,31,15
"60QD000217",119,90,15,14
"60QD000218",103,80,15,8
"60QD000219",112,91,19,2
"60QD000220",131,90,29,12
"60QD000221",103,60,30,13
"60QD000222",67,46,15,6
"60QD000223",143,91,45,7
"60QD000224",90,64,24,2
"60QD000225",135,77,40,18
"60QD000226",117,69,32,16
"60QD000227",126,68,35,23
"60QD000228",113,65,28,20
"60QD000229",61,38,15,8
"60QD000230",130,77,32,21
"60QD000231",70,26,29,15
"60QD000232",130,83,35,12
"60QD000233",124,76,34,14
"60QD000234",137,74,44,19
"60QD000235",136,94,35,7
"60QD000236",80,34,36,10
"60QD000237",51,30,15,6
"60QD000238",131,87,31,13
"60QD000239",125,65,37,23
"60QD000240",98,66,26,6
"60QD000241",90,61,18,11
"60QD000242",65,39,20,6
"60QD000243",86,56,24,6
"60QD000244",94,49,27,18
"60QD000245",98,63,30,5
"60QD000246",173,128,33,12
"60QD000247",117,72,26,19
"60QD000248",122,84,28,10
"60QD000249",148,101,38,9
"60QD000250",122,79,33,10
"60QD000251",94,58,27,9
"60QD000252",85,70,11,4
"60QD000253",107,76,23,8
"60QD000254",141,79,44,18
"60QD000255",86,44,27,15
"60QD000256",155,105,35,15
"60QD000257",118,69,32,17
"60QD000258",55,23,18,14
"60QD000259",84,46,24,14
"60QD000260",80,63,12,5
"60QD000261",55,36,9,10
"60QD000262",204,137,39,28
"60QD000263",103,64,30,9
"60QD000264",76,49,19,8
"60QD000265",129,101,19,9
"60QD000266",107,80,22,5
"60QD000267",108,71,22,15
"60QD000268",72,50,20,2
"60QD000269",101,75,20,6
"60QD000270",92,57,28,7
"60QD000271",77,39,23,15
"60QD000272",58,39,13,6
"60QD000273",62,31,20,11
"60QD000274",77,49,16,12
"60QD000275",62,39,14,9
"60QD000276",79,60,15,4
"60QD000277",75,52,21,2
"60QD000278",120,76,34,10
"60QD000279",175,122,37,16
"60QD000280",134,102,24,8
"60QD000281",131,77,42,12
"60QD000282",115,71,31,13
"60QD000283",76,39,21,16
"60QD000284",106,63,32,11
"60QD000285",125,68,30,27
"60QD000286",116,72,26,18
"60QD000287",116,84,19,13
"60QD000288",232,132,66,34
"60QD000289",166,104,35,27
"60QD000290",103,54,28,21
"60QD000291",186,108,52,26
"60QD000292",178,95,44,39
"60QD000293",86,57,17,12
"60QD000294",92,60,21,11
"60QD000295",85,52,21,12
"60QD000296",176,139,24,13
"60QD000297",108,69,30,9
"60QD000298",117,67,36,14
"60QD000299",99,57,31,11
"60QD000300",90,47,32,11
"60QD000301",111,62,36,13
"60QD000302",79,40,26,13
"60QD000303",77,31,35,11
"60QD000304",93,46,28,19
"60QD000305",124,77,27,20
"60QD000306",93,50,29,14
"60QD000307",83,47,24,12
"60QD000308",87,54,25,8
"60QD000309",99,63,22,14
"60QD000310",70,20,17,33
"60QD000311",108,67,21,20
"60QD000312",103,54,34,15
"60QD000313",128,89,22,17
"60QD000314",109,63,31,15
"60QD000315",86,48,19,19
"60QD000316",107,62,27,18
"60QD000317",80,50,11,19
"60QD000318",168,109,44,15
"60QD000319",112,72,20,20
"60QD000320",92,51,24,17
"60QD000321",141,102,28,11
"60QD000322",97,74,17,6
"60QD000323",111,63,27,21
"60QD000324",85,55,23,7
"60QD000325",136,80,42,14
"60QD000326",163,114,30,19
"60QD000327",87,43,28,16
"60QD000328",76,39,28,9
"60QD000329",123,71,32,20
"60QD000330",116,58,42,16
"60QD000331",124,78,37,9
"60QD000332",109,72,22,15
"60QD000333",171,133,26,12
"60QD000334",55,36,11,8
"60QD000335",129,98,21,10
"60QD000336",90,65,19,6
"60QD000337",85,44,25,16
"60QD000338",85,64,17,4
"60QD000339",121,107,11,3
"60QD000340",179,142,27,10
"60QD000341",98,76,15,7
"60QD000342",102,72,20,10
"60QD000343",134,100,25,9
"60QD000344",122,93,20,9
"60QD000345",127,84,32,11
"60QD000346",92,55,26,11
"60QD000347",114,79,21,14
"60QD000348",101,70,28,3
"60QD000349",101,83,11,7
"60QD000350",147,111,22,14
"60QD000351",98,62,30,6
"60QD000352",133,105,21,7
"60QD000353",86,66,12,8
"60QD000354",127,87,22,18
"60QD000355",72,52,15,5
"60QD000356",149,117,26,6
"60QD000357",77,53,20,4
"60QD000358",158,115,31,12
"60QD000359",159,113,41,5
"60QD000360",161,138,18,5
"60QD000361",170,145,22,3
"60QD000362",114,99,13,2
"60QD000363",226,175,43,8
"60QD000364",184,142,31,11
"60QD000365",134,104,26,4
"60QD000366",87,70,13,4
"60QD000367",75,53,12,10
"60QD000368",114,74,27,13
"60QD000369",79,50,24,5
"60QD000370",121,87,25,9
"60QD000371",119,74,34,11
"60QD000372",103,73,24,6
"60QD000373",94,78,12,4
"60QD000374",133,97,27,9
"60QD000375",137,95,29,13
"60QD000376",138,76,21,41
"60QD000377",58,28,17,13
"60QD000378",87,44,32,11
"60QD000379",84,46,30,8
"60QD000380",83,56,15,12
"60QD000381",69,36,24,9
"60QD000382",135,85,38,12
"60QD000383",140,101,20,19
"60QD000384",120,84,29,7
"60QD000385",116,67,24,25
"60QD000386",122,87,21,14
"60QD000387",120,83,25,12
"60QD000388",102,67,24,11
"60QD000389",145,120,22,3
"60QD000390",56,48,7,1
"60QD000391",111,84,25,2
"60QD000392",184,159,20,5
"60QD000393",54,44,10,0
"60QD000394",51,40,9,2
"60QD000395",93,59,25,9
"60QD000396",62,42,15,5
"60QD000397",110,77,26,7
"60QD000398",88,58,19,11
"60QD000399",82,67,13,2
"60QD000400",130,69,42,19
"60QD000401",125,70,37,18
"60QD000402",79,48,21,10
"60QD000403",151,110,33,8
"60QD000404",73,51,15,7
"60QD000405",82,57,15,10
"60QD000406",52,38,14,0
"60QD000407",112,65,33,14
"60QD000408",66,30,25,11
"60QD000409",96,52,35,9
"60QD000410",83,51,18,14
"60QD000411",136,95,23,18
"60QD000412",109,80,18,11
"60QD000413",131,86,32,13
"60QD000414",113,73,26,14
"60QD000415",129,96,22,11
"60QD000416",130,85,36,9
"60QD000417",91,47,34,10
"60QD000418",118,87,22,9
"60QD000419",122,86,25,11
"60QD000420",138,104,30,4
"60QD000421",145,122,18,5
"60QD000422",115,95,14,6
"60QD000423",117,61,37,19
"60QD000424",128,86,30,12
"60QD000425",105,72,26,7
"60QD000426",124,93,24,7
"60QD000427",142,83,22,37
"60QD000428",69,49,16,4
"60QD000429",109,77,21,11
"60QD000430",122,88,25,9
"60QD000431",99,69,22,8
"60QD000432",148,116,24,8
"60QD000433",180,139,33,8
"60QD000434",169,132,27,10
"60QD000435",147,129,15,3
"60QD000436",239,173,53,13
"60QD000437",181,126,40,15
"60QD000438",144,116,25,3
"60QD000439",150,123,18,9
"60QD000440",201,161,32,8
"60QD000441",124,102,20,2
"60QD000442",125,101,18,6
"60QD000443",186,144,33,9
"60QD000444",134,110,20,4
"60QD000445",116,87,24,5
"60QD000446",117,93,19,5
"60QD000447",223,184,30,9
"60QD000448",96,71,18,7
"60QD000449",77,57,15,5
"60QD000450",154,114,33,7
"60QD000451",139,112,21,6
"60QD000452",182,118,41,23
"60QD000453",204,154,18,32
"60QD000454",133,101,24,8
"60QD000455",59,37,15,7
"60QD000456",140,98,36,6
"60QD000457",120,99,18,3
"60QD000458",158,115,29,14
"60QD000459",125,97,23,5
"60QD000460",188,152,29,7
"60QD000461",157,117,28,12
"60QD000462",103,68,25,10
"60QD000463",131,103,14,14
"60QD000464",117,82,23,12
"60QD000465",171,119,33,19
"60QD000466",109,100,5,4
"60QD000467",128,111,13,4
"60QD000468",142,81,47,14
"60QD000469",115,74,32,9
"60QD000470",133,86,34,13
"60QD000471",93,60,21,12
"60QD000472",90,58,27,5
"60QD000473",67,46,13,8
"60QD000474",103,60,33,10
"60QD000475",152,112,30,10
"60QD000476",141,108,21,12
"60QD000477",216,161,43,12
"60QD000478",130,81,39,10
"60QD000479",141,91,35,15
"60QD000480",108,78,25,5
"60QD000481",164,105,41,18
"60QD000482",91,64,21,6
"60QD000483",140,106,22,12
"60QD000484",103,56,40,7
"60QD000485",52,32,16,4
"60QD000486",109,77,26,6
"60QD000487",142,86,39,17
"60QD000488",95,68,21,6
"60QD000489",110,59,30,21
"60QD000490",150,107,30,13
"60QD000491",150,97,42,11
"60QD000492",158,52,40,66
"60QD000493",112,85,18,9
"60QD000494",112,64,37,11
"60QD000495",137,93,27,17
"60QD000496",113,75,25,13
"60QD000497",173,107,52,14
"60QD000498",142,97,39,6
"60QD000499",137,79,45,13
"60QD000500",115,68,35,12
"60QD000501",149,123,22,4
"60QD000502",112,89,16,7
"60QD000503",143,115,24,4
"60QD000504",137,109,23,5
"60QD000505",127,96,22,9
"60QD000506",202,161,32,9
"60QD000507",126,81,29,16
"60QD000508",129,105,15,9
"60QD000509",86,67,15,4
"60QD000510",107,66,26,15
"60QD000511",95,60,27,8
"60QD000512",68,19,34,15
"60QD000513",114,68,31,15
"60QD000514",114,74,23,17
"60QD000515",105,69,22,14
"60QD000516",120,64,36,20
"60QD000517",113,79,21,13
"60QD000518",55,33,15,7
"60QD000519",117,80,26,11
"60QD000520",91,63,16,12
"60QD000521",95,55,29,11
"60QD000522",89,64,19,6
"60QD000523",192,125,58,9
"60QD000524",127,87,34,6
"60QD000525",236,177,53,6
"60QD000526",71,54,14,3
"60QD000527",62,45,14,3
"60QD000528",109,89,16,4
"60QD000529",132,96,22,14
"60QD000530",124,96,22,6
"60QD000531",137,99,30,8
"60QD000532",159,110,40,9
"60QD000533",153,124,23,6
"60QD000534",119,66,44,9
"60QD000535",120,86,26,8
"60QD000536",109,84,20,5
"60QD000537",95,60,29,6
"60QD000538",176,150,23,3
"60QD000539",102,70,25,7
"60QD000540",94,64,24,6
"60QD000541",133,87,35,11
"60QD000542",85,62,14,9
"60QD000543",197,133,52,12
"60QD000544",133,97,28,8
"60QD000545",192,96,66,30
"60QD000546",150,96,47,7
"60QD000547",169,120,29,20
"60QD000548",136,79,42,15
"60QD000549",192,152,32,8
"60QD000550",94,70,15,9
"60QD000551",150,109,32,9
"60QD000552",124,102,19,3
"60QD000553",54,44,10,0
"60QD000554",81,53,21,7
"60QD000555",199,143,46,10
"60QD000556",86,69,11,6
"60QD000557",67,40,16,11
"60QD000558",107,56,39,12
"60QD000559",117,86,24,7
"60QD000560",136,87,33,16
"60QD000561",173,126,30,17
"60QD000562",125,85,29,11
"60QD000563",141,101,31,9
"60QD000564",149,107,29,13
"60QD000565",78,53,16,9
"60QD000566",142,99,29,14
"60QD000567",101,77,19,5
"60QD000568",58,42,13,3
"60QD000569",167,124,32,11
"60QD000570",109,85,15,9
"60QD000571",164,109,45,10
"60QD000572",166,117,39,10
"60QD000573",146,90,44,12
"60QD000574",135,86,40,9
"60QD000575",140,113,21,6
"60QD000576",124,90,27,7
"60QD000577",109,78,18,13
"60QD000578",122,85,26,11
"60QD000579",134,93,29,12
"60QD000580",64,41,14,9
"60QD000581",113,75,30,8
"60QD000582",93,71,17,5
"60QD000583",63,38,17,8
"60QD000584",122,88,25,9
"60QD000585",113,82,26,5
"60QD000586",85,67,10,8
"60QD000587",90,64,22,4
"60QD000588",99,74,20,5
"60QD000589",70,52,16,2
"60QD000590",2357,1947,405,5
"60QD000591",115,77,27,11
"60QD000592",108,92,12,4
"60QD000593",129,80,33,16
"60QD000594",162,124,27,11
"60QD000595",67,44,20,3
"60QD000596",89,67,18,4
"60QD000597",53,37,7,9
"60QD000598",203,166,25,12
"60QD000599",83,20,25,38
"60QD000600",129,93,22,14
"60QD000601",63,39,17,7
"60QD000602",137,77,42,18
"60QD000603",79,50,18,11
"60QD000604",63,42,13,8
"60QD000605",57,39,13,5
"60QD000606",110,84,22,4
"60QD000607",84,60,16,8
"60QD000608",50,31,11,8
"60QD000609",65,42,17,6
"60QD000610",147,80,54,13
"60QD000611",60,40,16,4
"60QD000612",106,80,19,7
"60QD000613",70,46,17,7
"60QD000614",96,60,29,7
"60QD000615",60,42,15,3
"60QD000616",118,78,32,8
"60QD000617",58,25,25,8
"60QD000618",96,64,20,12
"60QD000619",89,57,22,10
"60QD000620",79,54,18,7
"60QD000621",108,58,35,15
"60QD000622",79,53,18,8
"60QD000623",74,57,11,6
"60QD000624",74,47,23,4
"60QD000625",137,92,33,12
"60QD000626",117,90,22,5
"60QD000627",53,27,16,10
"60QD000628",108,77,22,9
"60QD000629",117,89,19,9
"60QD000630",146,112,29,5
"60QD000631",102,81,16,5
"60QD000632",59,46,8,5
"60QD000633",56,45,10,1
"60QD000634",112,79,21,12
"60QD000635",158,132,21,5
"60QD000636",129,120,9,0
"60QD000637",79,63,14,2
"60QD000638",73,58,10,5
"60QD000639",128,104,21,3
"60QD000640",124,93,24,7
"60QD000641",79,66,10,3
"60QD000642",136,115,19,2
"60QD000643",128,80,12,36
"60QD000644",105,65,28,12
"60QD000645",67,56,8,3
"60QD000646",83,60,17,6
"60QD000647",139,113,18,8
"60QD000648",58,41,15,2
"60QD000649",85,62,18,5
"60QD000650",114,64,38,12
"60QD000651",75,53,15,7
"60QD000652",75,50,16,9
"60QD000653",96,76,15,5
"60QD000654",136,98,23,15
"60QD000655",108,90,14,4
"60QD000656",165,119,28,18
"60QD000657",145,110,21,14
"60QD000658",55,36,16,3
"60QD000659",99,81,14,4
"60QD000660",102,78,14,10
"60QD000661",70,61,8,1
"60QD000662",83,40,25,18
"60QD000663",96,76,17,3
"60QD000664",147,108,28,11
"60QD000665",114,89,20,5
"60QD000666",74,51,19,4
"60QD000667",98,73,19,6
"60QD000668",73,39,20,14
"60QD000669",157,92,42,23
"60QD000670",83,64,14,5
"60QD000671",207,140,48,19
"60QD000672",132,92,31,9
"60QD000673",51,30,11,10
"60QD000674",111,83,16,12
"60QD000675",89,56,18,15
"60QD000676",110,69,29,12
"60QD000677",63,35,18,10
"60QD000678",101,60,23,18
"60QD000679",96,39,37,20
"60QD000680",164,89,56,19
"60QD000681",85,59,17,9
"60QD000682",131,100,27,4
"60QD000683",65,39,20,6
"60QD000684",105,84,11,10
"60QD000685",122,93,19,10
"60QD000686",202,149,46,7
"60QD000687",108,71,30,7
"60QD000688",73,42,24,7
"60QD000689",99,66,15,18
"60QD000690",99,73,19,7
"60QD000691",87,67,13,7
"60QD000692",131,102,23,6
"60QD000693",121,88,26,7
"60QD000694",64,49,9,6
"60QD000695",84,58,19,7
"60QD000696",186,148,32,6
"60QD000697",100,64,30,6
"60QD000698",70,44,19,7
"60QD000699",73,46,21,6
"60QD000700",138,91,37,10
"60QD000701",87,68,12,7
"60QD000702",129,110,15,4
"60QD000703",71,50,18,3
"60QD000704",136,89,31,16
"60QD000705",305,182,95,28
"60QD000706",152,121,23,8
"60QD000707",94,77,15,2
"60QD000708",115,90,17,8
"60QD000709",89,62,20,7
"60QD000710",184,118,47,19
"60QD000711",52,31,12,9
"60QD000712",149,90,40,19
"60QD000713",153,119,26,8
"60QD000714",96,63,23,10
"60QD000715",98,56,34,8
"60QD000716",77,42,28,7
"60QD000717",113,81,22,10
"60QD000718",92,58,27,7
"60QD000719",108,79,22,7
"60QD000720",74,28,24,22
"60QD000721",67,46,18,3
"60QD000722",168,116,31,21
"60QD000723",124,52,33,39
"60QD000724",96,63,27,6
"60QD000725",148,77,51,20
"60QD000726",53,37,8,8
"60QD000727",114,63,33,18
"60QD000728",67,40,18,9
"60QD000729",93,69,18,6
"60QD000730",54,34,13,7
"60QD000731",50,29,15,6
"60QD000732",98,42,24,32
"60QD000733",106,56,34,16
"60QD000734",102,49,33,20
"60QD000735",106,83,16,7
"60QD000736",93,46,29,18
"60QD000737",72,38,21,13
"60QD000738",67,38,20,9
"60QD000739",106,88,15,3
"60QD000740",130,97,26,7
"60QD000741",79,52,23,4
"60QD000742",72,34,31,7
"60QD000743",82,74,6,2
"60QD000744",116,54,40,22
"60QD000745",144,101,35,8
"60QD000746",54,33,12,9
"60QD000747",109,64,36,9
"60QD000748",157,121,31,5
"60QD000749",122,82,30,10
"60QD000750",85,63,16,6
"60QD000751",176,97,53,26
"60QD000752",155,85,46,24
"60QD000753",62,40,15,7
"60QD000754",155,105,31,19
"60QD000755",128,106,16,6
"60QD000756",100,61,27,12
"60QD000757",116,77,25,14
"60QD000758",175,114,42,19
"60QD000759",149,91,43,15
"60QD000760",138,113,20,5
"60QD000761",156,122,27,7
"60QD000762",188,133,41,14
"60QD000763",79,62,14,3
"60QD000764",94,57,26,11
"60QD000765",66,45,16,5
"60QD000766",141,90,37,14
"60QD000767",75,49,14,12
"60QD000768",124,84,26,14
"60QD000769",119,95,19,5
"60QD000770",193,132,53,8
"60QD000771",94,63,24,7
"60QD000772",159,138,18,3
"60QD000773",128,89,25,14
"60QD000774",180,144,28,8
"60QD000775",76,57,10,9
"60QD000776",106,76,20,10
"60QD000777",138,67,41,30
"60QD000778",114,95,17,2
"60QD000779",67,42,17,8
"60QD000780",92,63,19,10
"60QD000781",98,63,22,13
"60QD000782",119,94,20,5
"60QD000783",63,51,8,4
"60QD000784",123,92,23,8
"60QD000785",105,87,15,3
"60QF000001",148,87,25,36
"60QF000002",59,46,7,6
"60QF000003",76,58,14,4
"60QF000004",160,122,32,6
"60QF000005",86,75,9,2
"60QF000006",66,60,6,0
"60QF000007",147,105,33,9
"60QF000008",112,96,15,1
"60QF000009",138,107,21,10
"60QF000010",145,61,57,27
"60QF000011",100,70,22,8
"60QF000012",132,95,30,7
"60QF000013",80,50,16,14
"60QF000014",84,39,27,18
"60QF000015",105,58,37,10
"60QF000016",104,53,29,22
"60QF000017",132,65,47,20
"60QF000018",134,105,20,9
"60QF000019",119,56,41,22
"60QF000020",190,109,54,27
"60QF000021",179,123,35,21
"60QF000022",134,79,32,23
"60QF000023",145,96,37,12
"60QF000024",99,60,26,13
"60QF000025",116,78,23,15
"60QF000026",85,58,19,8
"60QF000027",122,92,25,5
"60QF000028",127,89,29,9
"60QF000029",169,81,53,35
"60QF000030",166,106,33,27
"60QF000031",184,131,48,5
"60QF000032",106,63,33,10
"60QF000033",175,134,30,11
"60QF000034",143,100,27,16
"60QF000035",149,92,40,17
"60QF000036",117,72,23,22
"60QF000037",101,54,26,21
"60QF000038",118,72,31,15
"60QF000039",110,69,31,10
"60QF000040",164,106,40,18
"60QF000041",131,70,44,17
"60QF000042",154,93,41,20
"60QF000043",131,67,37,27
"60QF000044",154,85,48,21
"60QF000045",137,73,48,16
"60QF000046",105,62,30,13
"60QF000047",88,52,28,8
"60QF000048",97,61,30,6
"60QF000049",119,83,26,10
"60QF000050",118,86,30,2
"60QF000051",114,83,27,4
"60QF000052",139,93,35,11
"60QF000053",208,126,52,30
"60QF000054",84,31,32,21
"60QF000055",128,75,34,19
"60QF000056",94,58,21,15
"60QF000057",69,44,15,10
"60QF000058",74,39,17,18
"60QF000059",94,51,26,17
"60QF000060",109,75,22,12
"60QF000061",84,47,20,17
"60QF000062",90,49,29,12
"60QF000063",113,67,32,14
"60QF000064",112,77,22,13
"60QF000065",190,140,35,15
"60QF000066",51,28,15,8
"60QF000067",131,52,53,26
"60QF000068",132,98,21,13
"60QF000069",129,104,21,4
"60QF000070",89,46,28,15
"60QF000071",146,81,50,15
"60QF000072",180,119,46,15
"60QF000073",113,72,27,14
"60QF000074",150,81,53,16
"60QF000075",62,32,18,12
"60QF000076",131,79,30,22
"60QF000077",73,31,24,18
"60QF000078",94,59,30,5
"60QF000079",170,117,40,13
"60QF000080",162,91,42,29
"60QF000081",111,61,37,13
"60QF000082",138,106,29,3
"60QF000083",139,86,33,20
"60QF000084",159,119,29,11
"60QF000085",147,115,25,7
"60QF000086",135,107,17,11
"60QF000087",124,68,35,21
"60QF000088",112,64,38,10
"60QF000089",143,86,33,24
"60QF000090",108,57,28,23
"60QF000091",167,102,43,22
"60QF000092",140,71,39,30
"60QF000093",160,85,44,31
"60QF000094",118,61,38,19
"60QF000095",181,141,32,8
"60QF000096",160,102,41,17
"60QF000097",146,85,44,17
"60QF000098",151,95,30,26
"60QF000099",58,29,16,13
"60QF000100",149,92,45,12
"60QF000101",145,101,20,24
"60QF000102",184,115,41,28
"60QF000103",165,93,51,21
"60QF000104",167,108,38,21
"60QF000105",121,80,32,9
"60QF000106",114,68,23,23
"60QF000107",97,58,26,13
"60QF000108",63,42,17,4
"60QF000109",128,64,48,16
"60QF000110",122,61,42,19
"60QF000111",105,55,28,22
