"output_area","All people","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities not limited"
"S00089476",59,3,6,50
"S00089477",104,4,5,95
"S00089478",100,3,4,93
"S00089479",71,3,0,68
"S00089480",68,1,4,63
"S00089481",123,1,1,121
"S00089482",72,3,3,66
"S00089483",87,2,6,79
"S00089484",109,27,20,62
"S00089485",68,2,2,64
"S00089486",101,22,26,53
"S00089487",80,13,17,50
"S00089488",122,12,10,100
"S00089489",131,1,7,123
"S00089490",250,6,9,235
"S00089491",109,2,7,100
"S00089492",71,13,12,46
"S00089493",74,6,10,58
"S00089494",74,23,14,37
"S00089495",69,8,9,52
"S00089496",68,14,12,42
"S00089497",213,7,10,196
"S00089498",124,11,9,104
"S00089499",71,6,8,57
"S00089500",91,6,9,76
"S00089501",146,9,15,122
"S00089502",135,11,8,116
"S00089503",62,30,21,11
"S00089504",59,24,14,21
"S00089505",64,18,20,26
"S00089506",88,8,7,73
"S00089507",93,7,11,75
"S00089508",107,10,14,83
"S00089509",51,6,0,45
"S00089510",128,12,5,111
"S00089511",88,11,9,68
"S00089512",58,3,8,47
"S00089513",126,10,13,103
"S00089514",103,11,10,82
"S00089515",268,8,18,242
"S00089516",107,11,10,86
"S00089517",73,14,13,46
"S00089518",171,23,27,121
"S00089519",118,15,22,81
"S00089520",91,7,7,77
"S00089521",131,8,24,99
"S00089522",116,6,8,102
"S00089523",101,9,19,73
"S00089524",99,17,11,71
"S00089525",78,5,14,59
"S00089526",109,23,24,62
"S00089527",107,35,30,42
"S00089528",91,17,11,63
"S00089529",118,15,18,85
"S00089530",67,1,7,59
"S00089531",82,9,11,62
"S00089532",110,13,9,88
"S00089533",79,9,9,61
"S00089534",120,9,12,99
"S00089535",86,12,4,70
"S00089536",114,11,17,86
"S00089537",76,9,9,58
"S00089538",88,14,14,60
"S00089539",79,10,9,60
"S00089540",97,5,10,82
"S00089541",96,9,13,74
"S00089542",124,2,3,119
"S00089543",80,14,14,52
"S00089544",102,2,10,90
"S00089545",62,28,17,17
"S00089546",107,8,6,93
"S00089547",143,15,18,110
"S00089548",161,11,10,140
"S00089549",98,14,11,73
"S00089550",101,8,9,84
"S00089551",76,14,15,47
"S00089552",77,2,3,72
"S00089553",101,41,10,50
"S00089554",69,5,7,57
"S00089555",141,11,16,114
"S00089556",80,6,2,72
"S00089557",138,14,6,118
"S00089558",125,6,8,111
"S00089559",154,10,13,131
"S00089560",78,5,12,61
"S00089561",101,7,10,84
"S00089562",111,12,12,87
"S00089563",76,9,7,60
"S00089564",98,5,7,86
"S00089565",147,14,17,116
"S00089566",140,6,15,119
"S00089567",174,13,14,147
"S00089568",177,14,13,150
"S00089569",111,17,25,69
"S00089570",137,6,14,117
"S00089571",150,5,11,134
"S00089572",76,8,3,65
"S00089573",103,7,9,87
"S00089574",80,4,3,73
"S00089575",72,2,4,66
"S00089576",126,4,9,113
"S00089577",89,7,9,73
"S00089578",109,15,6,88
"S00089579",88,5,5,78
"S00089580",109,3,14,92
"S00089581",89,8,5,76
"S00089582",120,5,5,110
"S00089583",134,15,24,95
"S00089584",66,15,11,40
"S00089585",131,8,11,112
"S00089586",108,6,4,98
"S00089587",69,10,8,51
"S00089588",88,8,12,68
"S00089589",87,7,9,71
"S00089590",107,6,14,87
"S00089591",120,10,12,98
"S00089592",95,8,10,77
"S00089593",120,13,13,94
"S00089594",82,2,3,77
"S00089595",143,11,13,119
"S00089596",100,7,11,82
"S00089597",128,9,9,110
"S00089598",58,4,8,46
"S00089599",130,11,11,108
"S00089600",53,3,6,44
"S00089601",71,3,7,61
"S00089602",123,12,12,99
"S00089603",91,12,9,70
"S00089604",75,6,4,65
"S00089605",139,9,19,111
"S00089606",125,8,16,101
"S00089607",148,2,4,142
"S00089608",61,18,11,32
"S00089609",105,8,3,94
"S00089610",134,17,14,103
"S00089611",85,14,11,60
"S00089612",93,8,8,77
"S00089613",62,11,6,45
"S00089614",175,11,11,153
"S00089615",122,13,13,96
"S00089616",125,9,11,105
"S00089617",156,3,9,144
"S00089618",118,5,7,106
"S00089619",132,3,6,123
"S00089620",153,8,9,136
"S00089621",51,22,9,20
"S00089622",84,11,9,64
"S00089623",104,10,13,81
"S00089624",75,4,3,68
"S00089625",112,4,5,103
"S00089626",157,4,7,146
"S00089627",70,1,7,62
"S00089628",112,0,10,102
"S00089629",169,5,13,151
"S00089630",107,10,11,86
"S00089631",115,7,17,91
"S00089632",111,5,7,99
"S00089633",409,17,27,365
"S00089634",105,4,11,90
"S00089635",60,2,0,58
"S00089636",124,7,12,105
"S00089637",60,2,4,54
"S00089638",101,4,3,94
"S00089639",94,2,2,90
"S00089640",122,3,10,109
"S00089641",61,2,7,52
"S00089642",68,3,3,62
"S00089643",132,4,9,119
"S00089644",181,9,11,161
"S00089645",160,4,17,139
"S00089646",131,24,14,93
"S00089647",148,2,5,141
"S00089648",66,1,3,62
"S00089649",107,17,16,74
"S00089650",134,5,9,120
"S00089651",400,5,21,374
"S00089652",145,2,10,133
"S00089653",114,3,8,103
"S00089654",103,4,4,95
"S00089655",84,4,1,79
"S00089656",85,0,2,83
"S00089657",73,4,3,66
"S00089658",121,2,6,113
"S00089659",218,2,9,207
"S00089660",129,4,4,121
"S00089661",126,10,9,107
"S00089662",95,10,10,75
"S00089663",117,1,7,109
"S00089664",68,4,4,60
"S00089665",102,1,3,98
