"output_area","ALL PEOPLE","Economically active","   Employee total","     Employee Part-time","     Employee Full-time","   Self-employed with employees total","     Self-employed with employees - Part-time","     Self-employed with employees - Full-time","   Self-employed without employees total","     Self-employed without employees - Part-time","     Self-employed without employees - Full-time","     Unemployed","     Full-time students","Economically inactive","     Retired","     Student","     Looking after home/family","     Permanently sick/disabled","     Other"
"60QJ000455",80,53,45,10,35,2,0,2,0,0,0,5,1,27,12,2,1,7,5
"60QJ000456",95,42,38,9,29,0,0,0,0,0,0,4,0,53,32,9,0,10,2
"60QJ000457",93,50,44,12,32,1,0,1,0,0,0,5,0,43,34,0,1,6,2
"60QJ000458",66,39,32,3,29,0,0,0,1,0,1,4,2,27,14,1,0,10,2
"60QJ000459",119,98,77,20,57,5,1,4,3,0,3,3,10,21,9,4,2,4,2
"60QJ000460",66,33,24,11,13,0,0,0,1,0,1,7,1,33,6,1,8,8,10
"60QJ000461",96,61,49,14,35,1,0,1,1,0,1,9,1,35,8,3,6,12,6
"60QJ000462",103,64,50,16,34,2,0,2,1,0,1,9,2,39,10,1,15,8,5
"60QJ000463",62,38,33,7,26,0,0,0,1,1,0,3,1,24,10,2,4,7,1
"60QJ000464",115,80,67,14,53,2,1,1,2,1,1,6,3,35,17,4,4,10,0
"60QJ000465",71,36,31,7,24,2,0,2,1,0,1,1,1,35,13,1,8,6,7
"60QJ000466",108,57,46,13,33,1,1,0,4,2,2,5,1,51,12,5,12,18,4
"60QJ000467",102,73,57,12,45,0,0,0,3,1,2,9,4,29,7,4,5,11,2
"60QJ000468",133,100,82,19,63,2,0,2,5,3,2,4,7,33,12,4,4,6,7
"60QJ000469",94,68,58,9,49,2,1,1,3,0,3,0,5,26,14,3,5,2,2
"60QJ000470",91,46,36,6,30,0,0,0,4,2,2,4,2,45,22,8,6,5,4
"60QJ000471",45,29,23,6,17,0,0,0,1,0,1,1,4,16,8,3,2,0,3
"60QJ000472",99,58,54,7,47,1,1,0,2,1,1,1,0,41,26,2,1,11,1
"60QJ000473",103,61,50,9,41,0,0,0,0,0,0,8,3,42,14,6,5,14,3
"60QJ000474",100,67,46,8,38,3,1,2,7,5,2,8,3,33,11,6,5,7,4
"60QJ000475",96,42,39,9,30,0,0,0,0,0,0,1,2,54,34,2,3,13,2
"60QJ000476",82,48,37,11,26,2,0,2,4,0,4,4,1,34,19,0,3,8,4
"60QJ000477",68,44,37,16,21,1,0,1,0,0,0,4,2,24,11,0,3,9,1
"60QJ000478",105,69,60,11,49,1,0,1,3,0,3,0,5,36,22,3,1,7,3
"60QJ000479",88,61,54,8,46,0,0,0,2,0,2,2,3,27,9,1,5,10,2
"60QJ000480",85,49,43,13,30,1,0,1,0,0,0,2,3,36,18,1,5,7,5
"60QJ000481",95,52,44,12,32,0,0,0,4,1,3,3,1,43,21,3,5,10,4
"60QJ000482",104,68,62,18,44,0,0,0,3,3,0,0,3,36,19,5,2,8,2
"60QJ000483",101,67,61,8,53,1,0,1,0,0,0,4,1,34,22,2,1,6,3
"60QJ000484",112,77,71,14,57,2,1,1,0,0,0,2,2,35,15,4,2,7,7
"60QJ000485",106,80,71,8,63,0,0,0,4,2,2,3,2,26,18,0,3,4,1
"60QJ000486",86,70,63,6,57,1,0,1,5,0,5,0,1,16,5,1,4,3,3
"60QJ000487",103,66,59,13,46,2,0,2,2,0,2,0,3,37,23,5,1,5,3
"60QJ000488",83,72,63,12,51,2,1,1,0,0,0,1,6,11,2,5,2,1,1
"60QJ000489",84,52,40,11,29,1,0,1,3,1,2,7,1,32,13,5,4,9,1
"60QJ000490",73,48,40,9,31,2,0,2,3,1,2,3,0,25,15,1,1,6,2
"60QJ000491",94,55,46,13,33,2,0,2,2,0,2,2,3,39,22,2,4,10,1
"60QJ000492",89,56,43,7,36,3,0,3,6,2,4,1,3,33,18,3,3,6,3
"60QJ000493",69,48,44,6,38,0,0,0,3,1,2,0,1,21,16,1,1,3,0
"60QJ000494",145,108,88,21,67,5,0,5,4,1,3,6,5,37,17,6,4,5,5
"60QJ000495",132,97,74,18,56,9,0,9,6,1,5,4,4,35,20,3,3,6,3
"60QJ000496",125,93,87,15,72,2,1,1,1,0,1,2,1,32,15,5,4,3,5
"60QJ000497",64,39,30,6,24,0,0,0,3,2,1,1,5,25,20,2,2,0,1
"60QJ000498",98,56,42,11,31,2,1,1,1,0,1,8,3,42,14,3,6,16,3
"60QJ000499",93,61,47,14,33,0,0,0,5,2,3,2,7,32,16,4,3,6,3
"60QJ000500",98,45,39,12,27,1,0,1,0,0,0,5,0,53,25,7,1,13,7
"60QJ000501",101,75,57,18,39,2,1,1,3,1,2,9,4,26,5,5,5,6,5
"60QJ000502",80,55,45,11,34,0,0,0,1,0,1,7,2,25,2,2,5,11,5
"60QJ000503",91,61,48,11,37,1,0,1,1,1,0,9,2,30,9,3,8,8,2
"60QJ000504",128,82,63,18,45,2,2,0,5,1,4,7,5,46,8,8,9,17,4
"60QJ000505",93,57,40,4,36,1,0,1,4,0,4,7,5,36,15,5,7,6,3
"60QJ000506",108,68,61,15,46,2,0,2,0,0,0,1,4,40,13,7,4,11,5
"60QJ000507",74,47,44,9,35,0,0,0,2,0,2,0,1,27,17,3,3,3,1
"60QJ000508",120,91,76,13,63,6,0,6,4,2,2,3,2,29,12,2,3,10,2
"60QJ000509",100,69,61,14,47,1,0,1,1,0,1,4,2,31,7,6,6,11,1
"60QJ000510",86,52,41,10,31,0,0,0,1,0,1,9,1,34,3,4,8,12,7
"60QJ000511",104,59,36,9,27,1,0,1,1,0,1,17,4,45,10,4,13,10,8
"60QJ000512",86,55,41,14,27,0,0,0,1,1,0,8,5,31,4,2,10,9,6
"60QJ000513",154,104,90,17,73,3,2,1,5,2,3,3,3,50,15,10,8,14,3
"60QJ000514",102,64,51,17,34,2,1,1,0,0,0,7,4,38,18,5,3,8,4
"60QJ000515",88,52,41,13,28,0,0,0,0,0,0,7,4,36,15,1,5,12,3
"60QJ000516",86,56,46,9,37,0,0,0,3,1,2,7,0,30,6,3,9,11,1
"60QJ000517",106,64,49,12,37,0,0,0,0,0,0,11,4,42,6,3,14,15,4
"60QJ000518",73,45,33,8,25,0,0,0,1,0,1,9,2,28,5,5,5,6,7
"60QJ000519",78,40,36,13,23,0,0,0,0,0,0,2,2,38,4,3,11,15,5
"60QJ000520",111,63,49,12,37,1,0,1,1,1,0,7,5,48,16,8,6,14,4
"60QJ000521",115,69,52,12,40,2,0,2,4,1,3,8,3,46,9,8,11,13,5
"60QJ000522",104,71,54,18,36,0,0,0,1,0,1,11,5,33,3,8,11,6,5
"60QJ000523",79,41,30,8,22,0,0,0,0,0,0,10,1,38,8,4,4,16,6
"60QJ000524",139,89,59,19,40,2,1,1,2,0,2,19,7,50,10,3,17,17,3
"60QJ000525",128,70,45,15,30,1,0,1,2,1,1,19,3,58,5,11,16,12,14
"60QJ000526",91,49,25,10,15,2,0,2,3,0,3,18,1,42,8,0,11,14,9
"60QJ000527",78,46,34,12,22,0,0,0,2,0,2,9,1,32,6,8,7,9,2
"60QJ000528",79,40,34,13,21,0,0,0,1,0,1,5,0,39,6,5,4,15,9
"60QJ000529",82,38,34,5,29,0,0,0,0,0,0,4,0,44,8,9,10,11,6
"60QJ000530",47,20,16,5,11,0,0,0,0,0,0,4,0,27,12,3,1,9,2
"60QJ000531",62,34,23,7,16,2,1,1,0,0,0,4,5,28,10,2,0,13,3
"60QJ000532",84,40,31,5,26,1,0,1,2,1,1,5,1,44,29,0,0,14,1
"60QJ000533",95,54,39,5,34,0,0,0,1,1,0,10,4,41,6,6,5,15,9
"60QJ000534",91,43,33,10,23,0,0,0,1,0,1,3,6,48,17,5,5,14,7
"60QJ000535",48,33,26,5,21,0,0,0,2,1,1,3,2,15,5,3,0,4,3
"60QJ000536",95,35,24,4,20,0,0,0,1,1,0,7,3,60,21,7,4,18,10
"60QJ000537",102,60,45,13,32,1,0,1,2,1,1,6,6,42,11,4,8,14,5
"60QJ000538",90,58,42,3,39,2,0,2,0,0,0,11,3,32,8,7,4,9,4
"60QJ000539",106,51,28,3,25,2,0,2,0,0,0,4,17,55,1,43,2,5,4
"60QJ000540",62,26,17,5,12,0,0,0,1,0,1,4,4,36,14,3,3,9,7
"60QJ000541",126,75,54,15,39,1,0,1,0,0,0,11,9,51,14,13,3,14,7
"60QJ000542",56,34,16,3,13,0,0,0,0,0,0,12,6,22,1,6,9,2,4
"60QJ000543",82,57,45,10,35,0,0,0,0,0,0,4,8,25,5,3,4,7,6
"60QJ000544",74,55,44,8,36,1,0,1,0,0,0,4,6,19,2,1,4,7,5
"60QJ000545",60,40,29,4,25,2,0,2,2,2,0,3,4,20,2,2,4,6,6
"60QJ000546",64,42,32,10,22,1,0,1,0,0,0,5,4,22,6,4,7,2,3
"60QJ000547",86,63,50,17,33,0,0,0,2,0,2,8,3,23,5,3,7,4,4
"60QJ000548",86,51,34,9,25,0,0,0,0,0,0,11,6,35,3,7,9,9,7
"60QJ000549",85,63,50,5,45,1,0,1,2,0,2,6,4,22,6,8,1,5,2
"60QJ000550",67,50,40,8,32,0,0,0,2,0,2,5,3,17,3,6,1,7,0
"60QJ000551",96,75,64,9,55,0,0,0,0,0,0,7,4,21,7,6,5,3,0
"60QJ000552",59,30,17,3,14,2,1,1,2,0,2,4,5,29,3,3,1,11,11
"60QJ000553",82,57,40,4,36,1,0,1,2,1,1,12,2,25,5,8,4,4,4
"60QJ000554",75,53,44,10,34,0,0,0,0,0,0,5,4,22,4,4,4,4,6
"60QJ000555",98,75,54,5,49,4,0,4,6,0,6,2,9,23,9,4,5,3,2
"60QJ000556",72,47,36,2,34,0,0,0,2,0,2,6,3,25,3,10,4,7,1
"60QJ000557",95,58,34,4,30,2,0,2,3,1,2,9,10,37,6,3,6,15,7
"60QJ000558",68,46,35,6,29,0,0,0,1,0,1,7,3,22,7,4,0,5,6
"60QJ000559",60,45,32,5,27,1,0,1,2,0,2,5,5,15,3,4,4,2,2
"60QJ000560",98,48,35,11,24,0,0,0,1,0,1,6,6,50,14,12,2,17,5
"60QJ000561",63,46,33,7,26,0,0,0,0,0,0,11,2,17,4,2,3,5,3
"60QJ000562",102,64,47,11,36,0,0,0,4,0,4,7,6,38,15,5,1,11,6
"60QJ000563",51,19,14,0,14,0,0,0,0,0,0,5,0,32,13,3,4,10,2
"60QJ000564",106,70,48,11,37,0,0,0,0,0,0,8,14,36,5,8,9,6,8
"60QJ000565",69,49,36,3,33,0,0,0,4,0,4,6,3,20,4,3,3,8,2
"60QJ000566",91,74,63,6,57,0,0,0,2,0,2,7,2,17,7,4,2,3,1
"60QJ000567",46,34,27,6,21,0,0,0,0,0,0,5,2,12,3,0,1,7,1
"60QJ000568",75,42,39,11,28,1,0,1,0,0,0,1,1,33,14,2,6,9,2
"60QJ000569",58,41,28,15,13,1,1,0,1,1,0,8,3,17,2,3,4,3,5
"60QJ000570",110,75,57,8,49,2,1,1,3,1,2,7,6,35,21,4,1,5,4
"60QJ000571",58,22,21,7,14,0,0,0,1,0,1,0,0,36,30,1,1,2,2
"60QJ000572",54,25,22,6,16,0,0,0,3,1,2,0,0,29,23,1,1,3,1
"60QJ000573",54,22,17,6,11,1,0,1,4,1,3,0,0,32,26,0,1,4,1
"60QJ000574",105,67,52,8,44,1,0,1,4,1,3,6,4,38,23,3,4,4,4
"60QJ000575",59,50,36,12,24,1,0,1,3,1,2,3,7,9,4,2,2,1,0
"60QJ000576",78,51,34,9,25,3,0,3,7,2,5,2,5,27,16,6,1,3,1
"60QJ000577",87,59,50,8,42,2,0,2,3,2,1,0,4,28,22,2,0,3,1
"60QJ000578",88,65,47,9,38,1,0,1,2,2,0,8,7,23,8,4,1,5,5
"60QJ000579",147,97,81,13,68,6,0,6,2,1,1,3,5,50,15,9,2,12,12
"60QJ000580",85,38,27,5,22,2,0,2,4,1,3,1,4,47,9,7,2,29,0
"60QJ000581",120,88,67,16,51,4,0,4,3,0,3,4,10,32,12,6,8,3,3
"60QJ000582",124,92,75,18,57,2,0,2,5,1,4,1,9,32,9,12,4,1,6
"60QJ000583",68,61,52,8,44,2,0,2,2,1,1,1,4,7,2,3,1,1,0
"60QJ000584",138,83,54,10,44,12,2,10,5,2,3,3,9,55,12,22,13,3,5
"60QJ000585",94,58,43,9,34,4,0,4,5,0,5,2,4,36,25,4,2,3,2
"60QJ000586",91,60,35,6,29,11,0,11,5,1,4,2,7,31,19,5,2,5,0
"60QJ000587",105,70,56,12,44,2,1,1,8,2,6,2,2,35,19,5,2,5,4
"60QJ000588",87,65,49,8,41,5,0,5,5,2,3,2,4,22,10,2,5,4,1
"60QJ000589",113,77,57,15,42,10,1,9,4,0,4,2,4,36,23,2,3,5,3
"60QJ000590",113,81,61,14,47,9,2,7,4,0,4,4,3,32,9,3,1,11,8
"60QJ000591",72,57,43,9,34,4,0,4,3,0,3,1,6,15,11,1,0,2,1
"60QJ000592",105,84,76,10,66,2,0,2,3,0,3,2,1,21,9,3,3,6,0
"60QJ000593",104,66,56,8,48,5,0,5,1,0,1,1,3,38,21,4,3,7,3
"60QJ000594",112,70,55,9,46,6,2,4,4,0,4,2,3,42,28,6,2,5,1
"60QJ000595",87,61,49,11,38,2,0,2,4,1,3,3,3,26,14,2,5,4,1
"60QJ000596",97,68,56,7,49,3,1,2,4,0,4,3,2,29,21,1,2,4,1
"60QJ000597",81,35,30,8,22,1,0,1,0,0,0,3,1,46,28,3,2,11,2
"60QJ000598",51,28,20,5,15,0,0,0,0,0,0,4,4,23,15,0,1,6,1
"60QJ000599",65,30,27,6,21,1,0,1,2,1,1,0,0,35,28,0,1,5,1
"60QJ000600",35,13,11,1,10,0,0,0,0,0,0,1,1,22,17,1,1,1,2
"60QJ000601",64,36,27,3,24,3,0,3,3,0,3,3,0,28,21,1,0,3,3
"60QJ000602",86,50,43,12,31,0,0,0,2,0,2,4,1,36,18,1,3,9,5
"60QJ000603",47,18,15,7,8,0,0,0,0,0,0,3,0,29,19,0,2,4,4
"60QJ000604",53,24,23,6,17,1,0,1,0,0,0,0,0,29,18,2,2,4,3
"60QJ000605",37,17,16,2,14,0,0,0,0,0,0,1,0,20,12,1,0,5,2
"60QJ000606",67,49,43,13,30,1,0,1,0,0,0,2,3,18,13,0,1,4,0
"60QJ000607",48,17,13,5,8,0,0,0,1,0,1,2,1,31,20,2,3,6,0
"60QJ000608",80,35,29,7,22,2,0,2,1,1,0,2,1,45,31,3,3,7,1
"60QJ000609",68,41,33,7,26,1,0,1,2,0,2,1,4,27,23,0,2,0,2
"60QJ000610",85,49,38,11,27,1,0,1,2,0,2,3,5,36,21,6,1,4,4
"60QJ000611",51,31,26,6,20,2,0,2,0,0,0,1,2,20,13,0,1,4,2
"60QJ000612",48,25,23,4,19,0,0,0,0,0,0,2,0,23,14,2,0,7,0
"60QJ000613",55,29,27,8,19,1,0,1,0,0,0,0,1,26,15,1,4,4,2
"60QJ000614",74,50,39,15,24,1,0,1,4,1,3,4,2,24,17,1,0,4,2
"60QJ000615",94,61,48,13,35,2,0,2,1,1,0,3,7,33,20,4,5,3,1
"60QJ000616",60,47,41,6,35,0,0,0,1,0,1,3,2,13,6,5,0,2,0
"60QJ000617",122,82,66,11,55,4,0,4,3,1,2,1,8,40,17,9,7,6,1
"60QJ000618",89,45,34,8,26,3,0,3,5,1,4,2,1,44,21,4,6,10,3
"60QJ000619",48,30,27,7,20,0,0,0,1,0,1,2,0,18,7,0,1,9,1
"60QJ000620",119,91,71,17,54,4,3,1,4,0,4,2,10,28,12,4,1,5,6
"60QJ000621",100,66,55,13,42,3,1,2,2,0,2,3,3,34,19,1,5,5,4
"60QJ000622",85,52,42,15,27,1,0,1,3,2,1,5,1,33,13,5,4,8,3
"60QJ000623",57,36,33,13,20,0,0,0,0,0,0,3,0,21,11,3,0,6,1
"60QJ000624",76,51,44,12,32,0,0,0,1,0,1,5,1,25,8,0,2,12,3
"60QJ000625",64,46,38,9,29,0,0,0,2,0,2,3,3,18,5,4,2,3,4
"60QJ000626",61,29,21,3,18,1,0,1,1,0,1,6,0,32,16,1,6,6,3
"60QJ000627",104,60,50,13,37,1,0,1,5,2,3,4,0,44,15,2,7,13,7
"60QJ000628",77,48,38,10,28,1,0,1,2,1,1,5,2,29,15,1,2,10,1
"60QJ000629",48,24,16,4,12,0,0,0,1,0,1,6,1,24,10,0,1,10,3
"60QJ000630",72,36,29,9,20,2,0,2,1,0,1,2,2,36,23,0,1,9,3
"60QJ000631",46,22,18,4,14,0,0,0,0,0,0,3,1,24,19,1,1,3,0
"60QJ000632",87,65,56,11,45,1,0,1,3,0,3,3,2,22,16,1,4,1,0
"60QJ000633",50,21,18,2,16,0,0,0,0,0,0,2,1,29,16,2,1,6,4
"60QJ000634",51,20,14,3,11,0,0,0,0,0,0,4,2,31,21,0,2,7,1
"60QJ000635",113,73,60,8,52,2,0,2,4,3,1,4,3,40,29,2,1,6,2
"60QJ000636",66,35,29,11,18,0,0,0,1,1,0,4,1,31,9,3,9,9,1
"60QJ000637",28,3,3,0,3,0,0,0,0,0,0,0,0,25,12,1,0,10,2
"60QJ000638",68,30,17,2,15,2,0,2,1,0,1,10,0,38,9,2,4,17,6
"60QJ000639",39,30,22,7,15,0,0,0,1,0,1,6,1,9,2,1,1,1,4
"60QJ000640",69,41,28,8,20,0,0,0,3,0,3,9,1,28,9,3,4,9,3
"60QJ000641",34,14,11,2,9,0,0,0,0,0,0,1,2,20,4,1,5,6,4
"60QJ000642",100,45,31,7,24,0,0,0,2,0,2,10,2,55,11,6,12,16,10
"60QJ000643",75,36,25,8,17,1,0,1,2,0,2,7,1,39,11,5,10,9,4
"60QJ000644",84,43,34,10,24,1,0,1,1,0,1,4,3,41,9,9,7,9,7
"60QJ000645",90,48,34,10,24,1,0,1,2,2,0,7,4,42,6,3,13,16,4
"60QJ000646",86,40,29,7,22,1,0,1,2,0,2,8,0,46,13,6,6,9,12
"60QJ000647",80,49,37,8,29,1,0,1,1,0,1,7,3,31,12,4,1,7,7
"60QJ000648",145,66,45,14,31,0,0,0,1,0,1,14,6,79,9,11,21,26,12
"60QJ000649",126,65,41,12,29,1,0,1,3,1,2,14,6,61,11,8,17,15,10
"60QJ000650",82,32,20,5,15,1,0,1,2,0,2,8,1,50,6,3,15,11,15
"60QJ000651",114,95,83,14,69,0,0,0,1,0,1,6,5,19,2,4,6,1,6
"60QJ000652",58,22,17,5,12,0,0,0,0,0,0,4,1,36,8,2,9,12,5
"60QJ000653",132,92,65,9,56,3,1,2,0,0,0,18,6,40,3,4,14,10,9
"60QJ000654",100,53,40,18,22,0,0,0,0,0,0,11,2,47,11,3,11,7,15
"60QJ000655",84,39,27,7,20,2,0,2,0,0,0,8,2,45,6,4,14,11,10
"60QJ000656",87,51,29,5,24,0,0,0,1,1,0,18,3,36,7,2,7,10,10
"60QJ000657",76,42,31,6,25,1,0,1,0,0,0,8,2,34,11,2,2,14,5
"60QJ000658",58,41,31,9,22,0,0,0,1,0,1,3,6,17,5,0,4,6,2
"60QJ000659",53,26,18,5,13,0,0,0,1,0,1,6,1,27,2,3,10,7,5
"60QJ000660",82,37,30,9,21,0,0,0,2,0,2,3,2,45,20,4,5,13,3
"60QJ000661",77,35,27,5,22,0,0,0,3,0,3,4,1,42,19,1,4,10,8
"60QJ000662",106,62,47,11,36,1,0,1,2,0,2,9,3,44,12,2,6,14,10
"60QJ000663",80,39,28,8,20,0,0,0,4,0,4,5,2,41,26,0,3,9,3
"60QJ000664",50,31,26,7,19,1,0,1,1,0,1,3,0,19,4,3,6,4,2
"60QJ000665",87,48,23,7,16,0,0,0,6,0,6,15,4,39,4,5,11,7,12
"60QJ000666",112,53,42,6,36,2,0,2,0,0,0,2,7,59,34,2,7,14,2
"60QJ000667",74,39,30,7,23,0,0,0,1,1,0,6,2,35,15,0,2,17,1
"60QJ000668",126,76,60,18,42,3,0,3,4,1,3,5,4,50,28,3,3,12,4
"60QJ000669",56,23,9,2,7,1,0,1,1,0,1,11,1,33,9,3,3,9,9
"60QJ000670",122,76,59,19,40,0,0,0,1,1,0,13,3,46,10,2,13,11,10
"60QJ000671",74,46,29,5,24,1,0,1,3,0,3,11,2,28,9,3,4,6,6
"60QJ000672",87,58,44,14,30,2,0,2,5,1,4,5,2,29,10,6,4,6,3
"60QJ000673",126,77,61,23,38,2,0,2,5,1,4,6,3,49,14,3,12,14,6
"60QJ000674",105,59,51,15,36,2,0,2,1,0,1,5,0,46,13,3,14,12,4
"60QJ000675",75,49,42,13,29,0,0,0,0,0,0,6,1,26,9,1,3,7,6
"60QJ000676",69,35,24,4,20,0,0,0,1,0,1,8,2,34,15,2,3,12,2
"60QJ000677",93,69,58,21,37,2,1,1,0,0,0,8,1,24,9,3,5,5,2
"60QJ000678",128,80,65,14,51,4,1,3,0,0,0,8,3,48,22,3,1,20,2
"60QJ000679",99,56,43,10,33,2,0,2,3,1,2,5,3,43,20,3,7,10,3
"60QJ000680",87,51,41,17,24,0,0,0,2,2,0,7,1,36,8,5,7,8,8
"60QJ000681",66,42,37,8,29,0,0,0,1,1,0,4,0,24,9,2,1,8,4
"60QJ000682",64,35,24,4,20,0,0,0,1,0,1,9,1,29,17,0,1,7,4
"60QJ000683",122,83,65,24,41,1,0,1,4,1,3,11,2,39,6,7,7,16,3
"60QJ000684",65,38,18,7,11,2,0,2,2,1,1,16,0,27,5,2,8,8,4
"60QJ000685",78,47,33,12,21,0,0,0,2,1,1,11,1,31,6,1,11,9,4
"60QJ000686",124,65,52,13,39,1,0,1,2,1,1,5,5,59,18,5,9,16,11
"60QJ000687",58,37,31,14,17,0,0,0,0,0,0,6,0,21,2,2,2,6,9
"60QJ000688",36,15,12,2,10,1,0,1,0,0,0,1,1,21,12,1,0,6,2
"60QJ000689",128,74,55,16,39,2,0,2,3,2,1,11,3,54,19,6,10,15,4
"60QJ000690",98,56,40,8,32,0,0,0,1,1,0,12,3,42,9,4,12,10,7
"60QJ000691",95,54,39,7,32,3,1,2,0,0,0,9,3,41,19,4,5,9,4
"60QJ000692",85,49,36,9,27,2,0,2,1,1,0,8,2,36,12,4,9,6,5
"60QJ000693",52,38,25,6,19,0,0,0,1,0,1,10,2,14,1,2,3,5,3
"60QJ000694",77,50,45,12,33,0,0,0,1,0,1,3,1,27,6,1,8,9,3
"60QJ000695",83,42,19,6,13,0,0,0,2,0,2,21,0,41,8,1,10,14,8
"60QJ000696",68,41,36,9,27,0,0,0,1,1,0,4,0,27,15,0,4,6,2
"60QJ000697",124,86,70,19,51,0,0,0,2,1,1,9,5,38,15,1,5,11,6
"60QJ000698",84,36,32,13,19,0,0,0,1,0,1,3,0,48,27,3,2,15,1
"60QJ000699",128,56,44,12,32,0,0,0,1,0,1,6,5,72,34,8,5,21,4
"60QJ000700",115,65,49,13,36,0,0,0,1,0,1,13,2,50,6,9,9,19,7
"60QJ000701",113,68,51,13,38,0,0,0,3,2,1,10,4,45,5,7,12,14,7
"60QJ000702",82,48,37,15,22,1,0,1,2,1,1,8,0,34,18,2,6,8,0
"60QJ000703",62,12,8,1,7,2,0,2,1,0,1,0,1,50,34,0,4,9,3
"60QJ000704",73,45,34,9,25,1,0,1,4,0,4,3,3,28,12,2,4,6,4
"60QJ000705",99,54,48,13,35,1,1,0,0,0,0,4,1,45,27,1,4,10,3
"60QJ000706",43,10,8,2,6,0,0,0,0,0,0,2,0,33,20,0,1,8,4
"60QJ000707",65,40,33,5,28,0,0,0,3,0,3,2,2,25,10,3,2,9,1
"60QJ000708",89,59,40,7,33,1,0,1,3,0,3,12,3,30,13,1,8,6,2
"60QJ000709",75,42,29,7,22,1,1,0,1,1,0,10,1,33,4,9,6,10,4
"60QJ000710",73,49,39,12,27,0,0,0,2,1,1,6,2,24,5,3,4,10,2
"60QJ000711",91,45,34,11,23,1,1,0,1,0,1,7,2,46,14,3,4,18,7
"60QJ000712",56,34,28,7,21,2,1,1,1,0,1,2,1,22,18,1,0,3,0
"60QJ000713",111,69,58,13,45,0,0,0,3,1,2,8,0,42,10,7,7,15,3
"60QJ000714",64,20,15,2,13,0,0,0,1,0,1,4,0,44,35,0,3,5,1
"60QJ000715",53,20,15,5,10,0,0,0,1,0,1,4,0,33,22,1,3,6,1
"60QJ000716",63,20,15,5,10,1,0,1,1,0,1,2,1,43,23,1,5,10,4
"60QJ000717",51,20,17,4,13,1,0,1,1,0,1,1,0,31,17,0,1,8,5
"60QJ000718",67,43,35,11,24,0,0,0,1,0,1,6,1,24,8,3,3,8,2
"60QJ000719",55,19,15,3,12,0,0,0,1,0,1,1,2,36,25,0,1,8,2
"60QJ000720",97,46,40,11,29,0,0,0,1,1,0,4,1,51,19,2,8,18,4
"60QJ000721",71,37,33,4,29,1,0,1,1,1,0,2,0,34,24,1,1,6,2
"60QJ000722",52,33,27,5,22,1,0,1,4,2,2,0,1,19,14,0,1,4,0
"60QJ000723",54,43,33,9,24,0,0,0,2,0,2,4,4,11,9,1,1,0,0
"60QJ000724",108,53,47,7,40,0,0,0,2,0,2,1,3,55,38,4,4,7,2
"60QJ000725",69,34,27,6,21,3,0,3,1,0,1,1,2,35,17,1,4,7,6
"60QJ000726",80,35,21,4,17,0,0,0,1,0,1,10,3,45,5,4,15,8,13
"60QJ000727",73,33,22,4,18,0,0,0,0,0,0,11,0,40,7,0,3,23,7
"60QJ000728",64,45,36,12,24,1,0,1,0,0,0,3,5,19,14,0,2,3,0
"60QJ000729",53,32,27,9,18,1,0,1,1,0,1,3,0,21,9,2,0,8,2
"60QJ000730",101,61,45,11,34,1,0,1,1,1,0,12,2,40,19,3,4,9,5
"60QJ000731",76,50,37,16,21,2,0,2,1,0,1,9,1,26,7,1,5,10,3
"60QJ000732",107,58,46,13,33,1,1,0,0,0,0,8,3,49,9,3,11,16,10
"60QJ000733",96,55,33,16,17,2,1,1,2,1,1,14,4,41,8,3,12,11,7
"60QJ000734",66,38,27,7,20,2,1,1,2,0,2,5,2,28,13,2,5,6,2
"60QJ000735",77,51,44,15,29,0,0,0,1,0,1,5,1,26,7,5,6,4,4
"60QJ000736",81,51,43,15,28,1,1,0,4,1,3,2,1,30,9,4,5,8,4
"60QJ000737",123,83,65,19,46,1,0,1,0,0,0,15,2,40,7,5,10,13,5
"60QJ000738",99,54,38,11,27,1,0,1,1,0,1,9,5,45,18,5,4,12,6
"60QJ000739",85,62,54,14,40,2,1,1,2,1,1,3,1,23,8,6,1,6,2
"60QJ000740",89,61,52,17,35,0,0,0,1,0,1,6,2,28,8,2,4,6,8
"60QJ000741",99,71,53,10,43,2,0,2,2,0,2,9,5,28,6,4,1,7,10
"60QJ000742",103,55,45,12,33,0,0,0,4,0,4,5,1,48,25,4,1,15,3
"60QJ000743",122,78,66,17,49,2,1,1,3,1,2,6,1,44,18,0,8,11,7
"60QJ000744",35,19,16,9,7,0,0,0,0,0,0,2,1,16,2,1,4,6,3
"60QJ000745",39,15,11,1,10,1,0,1,0,0,0,3,0,24,12,1,0,6,5
"60QJ000746",92,56,49,15,34,1,0,1,1,0,1,3,2,36,18,1,4,11,2
"60QJ000747",112,73,58,18,40,0,0,0,1,0,1,12,2,39,3,5,17,8,6
"60QJ000748",58,33,27,12,15,0,0,0,1,1,0,4,1,25,2,3,10,6,4
"60QJ000749",57,32,21,9,12,0,0,0,0,0,0,6,5,25,5,5,5,8,2
"60QJ000750",133,73,57,17,40,2,0,2,2,1,1,10,2,60,27,4,5,14,10
"60QJ000751",106,68,53,20,33,1,0,1,0,0,0,12,2,38,9,6,7,9,7
"60QJ000752",87,47,40,5,35,0,0,0,0,0,0,3,4,40,14,5,6,12,3
"60QJ000753",80,59,47,13,34,1,0,1,4,1,3,6,1,21,8,6,4,3,0
"60QJ000754",79,49,41,9,32,0,0,0,2,1,1,4,2,30,12,2,2,13,1
