"output_area","All people","Number of people born in: England","Number of people born in: Scotland","Number of people born in: Wales","Number of people born in: Northern Ireland","Number of people born in: Republic of Ireland","Number of people born in: Other EU countries","Number of people born: Elsewhere"
"60QA000311",95,12,81,0,1,0,1,0
"60QA000312",88,4,81,0,0,1,1,1
"60QA000313",113,2,105,0,0,0,4,2
"60QA000314",128,1,125,0,0,0,0,2
"60QA000315",115,7,94,0,2,0,5,7
"60QA000316",117,2,111,0,0,1,2,1
"60QA000317",94,8,83,0,0,0,2,1
"60QA000318",143,7,128,0,1,1,2,4
"60QA000319",156,14,137,0,0,0,0,5
"60QA000320",182,8,170,0,0,1,0,3
"60QA000321",163,8,152,0,1,0,1,1
"60QA000322",102,5,95,0,0,0,1,1
"60QA000323",114,5,104,0,1,0,1,3
"60QA000324",69,2,67,0,0,0,0,0
"60QA000325",109,0,105,0,0,0,0,4
"60QA000326",112,3,103,0,0,0,3,3
"60QA000327",123,2,119,0,0,0,0,2
"60QA000328",186,9,160,0,1,0,1,15
"60QA000329",173,5,158,0,0,0,0,10
"60QA000330",76,0,74,0,0,0,0,2
"60QA000331",129,10,114,1,1,0,1,2
"60QA000332",75,3,69,0,0,0,1,2
"60QA000333",63,0,57,0,3,0,0,3
"60QA000334",146,4,141,0,0,0,1,0
"60QA000335",163,7,148,0,0,2,3,3
"60QA000336",107,7,98,0,0,0,0,2
"60QA000337",126,16,109,0,1,0,0,0
"60QA000338",138,8,127,0,0,1,0,2
"60QA000339",120,13,80,2,0,1,1,23
"60QA000340",116,10,99,0,0,1,0,6
"60QA000341",107,6,96,0,0,0,0,5
"60QA000342",99,4,90,0,1,0,2,2
"60QA000343",106,7,89,1,0,0,1,8
"60QA000344",151,4,136,1,0,0,2,8
"60QA000345",113,8,93,0,1,0,0,11
"60QA000346",86,14,70,0,0,0,0,2
"60QA000347",117,10,103,0,2,0,0,2
"60QA000348",80,4,75,0,0,0,1,0
"60QA000349",89,5,84,0,0,0,0,0
"60QA000350",102,8,86,0,1,1,0,6
"60QA000351",121,9,109,1,0,0,0,2
"60QA000352",108,9,98,0,0,0,0,1
"60QA000353",114,6,99,0,2,0,0,7
"60QA000354",105,7,96,0,0,1,0,1
"60QA000355",100,11,71,1,0,1,7,9
"60QA000356",164,15,142,1,0,0,1,5
"60QA000357",185,16,160,1,1,0,5,2
"60QA000358",166,19,127,0,1,0,8,11
"60QA000359",159,5,142,2,1,0,0,9
"60QA000360",109,4,100,0,0,1,0,4
"60QA000361",84,6,75,0,0,0,0,3
"60QA000362",100,5,91,0,0,2,0,2
"60QA000363",171,10,151,0,1,0,0,9
"60QA000364",155,11,138,0,0,1,2,3
"60QA000365",140,11,118,0,0,0,1,10
"60QA000366",67,6,52,1,0,0,1,7
"60QA000367",77,7,66,1,0,0,0,3
"60QA000368",57,4,49,1,0,0,3,0
"60QA000369",92,18,65,0,0,1,1,7
"60QA000370",158,10,137,0,0,0,3,8
"60QA000371",111,4,101,0,2,0,1,3
"60QA000372",103,3,95,4,0,0,1,0
"60QA000373",101,9,84,0,0,0,1,7
"60QA000374",119,11,102,0,0,0,0,6
"60QA000375",88,7,67,0,1,1,0,12
"60QA000376",152,5,139,0,0,0,0,8
"60QA000377",122,18,94,0,2,0,3,5
"60QA000378",92,5,77,0,2,2,0,6
"60QA000379",165,19,130,1,0,0,1,14
"60QA000380",70,3,66,0,0,0,0,1
"60QA000381",112,1,109,0,0,0,0,2
"60QA000382",101,6,91,0,1,0,1,2
"60QA000383",144,8,136,0,0,0,0,0
"60QA000384",112,3,104,0,1,0,1,3
"60QA000385",159,9,145,0,0,0,1,4
"60QA000386",162,18,132,2,0,0,1,9
"60QA000387",80,5,66,0,5,0,1,3
"60QA000388",95,15,66,0,0,0,7,7
"60QA000389",90,12,71,0,0,0,0,7
"60QA000390",104,1,99,0,0,0,2,2
"60QA000391",139,18,107,0,1,0,1,12
"60QA000392",117,10,105,0,0,1,1,0
"60QA000393",124,12,103,1,1,1,0,6
"60QA000394",68,1,57,0,0,1,1,8
"60QA000395",187,16,147,0,1,3,6,14
"60QA000396",136,6,121,0,0,0,2,7
"60QA000397",143,3,134,1,2,0,0,3
"60QA000398",82,9,67,1,0,0,0,5
"60QA000399",104,8,92,0,0,0,0,4
"60QA000400",194,12,169,1,0,0,0,12
"60QA000401",164,12,138,0,2,1,1,10
"60QA000402",103,17,82,0,1,0,1,2
"60QA000403",133,6,123,3,1,0,0,0
"60QA000404",127,14,93,2,1,1,11,5
"60QA000405",166,14,115,0,2,4,3,28
"60QA000406",124,6,107,1,1,0,2,7
"60QA000407",228,17,180,1,3,0,4,23
"60QA000408",176,12,142,0,2,0,8,12
"60QA000409",182,19,153,1,0,0,0,9
"60QA000410",102,11,88,0,0,0,1,2
"60QA000411",85,2,80,0,1,0,2,0
"60QA000412",101,7,92,0,0,0,0,2
"60QA000413",79,2,75,0,0,0,1,1
"60QA000414",75,5,60,0,0,0,1,9
"60QA000415",70,3,64,0,0,0,1,2
"60QA000416",128,2,122,0,0,0,0,4
"60QA000417",65,4,56,0,1,0,2,2
"60QA000418",93,8,79,0,0,0,0,6
"60QA000419",111,6,93,2,3,0,2,5
"60QA000420",64,2,60,0,1,0,1,0
"60QA000421",98,6,64,0,1,0,9,18
"60QA000422",81,3,78,0,0,0,0,0
"60QA000423",91,10,77,0,0,0,2,2
"60QA000424",114,23,79,0,0,0,6,6
"60QA000425",93,22,62,3,0,0,0,6
"60QA000426",115,18,82,0,3,0,2,10
"60QA000427",160,39,79,4,0,0,7,31
"60QA000428",118,7,99,0,0,0,1,11
"60QA000429",113,10,90,2,0,0,1,10
"60QA000430",112,8,97,0,1,1,0,5
"60QA000431",143,23,94,5,0,0,4,17
"60QA000432",98,20,57,0,3,0,7,11
"60QA000433",209,24,159,3,0,1,0,22
"60QA000434",181,42,105,4,1,4,9,16
"60QA000435",72,6,66,0,0,0,0,0
"60QA000436",104,11,93,0,0,0,0,0
"60QA000437",161,38,98,0,2,1,7,15
"60QA000438",143,20,109,0,0,1,3,10
"60QA000439",148,27,110,0,1,1,2,7
"60QA000440",106,16,80,0,0,0,4,6
"60QA000441",140,10,122,3,0,0,1,4
"60QA000442",160,23,121,0,1,2,1,12
"60QA000443",102,20,71,1,0,0,1,9
"60QA000444",169,25,134,1,0,0,0,9
"60QA000445",132,25,84,2,2,2,5,12
"60QA000446",182,17,139,2,0,0,6,18
"60QA000447",125,31,79,2,0,0,1,12
"60QA000448",163,20,107,0,2,2,6,26
"60QA000449",104,15,79,1,1,0,4,4
"60QA000450",133,7,113,0,0,0,7,6
"60QA000451",65,10,45,0,0,0,4,6
"60QA000452",60,4,48,0,0,0,0,8
"60QA000453",94,13,70,0,2,1,3,5
"60QA000454",139,27,82,1,1,3,8,17
"60QA000455",128,15,104,2,2,0,1,4
"60QA000456",135,20,99,1,1,0,3,11
"60QA000457",153,34,98,2,0,1,5,13
"60QA000458",116,19,87,0,0,1,2,7
"60QA000459",68,12,44,0,0,3,2,7
"60QA000460",97,4,89,0,0,0,0,4
"60QA000461",131,27,96,3,0,1,1,3
"60QA000462",70,13,49,1,0,1,1,5
"60QA000463",94,2,87,0,1,0,1,3
"60QA000464",107,3,99,1,0,0,2,2
"60QA000465",89,4,79,1,1,0,1,3
"60QA000466",51,3,43,0,0,1,2,2
"60QA000467",59,1,57,0,0,0,0,1
"60QA000468",91,11,75,0,1,1,2,1
"60QA000469",68,4,58,0,2,1,0,3
"60QA000470",79,6,69,1,2,0,0,1
"60QA000471",122,9,106,0,4,0,1,2
"60QA000472",78,14,58,0,0,2,1,3
"60QA000473",59,5,46,0,1,3,3,1
"60QA000474",77,14,53,0,2,1,2,5
"60QA000475",96,6,89,0,0,0,0,1
"60QA000476",106,11,91,0,0,0,0,4
"60QA000477",72,9,55,0,0,3,1,4
"60QA000478",105,11,91,0,0,3,0,0
"60QA000479",146,19,112,0,2,0,5,8
"60QA000480",71,7,61,1,0,1,0,1
"60QA000481",178,6,153,0,2,5,4,8
"60QA000482",64,4,57,0,0,0,0,3
"60QA000483",122,7,109,1,0,2,0,3
"60QA000484",115,8,96,3,0,0,4,4
"60QA000485",61,5,48,2,0,2,2,2
"60QA000486",68,5,51,2,2,2,1,5
"60QA000487",90,17,68,0,1,1,0,3
"60QA000488",94,18,69,0,2,0,2,3
"60QA000489",70,2,56,0,1,2,8,1
"60QA000490",62,9,48,0,2,0,3,0
"60QA000491",73,10,50,1,0,0,1,11
"60QA000492",90,13,66,0,1,0,0,10
"60QA000493",67,0,64,1,0,0,1,1
