"dz_2001","total","scotland","ruk","elsewhere"
"S01000589",709,609,65,35
"S01000590",846,713,98,35
"S01000591",775,703,43,29
"S01000592",875,770,80,25
"S01000593",1555,1330,133,92
"S01000594",1331,1134,130,67
"S01000595",758,665,67,26
"S01000596",795,696,77,22
"S01000597",965,844,90,31
"S01000598",1348,1152,136,60
"S01000599",1145,961,127,57
"S01000600",776,719,34,23
"S01000601",1232,1027,158,47
"S01000602",743,653,68,22
"S01000603",1022,870,108,44
"S01000604",976,831,111,34
"S01000605",813,712,79,22
"S01000606",860,750,69,41
"S01000607",752,643,80,29
"S01000608",1195,982,102,111
"S01000609",1051,895,115,41
"S01000610",804,645,74,85
"S01000611",631,534,64,33
"S01000612",1039,883,94,62
"S01000613",1047,899,100,48
"S01000614",678,582,72,24
"S01000615",809,700,70,39
"S01000616",1442,1092,195,155
"S01000617",665,582,69,14
"S01000618",815,720,71,24
"S01000619",708,554,130,24
"S01000620",1169,1015,100,54
"S01000621",1082,951,84,47
"S01000622",768,668,77,23
"S01000623",769,691,44,34
"S01000624",616,532,37,47
"S01000625",641,563,41,37
"S01000626",804,705,65,34
"S01000627",849,761,70,18
"S01000628",580,510,44,26
"S01000629",911,797,83,31
"S01000630",738,649,67,22
"S01000631",612,548,48,16
"S01000632",539,457,53,29
"S01000633",523,459,53,11
"S01000634",735,665,54,16
"S01000635",643,572,59,12
"S01000636",521,462,38,21
"S01000637",648,543,80,25
"S01000638",589,456,106,27
"S01000639",641,516,104,21
"S01000640",721,627,66,28
"S01000641",814,689,93,32
"S01000642",908,718,150,40
"S01000643",675,574,75,26
"S01000644",711,592,100,19
"S01000645",980,789,123,68
"S01000646",782,709,48,25
"S01000647",777,722,40,15
"S01000648",896,811,48,37
"S01000649",596,472,105,19
"S01000650",712,655,31,26
"S01000651",886,753,74,59
"S01000652",774,709,51,14
"S01000653",994,871,68,55
"S01000654",971,883,54,34
"S01000655",792,701,39,52
"S01000656",799,685,52,62
"S01000657",816,721,36,59
"S01000658",606,516,38,52
"S01000659",1321,1172,110,39
"S01000660",1026,926,69,31
"S01000661",822,731,55,36
"S01000662",734,662,53,19
"S01000663",811,737,52,22
"S01000664",851,728,97,26
"S01000665",669,576,65,28
"S01000666",528,444,61,23
"S01000667",987,866,87,34
