"dz_2001","total","non_catholic_christian","catholic_christian","jewish","muslim","none","other"
"S01000325",618,421,21,0,0,148,28
"S01000326",763,396,47,0,0,281,39
"S01000327",898,492,52,0,0,318,36
"S01000328",601,250,58,0,0,272,21
"S01000329",546,232,26,0,0,255,33
"S01000330",733,456,44,1,1,203,28
"S01000331",621,394,25,1,3,160,38
"S01000332",687,394,36,0,0,226,31
"S01000333",841,439,82,1,4,265,50
"S01000334",823,471,27,0,2,259,64
"S01000335",652,386,23,0,0,214,29
"S01000336",852,457,66,0,1,281,47
"S01000337",690,425,22,0,0,205,38
"S01000338",508,287,24,0,0,141,56
"S01000339",1094,705,38,1,0,306,44
"S01000340",971,592,39,1,0,292,47
"S01000341",748,436,13,1,0,257,41
"S01000342",387,232,5,0,2,132,16
"S01000343",644,392,11,0,0,205,36
"S01000344",894,521,34,1,1,282,55
"S01000345",646,352,38,0,3,231,22
"S01000346",683,367,35,1,0,253,27
"S01000347",478,337,5,0,0,130,6
"S01000348",816,432,48,0,0,293,43
"S01000349",592,317,36,0,0,220,19
"S01000350",1002,532,64,0,0,374,32
"S01000351",1023,585,56,7,2,338,35
"S01000352",798,432,31,0,3,293,39
"S01000353",663,401,17,0,2,214,29
"S01000354",648,414,23,1,1,168,41
"S01000355",707,460,38,0,4,188,17
"S01000356",611,379,23,0,0,177,32
"S01000357",682,415,34,0,2,202,29
"S01000358",1030,557,63,0,0,368,42
"S01000359",856,470,75,0,8,265,38
"S01000360",514,292,22,0,0,167,33
"S01000361",614,356,17,0,6,198,37
"S01000362",920,490,19,0,3,355,53
"S01000363",960,570,44,0,0,297,49
"S01000364",900,493,32,0,1,311,63
"S01000365",677,344,24,0,0,261,48
"S01000366",761,488,27,0,0,211,35
"S01000367",753,472,25,0,0,227,29
"S01000368",797,487,22,0,0,256,32
"S01000369",975,503,47,3,3,379,40
"S01000370",796,405,47,0,6,304,34
"S01000371",931,583,29,0,0,281,38
"S01000372",983,521,44,0,1,350,67
"S01000373",588,317,20,1,3,228,19
"S01000374",611,349,20,0,0,209,33
"S01000375",646,315,28,0,0,271,32
"S01000376",899,461,31,0,1,349,57
"S01000377",721,433,33,1,0,227,27
"S01000378",581,298,16,0,4,221,42
"S01000379",574,290,20,0,0,239,25
"S01000380",748,384,36,0,0,289,39
"S01000381",884,579,29,0,0,255,21
"S01000382",755,406,54,1,0,244,50
"S01000383",655,409,9,0,0,213,24
"S01000384",731,426,25,1,0,233,46
"S01000385",574,307,27,0,0,224,16
"S01000386",766,453,16,0,8,256,33
"S01000387",853,518,37,0,1,263,34
"S01000388",775,410,47,0,5,278,35
"S01000389",667,296,19,0,7,313,32
"S01000390",727,450,18,0,0,219,40
"S01000391",636,351,22,0,4,220,39
"S01000392",723,402,20,0,1,269,31
"S01000393",857,595,28,0,0,186,48
"S01000394",688,414,9,0,1,229,35
"S01000395",588,346,19,0,0,200,23
"S01000396",940,640,17,0,0,233,50
"S01000397",1024,710,32,0,2,236,44
"S01000398",749,417,18,0,0,276,38
"S01000399",577,389,13,0,1,156,18
"S01000400",705,425,30,0,2,225,23
"S01000401",824,435,41,2,0,309,37
"S01000402",709,428,27,0,0,229,25
"S01000403",797,550,31,0,1,179,36
"S01000404",756,454,19,0,0,250,33
"S01000405",474,287,14,1,0,160,12
