dz_2001,total,none,one,two,three,four,numcar
S01001571,294,96,147,47,4,0,253
S01001572,226,53,100,53,17,3,271
S01001573,284,20,121,97,34,12,472
S01001574,365,122,173,50,15,5,341
S01001575,378,125,193,52,7,1,322
S01001576,280,101,111,53,10,5,268
S01001577,290,58,133,69,26,4,366
S01001578,341,91,146,82,19,3,381
S01001579,349,131,155,51,8,4,300
S01001580,271,80,129,53,9,0,262
S01001581,278,52,142,67,17,0,327
S01001582,320,103,148,58,9,2,299
S01001583,187,65,74,34,11,3,187
S01001584,371,136,177,52,5,1,306
S01001585,485,239,196,37,8,5,314
S01001586,167,6,64,80,15,2,277
S01001587,379,164,152,52,8,3,292
S01001588,333,131,148,47,5,2,265
S01001589,389,151,167,60,10,1,321
S01001590,282,75,147,47,12,1,281
S01001591,287,110,114,51,9,3,257
S01001592,331,125,145,51,8,2,280
S01001593,360,121,171,51,13,4,331
S01001594,481,219,201,52,8,1,333
S01001595,309,137,133,33,5,1,218
S01001596,327,76,159,80,10,2,358
S01001597,366,159,164,36,7,0,257
S01001598,284,42,136,83,18,5,377
S01001599,563,240,256,62,3,2,399
S01001600,573,273,244,48,7,1,367
S01001601,483,35,187,199,39,23,809
S01001602,279,47,107,102,16,7,392
S01001603,424,103,194,91,26,10,497
S01001604,223,71,86,57,6,3,231
S01001605,331,64,115,121,21,10,461
S01001606,284,106,130,41,5,2,235
S01001607,1010,130,463,347,52,18,1389
S01001608,401,61,224,93,22,1,480
S01001609,368,94,162,84,24,4,418
S01001610,376,96,162,98,18,2,421
S01001611,447,26,186,171,47,17,746
S01001612,338,17,170,120,25,6,510
S01001613,298,102,135,52,8,1,267
S01001614,357,153,143,51,7,3,283
S01001615,355,106,155,75,16,3,365
S01001616,255,7,81,134,28,5,462
S01001617,300,121,133,33,11,2,240
S01001618,425,77,163,135,35,15,610
S01001619,300,88,163,38,10,1,273
S01001620,480,189,202,71,16,2,404
S01001621,276,79,125,57,13,2,287
S01001622,361,129,150,65,12,5,337
S01001623,370,105,171,78,11,5,381
S01001624,428,127,205,74,12,10,434
S01001625,354,149,143,51,11,0,278
S01001626,292,51,135,90,12,4,367
S01001627,612,144,290,154,20,4,674
S01001628,246,79,113,38,16,0,237
S01001629,261,84,116,47,12,2,256
S01001630,283,117,137,26,2,1,199
S01001631,570,111,258,165,24,12,709
S01001632,212,16,87,83,20,6,340
S01001633,358,14,154,146,32,12,592
S01001634,370,33,167,134,28,8,551
S01001635,324,66,154,84,14,6,388
S01001636,205,14,92,79,17,3,313
S01001637,300,45,123,102,20,10,433
S01001638,420,107,182,100,26,5,487
S01001639,354,102,183,62,5,2,331
S01001640,271,12,99,120,30,10,483
S01001641,579,70,248,216,28,17,839
S01001642,430,87,195,113,29,6,536
S01001643,331,53,152,114,7,5,426
S01001644,636,113,278,193,39,13,838
S01001645,439,119,221,79,16,4,447
S01001646,252,18,81,107,33,13,453
S01001647,327,78,171,56,18,4,354
S01001648,303,91,132,56,18,6,328
S01001649,355,140,158,48,9,0,281
S01001650,311,77,143,71,13,7,358
S01001651,413,131,178,78,16,10,428
S01001652,334,9,138,146,26,15,574
S01001653,319,125,140,41,11,2,263
S01001654,361,39,132,150,31,9,570
S01001655,255,40,105,86,15,9,361
S01001656,614,105,308,173,19,9,754
S01001657,213,7,72,102,25,7,380
S01001658,414,66,155,152,30,11,594
S01001659,332,38,170,106,13,5,442
S01001660,319,33,132,119,33,2,477
S01001661,350,37,132,142,30,9,548
S01001662,322,98,142,66,14,2,325
S01001663,346,57,149,116,19,5,461
S01001664,199,17,65,98,16,3,321
S01001665,400,95,192,96,14,3,438
S01001666,258,56,109,78,12,3,313
S01001667,394,86,203,94,9,2,426
S01001668,355,26,156,136,27,10,552
S01001669,386,142,190,45,8,1,308
S01001670,250,22,102,89,26,11,405
S01001671,201,14,70,91,11,15,347
S01001672,268,71,112,68,14,3,302
S01001673,290,27,144,103,14,2,401
S01001674,346,91,148,91,13,3,381
S01001675,296,28,116,126,19,7,456
S01001676,484,42,159,225,44,14,804
S01001677,319,17,105,149,36,12,560
S01001678,316,36,129,118,30,3,468
S01001679,313,10,94,156,39,14,582
S01001680,257,27,89,114,17,10,409
S01001681,248,8,84,119,25,12,448
S01001682,226,17,102,77,18,12,359
S01001683,326,30,152,115,22,7,477
S01001684,215,8,78,100,22,7,374
S01001685,330,93,130,85,22,0,366
S01001686,347,21,142,140,35,9,564
S01001687,489,99,220,133,32,5,602
S01001688,409,43,206,130,24,6,564
S01001689,288,12,110,130,27,9,487
S01001690,365,54,140,151,17,3,505
S01001691,328,19,102,165,31,11,571
S01001692,268,77,91,79,18,3,315
S01001693,262,5,77,149,24,7,475
S01001694,311,48,184,69,9,1,355
S01001695,322,23,138,132,20,9,500
S01001696,320,37,138,114,25,6,468
S01001697,327,53,114,126,27,7,475
S01001698,235,54,105,69,6,1,266
S01001699,204,2,44,120,29,9,410
S01001700,359,18,85,194,44,18,685
S01001701,424,123,206,80,12,3,415
S01001702,454,88,179,150,27,10,600
S01001703,313,16,145,120,30,2,483
S01001704,350,17,93,156,60,24,692
S01001705,227,10,85,104,23,5,385
S01001706,285,19,93,139,28,6,481
S01001707,368,136,177,49,4,2,295
S01001708,378,54,155,120,32,17,563
S01001709,246,22,114,91,12,7,361
S01001710,300,52,140,89,12,7,384
S01001711,288,21,119,125,18,5,443
S01001712,188,31,85,53,17,2,250
S01001713,290,20,120,114,27,9,466
S01001714,264,22,110,105,21,6,408
S01001715,291,7,100,137,37,10,536
S01001716,377,133,161,63,18,2,349
S01001717,302,22,131,125,21,3,456
S01001718,212,35,93,73,8,3,278
S01001719,269,13,110,125,18,3,429
S01001720,242,9,83,122,22,6,417
S01001721,321,25,149,119,23,5,476
S01001722,291,36,144,92,16,3,388
S01001723,355,23,125,133,47,27,645
S01001724,370,177,143,40,10,0,253
S01001725,343,124,132,63,17,7,338
S01001726,238,20,100,95,20,3,362
S01001727,421,79,182,128,29,3,537
S01001728,229,11,102,100,15,1,352
S01001729,387,54,195,109,21,8,512
S01001730,248,34,109,91,11,3,336
S01001731,252,25,96,107,19,5,390
S01001732,230,29,98,78,19,6,336
S01001733,342,75,124,113,23,7,448
S01001734,206,17,98,80,10,1,292
S01001735,181,16,71,78,14,2,277
S01001736,415,24,118,202,50,21,757
S01001737,241,41,133,63,4,0,271
S01001738,218,13,84,95,22,4,359
S01001739,243,34,126,68,10,5,314
S01001740,303,37,142,97,20,7,426
S01001741,254,82,110,51,8,3,251
S01001742,291,116,120,48,7,0,237
S01001743,455,170,223,48,9,5,366
S01001744,195,11,82,82,14,6,315
S01001745,337,49,191,90,4,3,396
S01001746,349,51,144,117,24,13,508
S01001747,386,150,159,64,8,5,331
S01001748,255,24,122,91,13,5,363
S01001749,373,132,182,45,13,1,316
S01001750,308,76,147,70,13,2,335
S01001751,450,145,197,91,13,4,435
S01001752,346,17,128,167,23,11,575
S01001753,324,129,132,53,7,3,271
S01001754,266,21,78,129,27,11,464
S01001755,405,69,157,133,37,9,572
S01001756,312,57,150,91,12,2,377
S01001757,327,73,121,93,30,10,442
S01001758,349,92,144,102,9,2,384
S01001759,407,192,176,33,5,1,261
S01001760,343,98,134,96,10,5,389
S01001761,372,191,131,40,8,2,245
S01001762,451,168,153,104,23,3,445
S01001763,276,12,108,136,16,4,445
S01001764,189,19,82,69,11,8,291
S01001765,467,177,189,84,13,4,412
S01001766,243,37,102,79,17,8,344
S01001767,238,39,106,79,11,3,309
S01001768,247,32,116,83,13,3,335
S01001769,303,54,163,70,12,4,355
S01001770,311,151,129,26,4,1,197
S01001771,347,83,155,90,15,4,396
S01001772,284,89,133,51,10,1,269
S01001773,437,167,177,80,9,4,383
S01001774,265,33,140,79,9,4,344
S01001775,369,63,186,108,10,2,442
S01001776,319,129,118,51,16,5,295
S01001777,330,37,144,132,14,3,466
S01001778,403,172,165,56,7,3,310
S01001779,257,40,134,73,9,1,311
S01001780,390,123,172,73,17,5,392
S01001781,261,20,139,87,10,5,366
S01001782,404,83,182,116,20,3,486
S01001783,265,143,93,23,6,0,157
S01001784,269,70,121,61,10,7,303
S01001785,239,19,110,76,29,5,369
S01001786,216,22,95,83,16,0,309
S01001787,238,22,99,93,19,5,364
S01001788,315,32,154,90,30,9,461
S01001789,316,85,137,80,13,1,341
S01001790,312,45,147,95,17,8,421
S01001791,299,31,117,125,20,6,456
S01001792,282,40,147,72,17,6,369
S01001793,389,93,158,108,27,3,470
S01001794,376,71,150,131,18,6,490
S01001795,189,22,81,70,13,3,274
S01001796,338,20,131,156,26,5,542
S01001797,316,98,151,45,18,4,311
S01001798,337,18,116,165,29,9,572
S01001799,368,135,179,49,5,0,292
S01001800,347,25,159,120,32,11,543
S01001801,369,18,113,173,50,15,673
S01001802,347,67,184,80,15,1,395
S01001803,424,49,223,119,25,8,569
S01001804,439,114,183,113,23,6,503
S01001805,314,83,155,66,6,4,321
S01001806,276,41,131,92,10,2,354
S01001807,352,48,198,80,21,5,442
S01001808,244,68,111,52,10,3,259
S01001809,528,312,185,28,3,0,250
S01001810,383,65,195,105,16,2,461
S01001811,280,23,132,102,21,2,410
S01001812,334,20,116,164,27,7,554
S01001813,284,23,136,97,21,7,426
S01001814,274,31,132,86,20,5,385
S01001815,352,51,172,105,18,6,462
S01001816,434,37,171,182,31,13,689
S01001817,295,125,122,40,7,1,227
S01001818,338,44,148,129,15,2,459
S01001819,403,31,182,157,23,10,609
S01001820,346,175,138,29,4,0,208
S01001821,179,28,120,28,3,0,185
S01001822,496,112,279,84,16,5,521
S01001823,429,239,149,35,6,0,237
S01001824,345,122,147,67,6,3,312
S01001825,346,41,182,103,15,5,454
S01001826,344,208,111,24,1,0,162
S01001827,369,151,169,41,6,2,278
S01001828,262,17,111,107,26,1,407
S01001829,367,102,175,72,12,6,385
S01001830,337,30,159,123,23,2,483
S01001831,349,146,122,67,14,0,298
S01001832,295,116,148,21,7,3,225
S01001833,489,42,251,163,26,7,687
S01001834,315,120,150,39,4,2,248
S01001835,260,40,133,73,10,4,328
S01001836,356,47,176,117,14,2,460
S01001837,381,54,163,130,30,4,529
S01001838,277,97,142,33,3,2,225
S01001839,433,222,162,43,5,1,267
S01001840,293,36,134,100,20,3,406
S01001841,304,92,168,35,8,1,266
S01001842,293,30,161,85,13,4,389
S01001843,369,210,131,26,1,1,190
S01001844,409,61,184,122,34,8,564
S01001845,270,25,97,116,28,4,431
S01001846,323,22,184,103,12,2,435
S01001847,414,189,170,45,5,5,298
S01001848,394,237,127,24,4,2,196
S01001849,252,37,94,98,15,8,369
S01001850,333,106,176,43,8,0,286
S01001851,321,47,159,94,16,5,417
S01001852,301,25,159,91,22,4,426
S01001853,316,42,164,95,11,4,404
S01001854,458,187,193,73,4,1,355
S01001855,335,40,177,103,10,5,433
S01001856,418,222,164,30,2,0,230
S01001857,323,132,127,57,5,2,264
S01001858,363,74,193,79,11,6,408
S01001859,433,155,197,69,10,2,373
S01001860,323,25,151,129,14,4,469
S01001861,404,226,145,28,3,2,219
S01001862,322,30,168,106,15,3,437
S01001863,348,40,187,100,17,4,456
S01001864,607,356,204,43,4,0,302
S01001865,325,222,84,14,5,0,127
S01001866,286,24,125,107,26,4,434
S01001867,289,90,137,50,11,1,274
S01001868,301,43,139,106,11,2,392
S01001869,386,83,215,75,9,4,410
S01001870,426,246,136,35,9,0,233
S01001871,827,174,431,197,20,5,905
S01001872,346,102,184,53,5,2,313
S01001873,291,24,140,111,11,5,417
S01001874,486,267,187,27,3,2,260
S01001875,338,21,159,136,18,4,510
S01001876,486,225,194,53,9,5,348
S01001877,393,211,137,41,4,0,231
S01001878,433,44,193,153,37,6,634
S01001879,400,299,86,9,5,1,124
S01001880,393,261,114,16,2,0,152
S01001881,315,45,151,96,19,4,417
S01001882,350,94,181,65,7,3,345
S01001883,228,17,105,93,11,2,332
S01001884,464,253,173,34,3,1,254
S01001885,459,48,201,172,30,8,668
S01001886,349,246,90,11,2,0,118
S01001887,357,91,170,82,12,2,379
S01001888,358,36,166,123,27,6,522
S01001889,261,79,136,42,4,0,232
S01001890,428,175,191,46,12,4,336
S01001891,352,173,145,30,4,0,217
S01001892,528,364,133,30,1,0,196
S01001893,501,332,140,25,3,1,203
S01001894,368,260,96,9,3,0,123
S01001895,394,173,170,38,10,3,288
S01001896,324,59,168,87,7,3,375
S01001897,450,307,123,20,0,0,163
S01001898,353,238,96,16,2,1,138
S01001899,330,120,145,56,7,2,286
S01001900,342,107,154,69,7,5,335
S01001901,397,93,200,93,11,0,419
S01001902,388,81,176,108,17,6,474
S01001903,249,120,102,20,6,1,164
S01001904,327,159,124,37,5,2,221
S01001905,378,93,187,88,9,1,394
S01001906,307,129,139,34,5,0,222
S01001907,360,168,150,33,9,0,243
S01001908,316,48,147,105,12,4,414
S01001909,355,222,116,12,4,1,156
S01001910,318,130,142,39,6,1,242
S01001911,297,46,158,77,13,3,363
S01001912,346,148,156,38,4,0,244
S01001913,408,92,229,70,16,1,421
S01001914,239,30,107,75,21,6,344
S01001915,390,76,196,99,18,1,453
S01001916,463,198,208,50,6,1,330
S01001917,256,29,127,77,19,4,357
S01001918,592,268,282,35,6,1,374
S01001919,413,151,221,37,3,1,308
S01001920,356,147,160,47,2,0,260
S01001921,316,145,130,36,4,1,218
S01001922,332,32,133,137,26,4,501
S01001923,229,74,120,31,3,1,195
S01001924,344,98,175,66,4,1,323
S01001925,309,25,171,99,10,4,415
S01001926,232,108,92,26,6,0,162
S01001927,410,92,201,96,19,2,458
S01001928,420,187,190,39,4,0,280
S01001929,509,88,307,99,13,2,553
S01001930,453,198,217,32,5,1,300
S01001931,298,161,108,24,5,0,171
S01001932,373,144,163,53,10,3,311
S01001933,358,57,203,82,13,3,419
S01001934,833,306,411,104,11,1,656
S01001935,452,309,124,16,3,0,165
S01001936,585,206,309,62,8,0,457
S01001937,459,198,194,57,6,4,345
S01001938,262,74,140,43,1,4,245
S01001939,277,133,119,24,1,0,170
S01001940,327,93,180,44,6,4,305
S01001941,428,88,228,92,16,4,476
S01001942,301,119,159,21,1,1,213
S01001943,277,113,127,31,3,3,210
S01001944,346,81,165,80,17,3,388
S01001945,326,54,207,57,5,3,348
S01001946,347,210,113,21,2,1,165
S01001947,452,108,220,107,12,5,492
S01001948,387,248,115,18,5,1,170
S01001949,307,154,129,22,2,0,179
S01001950,528,259,226,39,4,0,316
S01001951,508,286,195,26,0,1,252
S01001952,287,60,155,63,4,5,313
S01001953,367,128,151,76,12,0,339
S01001954,204,60,111,24,9,0,186
S01001955,564,294,237,32,1,0,304
S01001956,299,147,113,35,4,0,195
S01001957,236,146,77,12,1,0,104
S01001958,455,280,155,18,2,0,197
S01001959,251,81,103,53,4,10,268
S01001960,366,103,171,73,10,9,385
S01001961,543,154,318,66,4,1,466
S01001962,420,151,195,57,15,2,362
S01001963,487,222,211,48,5,1,328
S01001964,383,91,222,56,13,1,377
S01001965,407,225,150,30,2,0,216
S01001966,768,389,309,62,7,1,458
S01001967,314,113,160,37,4,0,246
S01001968,442,154,222,56,8,2,368
S01001969,305,137,137,27,2,2,206
S01001970,283,58,141,68,14,2,327
S01001971,440,283,139,16,2,0,177
S01001972,330,118,168,36,5,3,275
S01001973,326,101,172,42,10,1,290
S01001974,362,98,194,61,8,1,344
S01001975,416,176,166,66,4,4,327
S01001976,329,159,131,28,11,0,220
S01001977,439,252,147,38,2,0,229
S01001978,612,350,218,38,6,0,312
S01001979,309,122,122,44,16,5,279
S01001980,443,161,241,39,2,0,325
S01001981,418,176,180,53,6,3,316
S01001982,200,121,70,8,1,0,89
S01001983,337,177,118,35,5,2,211
S01001984,515,261,206,43,2,3,310
S01001985,339,98,200,33,8,0,290
S01001986,373,181,161,29,2,0,225
S01001987,281,126,114,35,5,1,203
S01001988,350,103,177,57,11,2,332
S01001989,388,87,200,88,7,6,424
S01001990,343,119,174,44,4,2,282
S01001991,334,108,168,45,12,1,298
S01001992,306,93,145,57,8,3,295
S01001993,276,80,132,51,7,6,282
S01001994,386,129,207,45,5,0,312
S01001995,323,71,201,47,3,1,308
S01001996,351,155,156,33,6,1,246
S01001997,420,218,165,34,2,1,243
S01001998,308,80,169,49,9,1,298
S01001999,267,133,101,28,3,2,174
S01002000,345,121,158,57,7,2,301
S01002001,572,369,191,11,0,1,217
S01002002,259,120,109,27,3,0,172
S01002003,358,90,164,86,13,5,399
S01002004,453,246,174,29,3,1,245
S01002005,465,260,179,25,0,1,233
S01002006,352,75,189,70,14,4,388
S01002007,676,417,228,26,2,3,300
S01002008,433,168,210,46,7,2,331
S01002009,412,192,167,45,6,2,283
S01002010,203,73,101,22,6,1,167
S01002011,447,71,243,112,16,5,536
S01002012,360,174,156,26,3,1,221
S01002013,371,180,134,50,7,0,255
S01002014,331,154,136,38,1,2,223
S01002015,330,49,191,72,15,3,392
S01002016,330,149,145,33,2,1,222
S01002017,499,310,151,35,2,1,231
S01002018,343,73,190,73,7,0,357
S01002019,290,124,122,40,4,0,214
S01002020,180,129,45,5,1,0,58
S01002021,543,275,222,42,4,0,318
S01002022,411,75,154,147,22,13,571
S01002023,351,149,171,30,0,1,237
S01002024,323,139,151,31,2,0,219
S01002025,560,329,214,17,0,0,248
S01002026,299,60,162,66,7,4,331
S01002027,453,309,119,20,5,0,174
S01002028,314,177,109,21,7,0,172
S01002029,272,125,115,28,3,1,184
S01002030,470,304,148,18,0,0,184
S01002031,409,265,127,16,1,0,162
S01002032,386,182,169,28,3,4,257
S01002033,525,360,142,21,2,0,190
S01002034,376,241,117,14,3,1,158
S01002035,308,71,154,62,17,4,348
S01002036,589,370,205,14,0,0,233
S01002037,307,176,110,15,6,0,158
S01002038,200,75,93,26,4,2,165
S01002039,300,73,139,74,10,4,344
S01002040,339,196,125,17,1,0,162
S01002041,430,205,177,43,4,1,279
S01002042,522,229,212,70,8,3,388
S01002043,367,126,179,58,3,1,308
S01002044,292,183,93,9,5,2,134
S01002045,481,138,270,66,5,2,425
S01002046,387,267,108,10,2,0,134
S01002047,344,182,122,37,3,0,205
S01002048,260,178,61,15,6,0,109
S01002049,544,350,161,28,4,1,235
S01002050,290,62,127,83,14,4,352
S01002051,367,187,127,44,7,2,244
S01002052,525,349,158,13,3,2,201
S01002053,311,171,116,21,3,0,167
S01002054,323,160,138,23,2,0,190
S01002055,350,42,170,113,21,4,478
S01002056,459,178,206,58,12,5,378
S01002057,431,86,249,85,9,2,455
S01002058,536,341,167,23,5,0,228
S01002059,402,264,126,10,2,0,152
S01002060,331,240,80,9,2,0,104
S01002061,396,265,116,15,0,0,146
S01002062,297,153,123,17,0,4,173
S01002063,524,324,180,16,2,2,230
S01002064,591,324,225,37,4,1,315
S01002065,308,163,126,17,2,0,166
S01002066,649,448,174,26,1,0,229
S01002067,420,158,176,73,11,2,364
S01002068,585,410,159,16,0,0,191
S01002069,291,65,159,53,11,3,311
S01002070,371,232,127,12,0,0,151
S01002071,341,227,101,13,0,0,127
S01002072,534,152,270,92,16,4,524
S01002073,426,324,95,6,1,0,110
S01002074,286,44,149,74,14,5,359
S01002075,560,269,244,39,4,4,350
S01002076,434,319,99,13,3,0,134
S01002077,349,57,175,99,14,4,434
S01002078,476,84,230,124,23,15,612
S01002079,516,354,151,10,1,0,174
S01002080,385,44,181,131,24,5,538
S01002081,361,214,132,12,3,0,165
S01002082,514,173,283,51,7,0,406
S01002083,295,161,111,14,9,0,166
S01002084,442,226,171,43,2,0,263
S01002085,276,195,72,9,0,0,90
S01002086,326,265,54,3,3,1,73
S01002087,576,434,123,17,2,0,163
S01002088,400,96,203,82,15,4,428
S01002089,438,62,239,116,16,5,540
S01002090,480,123,212,110,27,8,555
S01002091,446,323,98,22,3,0,151
S01002092,383,55,186,123,13,6,495
S01002093,437,328,95,14,0,0,123
S01002094,359,143,165,42,8,1,278
S01002095,264,43,141,68,9,3,317
S01002096,539,57,220,220,31,11,808
S01002097,299,29,150,91,25,4,425
S01002098,352,122,154,60,14,2,325
S01002099,401,135,206,53,3,4,337
S01002100,266,71,126,62,6,1,272
S01002101,592,397,179,15,1,0,212
S01002102,337,175,138,23,0,1,188
S01002103,275,46,151,67,8,3,322
S01002104,540,402,127,9,1,1,152
S01002105,343,30,133,147,28,5,532
S01002106,413,326,64,20,3,0,113
S01002107,211,39,123,39,8,2,233
S01002108,393,301,79,12,0,1,107
S01002109,444,279,137,22,4,2,201
S01002110,334,60,172,82,14,6,406
S01002111,430,61,243,107,15,4,518
S01002112,491,103,262,110,14,2,532
S01002113,321,48,161,81,28,3,421
S01002114,273,17,128,108,14,6,411
S01002115,503,163,258,72,8,2,434
S01002116,363,113,185,54,8,3,331
S01002117,476,343,115,16,1,1,154
S01002118,546,444,88,11,3,0,119
S01002119,290,155,102,29,4,0,172
S01002120,319,57,170,78,10,4,372
S01002121,307,107,147,45,5,3,266
S01002122,362,21,154,136,34,17,606
S01002123,398,45,200,125,21,7,541
S01002124,413,76,239,83,12,3,453
S01002125,454,122,238,77,15,2,445
S01002126,243,59,118,55,10,1,262
S01002127,315,111,140,51,11,2,283
S01002128,391,190,155,37,7,2,259
S01002129,489,289,178,19,2,1,226
S01002130,227,49,116,55,4,3,250
S01002131,420,304,103,12,1,0,130
S01002132,404,137,208,54,4,1,332
S01002133,615,241,293,72,7,2,468
S01002134,252,32,130,73,14,3,335
S01002135,337,22,148,135,17,15,542
S01002136,426,108,230,74,6,8,434
S01002137,380,80,214,72,11,3,404
S01002138,404,186,166,48,3,1,275
S01002139,285,57,171,53,4,0,289
S01002140,421,242,145,29,5,0,218
S01002141,326,118,164,37,5,2,261
S01002142,460,102,205,124,24,5,550
S01002143,377,151,165,51,8,2,300
S01002144,316,30,147,115,20,4,454
S01002145,503,137,265,89,9,3,482
S01002146,537,254,216,59,7,1,375
S01002147,424,196,164,54,9,1,303
S01002148,345,35,150,134,22,4,500
S01002149,572,302,223,44,2,1,322
S01002150,338,130,168,36,2,2,256
S01002151,876,460,366,41,5,4,480
S01002152,425,98,256,64,5,2,407
S01002153,234,65,109,50,10,0,239
S01002154,435,239,154,38,4,0,242
S01002155,511,302,174,32,3,0,247
S01002156,396,146,193,49,5,3,319
S01002157,349,60,190,81,15,3,409
S01002158,421,79,247,81,12,2,455
S01002159,379,182,145,40,11,1,262
S01002160,530,354,156,17,2,1,203
S01002161,338,186,118,32,2,0,188
S01002162,429,110,201,97,17,4,462
S01002163,678,373,273,30,2,0,339
S01002164,345,115,155,60,9,6,331
S01002165,406,79,227,92,8,0,435
S01002166,401,120,208,58,12,3,374
S01002167,304,136,114,44,9,1,233
S01002168,634,352,229,43,6,4,357
S01002169,455,170,232,50,3,0,341
S01002170,434,210,167,51,5,1,288
S01002171,285,98,131,50,6,0,249
S01002172,313,67,156,70,15,5,362
S01002173,533,171,258,93,10,1,478
S01002174,500,244,207,43,4,2,313
S01002175,598,340,221,33,3,1,300
S01002176,375,71,184,93,19,8,460
S01002177,467,143,263,57,2,2,391
S01002178,561,253,257,47,4,0,363
S01002179,283,50,147,73,9,4,336
S01002180,263,107,103,48,4,1,216
S01002181,473,197,231,40,4,1,327
S01002182,384,151,168,57,6,2,308
S01002183,548,395,140,12,1,0,167
S01002184,329,43,166,105,14,1,425
S01002185,541,302,199,38,2,0,281
S01002186,383,203,154,23,2,1,211
S01002187,483,166,243,61,12,1,405
S01002188,358,85,193,67,7,6,372
S01002189,391,220,147,20,4,0,199
S01002190,389,183,153,44,7,2,270
S01002191,459,298,134,25,2,0,190
S01002192,399,133,183,67,12,4,370
S01002193,353,37,154,140,21,1,501
S01002194,342,126,142,57,15,2,309
S01002195,712,341,326,39,4,2,424
S01002196,282,48,149,61,21,3,347
S01002197,391,213,159,17,2,0,199
S01002198,490,302,166,21,0,1,213
S01002199,386,163,171,43,8,1,285
S01002200,438,55,183,173,22,5,615
S01002201,620,256,302,56,4,2,435
S01002202,420,182,195,35,6,2,292
S01002203,260,145,98,17,0,0,132
S01002204,418,262,123,30,2,1,193
S01002205,392,150,204,34,3,1,285
S01002206,558,303,222,31,0,2,299
S01002207,336,58,152,104,17,5,432
S01002208,352,152,161,32,5,2,248
S01002209,582,345,219,15,2,1,260
S01002210,328,119,171,33,4,1,254
S01002211,397,290,89,18,0,0,125
S01002212,676,370,264,37,4,1,364
S01002213,320,73,127,91,21,8,408
S01002214,434,172,230,30,1,1,297
S01002215,464,95,222,127,18,2,538
S01002216,973,524,371,70,6,2,537
S01002217,666,449,187,26,4,0,251
S01002218,296,147,118,31,0,0,180
S01002219,304,42,150,90,16,6,403
S01002220,299,15,112,135,29,8,510
S01002221,614,405,185,22,1,1,240
S01002222,331,25,147,133,22,4,498
S01002223,308,58,162,74,11,3,355
S01002224,397,42,170,144,35,6,588
S01002225,464,217,209,35,3,0,288
S01002226,510,221,241,42,6,0,343
S01002227,444,232,178,29,4,1,253
S01002228,402,64,207,99,25,7,508
S01002229,318,52,127,111,21,7,440
S01002230,549,246,249,51,3,0,360
S01002231,410,165,196,45,4,0,298
S01002232,374,158,162,41,10,3,288
S01002233,575,381,170,22,0,2,254
S01002234,502,329,158,15,0,0,188
S01002235,606,339,216,39,10,2,334
S01002236,415,186,154,62,10,3,321
S01002237,596,207,298,84,6,1,488
S01002238,322,195,106,20,1,0,149
S01002239,500,302,163,32,2,1,237
S01002240,508,285,186,31,4,2,268
S01002241,485,245,190,40,9,1,301
S01002242,348,69,175,88,11,5,404
S01002243,403,202,171,23,7,0,238
S01002244,520,253,230,35,1,1,307
S01002245,1079,403,559,106,9,2,806
S01002246,579,345,205,27,2,0,265
S01002247,389,236,123,28,1,1,192
S01002248,519,145,273,93,6,2,485
S01002249,582,378,182,22,0,0,226
S01002250,433,152,225,51,5,0,342
S01002251,323,36,117,139,25,6,495
S01002252,350,47,194,92,15,2,432
S01002253,463,207,190,57,8,1,333
S01002254,557,334,199,22,2,0,249
S01002255,1043,490,474,72,7,0,639
S01002256,640,120,407,93,17,3,659
S01002257,306,89,164,39,9,5,289
S01002258,471,324,122,20,3,2,181
S01002259,266,104,126,34,2,0,200
S01002260,354,20,139,157,28,10,581
S01002261,413,92,217,88,12,4,445
S01002262,345,79,166,82,15,3,387
S01002263,354,40,145,133,27,9,539
S01002264,393,119,220,47,4,3,339
S01002265,743,382,286,71,3,1,441
S01002266,425,272,135,15,3,0,174
S01002267,431,268,130,30,3,0,199
S01002268,285,35,156,81,11,2,363
S01002269,526,219,216,76,13,2,415
S01002270,883,498,321,55,5,4,463
S01002271,407,117,222,54,13,1,373
S01002272,371,125,193,42,10,1,312
S01002273,415,225,161,27,2,0,221
S01002274,746,344,345,50,7,0,466
S01002275,643,343,233,58,9,0,376
S01002276,340,25,119,164,27,5,550
S01002277,421,213,166,40,2,0,252
S01002278,510,351,138,17,2,2,188
S01002279,635,408,198,24,5,0,261
S01002280,333,63,177,82,10,1,375
S01002281,290,202,70,18,0,0,106
S01002282,137,98,29,3,6,1,57
S01002283,297,77,142,69,9,0,307
S01002284,915,246,488,163,17,1,869
S01002285,572,388,162,19,2,1,210
S01002286,368,120,200,45,2,1,300
S01002287,334,105,172,48,7,2,297
S01002288,712,302,330,71,8,1,500
S01002289,681,396,242,40,3,0,331
S01002290,568,339,197,29,3,0,264
S01002291,475,393,72,10,0,0,92
S01002292,616,343,226,45,2,0,322
S01002293,347,123,176,41,7,0,279
S01002294,269,52,144,58,12,3,308
S01002295,333,42,184,82,21,4,432
S01002297,398,150,180,55,9,4,333
S01002298,271,62,154,46,9,0,273
S01002299,323,54,167,83,13,6,400
S01002300,359,73,178,90,15,3,416
S01002301,924,335,467,110,11,1,729
S01002302,372,207,129,32,3,1,206
S01002303,400,213,152,28,7,0,229
S01002304,969,352,508,96,12,1,740
S01002305,467,321,126,17,3,0,169
S01002306,218,86,104,27,1,0,161
