"dz_2001","total","employed","unemployed","student","retired","homemaker","sick","inactive_other"
"S01000479",688,372,25,49,113,52,43,34
"S01000480",466,308,9,28,57,28,24,12
"S01000481",612,417,11,29,64,34,38,19
"S01000482",614,322,34,20,99,37,64,38
"S01000483",648,347,37,26,119,35,54,30
"S01000484",595,376,28,36,72,35,32,16
"S01000485",821,587,12,48,79,59,24,12
"S01000486",631,307,78,23,63,23,78,59
"S01000487",381,229,8,14,82,18,16,14
"S01000488",521,298,17,24,74,34,48,26
"S01000489",667,297,39,26,135,42,87,41
"S01000490",419,315,7,18,45,21,6,7
"S01000491",398,198,24,11,46,38,43,38
"S01000492",688,394,40,39,74,54,60,27
"S01000493",431,271,4,25,78,27,13,13
"S01000494",383,211,24,21,31,35,34,27
"S01000495",692,430,22,41,99,50,26,24
"S01000496",434,324,9,11,30,35,15,10
"S01000497",465,318,9,18,59,26,21,14
"S01000498",423,270,4,21,84,17,13,14
"S01000499",588,383,9,28,82,41,29,16
"S01000500",493,304,30,33,42,33,34,17
"S01000501",442,260,11,22,85,22,28,14
"S01000502",390,273,5,19,28,26,21,18
"S01000503",381,240,12,16,37,31,29,16
"S01000504",494,329,10,16,80,19,24,16
"S01000505",558,360,6,23,76,37,39,17
"S01000506",469,322,13,19,60,38,10,7
"S01000507",743,466,20,23,135,38,35,26
"S01000508",666,428,22,30,89,58,29,10
"S01000509",739,472,11,27,125,36,35,33
"S01000510",483,289,10,22,77,34,27,24
"S01000511",396,265,9,21,42,32,20,7
"S01000512",636,404,11,18,123,48,17,15
"S01000513",602,338,23,27,103,41,40,30
"S01000514",417,306,9,8,47,23,15,9
"S01000515",373,257,8,23,39,21,14,11
"S01000516",469,310,8,21,52,36,31,11
"S01000517",451,279,13,22,73,35,21,8
"S01000518",625,375,17,24,109,43,38,19
"S01000519",367,264,11,20,29,18,16,9
"S01000520",728,489,23,30,81,49,35,21
"S01000521",658,375,16,32,84,64,63,24
"S01000522",474,336,9,18,32,38,28,13
"S01000523",552,340,23,23,71,42,30,23
"S01000524",473,303,15,26,50,39,23,17
"S01000525",710,431,21,28,92,65,52,21
"S01000526",683,456,21,42,67,45,36,16
"S01000527",446,311,6,18,49,31,17,14
"S01000528",657,362,12,23,87,43,117,13
"S01000529",554,357,21,18,59,39,41,19
"S01000530",369,225,13,11,45,36,19,20
"S01000531",392,246,9,24,46,27,24,16
"S01000532",549,276,22,27,116,34,51,23
"S01000533",575,316,16,34,87,51,48,23
"S01000534",611,343,18,27,125,34,40,24
"S01000535",702,465,9,17,102,30,50,29
"S01000536",388,233,4,17,65,27,29,13
