dz_2011,total,white,pakistani,chinese,other
S01007040,1237,1230,0,3,4
S01007041,925,914,0,4,7
S01007042,987,983,0,1,3
S01007043,1112,1103,0,1,8
S01007044,1013,1005,0,0,8
S01007045,948,938,0,2,8
S01007046,574,572,0,0,2
S01007047,1014,1012,0,0,2
S01007048,1303,1298,0,1,4
S01007049,1039,1031,1,0,7
S01007050,1042,1021,1,0,20
S01007051,1029,1023,0,1,5
S01007052,573,567,1,1,4
S01007053,802,798,0,0,4
S01007054,1130,1124,2,0,4
S01007055,515,513,0,0,2
S01007056,902,883,0,0,19
S01007057,833,829,0,0,4
S01007058,768,764,0,3,1
S01007059,1336,1307,6,3,20
S01007060,604,603,1,0,0
S01007061,1155,1132,0,0,23
S01007062,758,747,0,2,9
S01007063,1503,1484,4,5,10
S01007064,762,750,8,1,3
S01007065,950,938,0,0,12
S01007066,648,646,0,0,2
S01007067,1290,1268,0,4,18
S01007068,692,690,0,0,2
S01007069,997,984,0,5,8
S01007070,733,724,0,4,5
S01007071,1234,1222,0,1,11
S01007072,1482,1469,1,6,6
S01007073,1529,1515,5,1,8
S01007074,1102,1091,4,4,3
S01007075,901,895,0,1,5
S01007076,1048,1037,0,5,6
S01007077,757,748,3,0,6
S01007078,964,953,0,1,10
S01007079,1226,1215,2,2,7
S01007080,790,782,0,0,8
S01007081,1064,1051,0,2,11
S01007082,699,692,0,0,7
S01007083,937,926,0,0,11
S01007084,911,898,0,2,11
S01007085,1118,1068,4,2,44
S01007086,1385,1338,5,0,42
S01007087,986,975,0,0,11
S01007088,651,646,1,1,3
S01007089,529,528,0,0,1
S01007090,540,535,0,2,3
S01007091,1388,1357,10,6,15
S01007092,624,613,0,0,11
S01007093,987,982,0,2,3
S01007094,2273,2236,11,6,20
S01007095,736,735,0,0,1
S01007096,1172,1167,0,0,5
S01007097,2158,2112,10,11,25
S01007098,1650,1616,10,6,18
S01007099,883,879,0,1,3
S01007100,868,864,0,1,3
S01007101,1358,1344,0,0,14
S01007102,847,841,0,1,5
S01007103,832,830,0,0,2
S01007104,486,481,0,0,5
S01007105,655,653,0,0,2
S01007106,898,891,0,0,7
S01007107,766,763,0,0,3
S01007108,1249,1244,0,2,3
S01007109,1526,1517,1,2,6
S01007110,1052,1045,0,1,6
S01007111,534,528,0,1,5
S01007112,928,918,0,0,10
S01007113,758,745,0,0,13
S01007114,888,884,0,0,4
S01007115,720,715,0,3,2
S01007116,1304,1295,0,3,6
S01007117,553,552,0,0,1
S01007118,847,841,1,3,2
S01007119,964,962,0,0,2
S01007120,1163,1150,1,1,11
S01007121,835,820,1,0,14
S01007122,594,579,5,5,5
S01007123,965,957,0,1,7
S01007124,1095,1088,0,0,7
S01007125,867,851,1,3,12
S01007126,1090,1075,0,2,13
S01007127,1030,1017,0,2,11
S01007128,979,966,1,1,11
S01007129,956,931,0,10,15
S01007130,676,669,0,0,7
S01007131,1096,1073,8,0,15
S01007132,700,688,8,0,4
S01007133,674,670,0,1,3
S01007134,860,837,1,2,20
S01007135,806,794,0,7,5
S01007136,661,620,12,3,26
S01007137,842,822,3,1,16
S01007138,957,938,0,1,18
S01007139,776,763,5,5,3
S01007140,1022,1009,0,0,13
S01007141,1331,1298,12,4,17
S01007142,201,198,0,0,3
S01007143,1174,1160,6,0,8
S01007144,2358,2336,5,4,13
S01007145,892,859,18,8,7
S01007146,881,865,0,5,11
S01007147,830,806,7,0,17
S01007148,538,507,5,21,5
S01007149,850,828,12,0,10
S01007150,750,731,1,6,12
S01007151,1188,1152,10,4,22
S01007152,787,782,0,0,5
S01007153,916,912,0,3,1
S01007154,1000,978,1,3,18
S01007155,715,708,1,4,2
S01007156,1127,1120,0,3,4
S01007157,875,865,0,0,10
S01007158,1043,1025,0,7,11
S01007159,933,914,3,2,14
S01007160,969,956,0,4,9
S01007161,1114,1106,0,0,8
S01007162,608,604,2,0,2
S01007163,1019,1009,1,0,9
S01007164,778,768,1,0,9
S01007165,987,977,0,0,10
S01007166,1096,1086,3,0,7
S01007167,795,786,1,2,6
S01007168,965,955,4,2,4
S01007169,854,839,3,0,12
S01007170,744,740,0,1,3
S01007171,1048,1044,0,1,3
S01007172,1330,1325,0,1,4
S01007173,523,521,0,0,2
S01007174,1004,1000,0,0,4
S01007175,922,920,2,0,0
S01007176,1078,1065,0,9,4
S01007177,801,789,1,6,5
S01007178,1045,1035,3,3,4
S01007179,1320,1307,2,5,6
S01007180,1009,1002,0,4,3
S01007181,1158,1150,0,7,1
S01007182,1250,1240,0,6,4
S01007183,1321,1311,4,1,5
S01007184,1039,1027,7,2,3
S01007185,979,967,5,1,6
S01007186,777,760,8,2,7
S01007187,804,781,2,5,16
S01007188,803,785,6,1,11
S01007189,910,899,5,0,6
S01007190,935,923,0,4,8
S01007191,735,721,3,6,5
S01007192,784,779,3,0,2
S01007193,893,885,0,6,2
S01007194,641,638,1,0,2
S01007195,1056,1046,5,0,5
S01007196,974,961,4,0,9
S01007197,743,738,0,3,2
S01007198,532,526,0,4,2
S01007199,1091,1079,0,1,11
S01007200,849,847,0,0,2
S01007201,1014,1008,0,0,6
S01007202,735,729,0,0,6
S01007203,840,839,0,1,0
S01007204,1078,1067,0,0,11
S01007205,843,835,0,0,8
S01007206,392,387,1,1,3
S01007207,1048,1035,0,0,13
S01007208,990,968,0,6,16
S01007209,833,801,1,8,23
S01007210,1067,1061,0,0,6
S01007211,967,953,0,2,12
S01007212,847,821,3,5,18
S01007213,912,902,0,3,7
S01007214,1074,1043,4,8,19
S01007215,984,962,0,12,10
S01007216,791,787,0,1,3
S01007217,1186,1159,0,0,27
S01007218,992,965,0,2,25
S01007219,1097,1083,0,0,14
S01007220,787,780,0,0,7
S01007221,1105,1089,0,3,13
S01007222,1100,1087,0,0,13
S01007223,714,711,0,1,2
S01007224,742,733,2,0,7
S01007225,1206,1191,2,2,11
S01007226,1027,1020,0,1,6
S01007227,1533,1518,1,2,12
S01007228,819,810,2,0,7
S01007229,1249,1242,0,0,7
S01007230,1291,1280,1,0,10
S01007231,818,808,0,0,10
S01007232,726,718,0,0,8
S01007233,788,775,5,2,6
S01007234,630,629,0,0,1
S01007235,1078,1068,4,0,6
S01007236,1094,1070,6,2,16
S01007237,779,767,0,0,12
S01007238,1007,1004,0,1,2
S01007239,1422,1412,2,5,3
S01007240,539,532,0,0,7
S01007241,1174,1170,0,0,4
S01007242,1158,1156,0,0,2
S01007243,1415,1408,2,1,4
S01007244,721,713,0,5,3
S01007245,776,764,6,0,6
S01007246,891,877,9,0,5
S01007247,1082,1075,0,1,6
S01007248,1060,1039,16,0,5
S01007249,609,596,7,4,2
S01007250,822,814,0,4,4
S01007251,893,887,0,0,6
S01007252,925,921,3,0,1
S01007253,798,796,0,0,2
S01007254,948,938,0,0,10
S01007255,1038,1035,0,0,3
S01007256,935,917,5,1,12
S01007257,894,863,12,8,11
S01007258,886,876,0,2,8
S01007259,1048,1039,3,0,6
S01007260,1218,1196,1,2,19
S01007261,1051,1034,4,5,8
S01007262,712,707,0,0,5
S01007263,1142,1137,0,1,4
S01007264,869,862,4,0,3
S01007265,1216,1203,7,3,3
S01007266,823,813,1,0,9
S01007267,610,601,1,1,7
S01007268,596,592,0,0,4
S01007269,667,660,1,0,6
S01007270,457,453,1,0,3
S01007271,1146,1142,0,0,4
S01007272,1141,1125,0,0,16
S01007273,760,745,4,0,11
S01007274,905,892,2,6,5
S01007275,729,716,2,3,8
S01007276,1159,1150,0,0,9
S01007277,919,913,0,0,6
S01007278,941,939,0,0,2
S01007279,674,668,0,1,5
S01007280,676,663,2,1,10
S01007281,1181,1170,1,0,10
S01007282,538,532,0,1,5
S01007283,1023,1007,3,1,12
S01007284,848,840,0,1,7
S01007285,1145,1138,0,1,6
S01007286,1464,1456,0,1,7
S01007287,616,609,0,0,7
S01007288,667,661,0,0,6
S01007289,1011,1003,0,1,7
S01007290,1136,1117,0,0,19
S01007291,637,631,0,0,6
S01007292,771,760,3,4,4
S01007293,1080,1051,2,2,25
S01007294,1054,1045,0,0,9
S01007295,677,668,0,0,9
S01007296,563,551,0,1,11
S01007297,1176,1142,0,5,29
S01007298,532,523,0,2,7
S01007299,1008,989,5,0,14
S01007300,668,658,0,0,10
S01007301,870,864,0,2,4
S01007302,796,792,0,2,2
S01007303,1117,1105,1,1,10
S01007304,693,690,0,0,3
S01007305,1008,1000,0,3,5
S01007306,1252,1242,0,1,9
