"dz_2011","total","house","flat","caravan","shared"
"S01006913",140,135,1,4,0
"S01006914",664,654,6,4,0
"S01006915",797,781,13,3,0
"S01006916",82,77,0,0,5
"S01006917",113,113,0,0,0
"S01006918",359,332,27,0,0
"S01006919",373,359,14,0,0
"S01006920",143,117,26,0,0
"S01006921",233,230,3,0,0
"S01006922",289,284,5,0,0
"S01006923",709,606,91,11,1
"S01006924",655,579,75,1,0
"S01006925",697,658,39,0,0
"S01006926",102,102,0,0,0
"S01006928",983,928,32,23,0
"S01006929",856,856,0,0,0
"S01006930",1030,1006,24,0,0
"S01006931",420,414,5,1,0
"S01006932",263,263,0,0,0
"S01006933",682,676,6,0,0
"S01006934",510,506,2,2,0
"S01006935",798,726,72,0,0
"S01006936",588,548,40,0,0
"S01006937",816,688,128,0,0
"S01006938",592,494,98,0,0
"S01006939",544,539,0,5,0
"S01006940",1023,924,99,0,0
"S01006941",734,701,3,30,0
"S01006942",1002,970,32,0,0
"S01006945",663,625,38,0,0
"S01006946",782,728,51,3,0
"S01006947",471,459,12,0,0
"S01006948",853,809,40,4,0
"S01006949",574,559,11,4,0
"S01006951",484,476,8,0,0
"S01006952",734,703,10,21,0
"S01006953",733,729,4,0,0
"S01006954",583,574,9,0,0
"S01006955",752,625,124,3,0
"S01006956",390,389,1,0,0
"S01006957",827,789,14,24,0
"S01006958",842,834,8,0,0
"S01006959",658,432,226,0,0
"S01006960",130,130,0,0,0
"S01006962",814,797,17,0,0
"S01006963",621,547,74,0,0
"S01006964",633,400,233,0,0
"S01006965",439,311,128,0,0
"S01006966",680,672,8,0,0
"S01006967",759,730,29,0,0
"S01006968",491,491,0,0,0
"S01006969",972,861,111,0,0
"S01006970",685,656,29,0,0
"S01006971",347,300,47,0,0
"S01006972",474,472,0,2,0
"S01006973",711,687,24,0,0
"S01006974",796,774,22,0,0
"S01006975",929,901,17,6,5
"S01006976",705,674,27,4,0
"S01006977",1013,971,42,0,0
"S01006978",790,770,18,2,0
"S01006979",583,564,19,0,0
"S01006980",920,914,2,4,0
"S01006981",787,746,41,0,0
"S01006982",670,652,18,0,0
"S01006983",727,718,7,2,0
"S01006984",768,739,26,3,0
"S01006985",1005,947,52,6,0
"S01006986",306,281,25,0,0
"S01006987",662,575,87,0,0
"S01006988",311,308,3,0,0
"S01006989",716,706,8,2,0
"S01006990",361,354,3,4,0
"S01006991",493,448,45,0,0
"S01006992",581,576,3,2,0
"S01006993",520,512,0,8,0
"S01006994",557,549,4,4,0
"S01006995",1037,1019,17,1,0
"S01006996",312,312,0,0,0
"S01006997",601,591,10,0,0
"S01006998",974,938,28,8,0
"S01006999",789,775,6,8,0
"S01007000",509,482,23,1,3
"S01007001",683,646,37,0,0
"S01007002",428,421,7,0,0
"S01007003",454,454,0,0,0
"S01007004",723,703,20,0,0
"S01007005",824,811,10,3,0
"S01007006",871,816,46,9,0
"S01007007",741,736,2,3,0
"S01007008",829,708,121,0,0
"S01007009",1033,772,253,8,0
"S01007010",823,673,150,0,0
"S01007011",856,576,280,0,0
"S01007012",769,734,35,0,0
"S01007013",767,695,71,1,0
"S01007014",723,699,24,0,0
