"dz_2011","total","llti","no_llti"
"S01007311",769,132,637
"S01007312",754,154,600
"S01007313",875,143,732
"S01007314",639,106,533
"S01007315",607,100,507
"S01007316",842,189,653
"S01007317",812,203,609
"S01007318",630,117,513
"S01007319",653,142,511
"S01007320",861,136,725
"S01007321",633,135,498
"S01007322",759,126,633
"S01007323",579,123,456
"S01007324",301,57,244
"S01007325",758,180,578
"S01007326",1315,243,1072
"S01007327",683,175,508
"S01007328",568,108,460
"S01007329",658,122,536
"S01007330",932,182,750
"S01007331",1015,159,856
"S01007332",489,88,401
"S01007333",756,159,597
"S01007334",700,182,518
"S01007335",851,185,666
"S01007336",417,74,343
"S01007337",506,129,377
"S01007338",832,168,664
"S01007339",678,174,504
"S01007340",511,146,365
"S01007341",720,187,533
"S01007342",851,189,662
"S01007343",818,178,640
"S01007344",345,90,255
"S01007345",493,157,336
"S01007346",640,205,435
"S01007347",690,165,525
"S01007348",706,188,518
"S01007349",407,67,340
"S01007350",584,185,399
"S01007351",673,165,508
"S01007352",526,112,414
"S01007353",716,184,532
"S01007354",751,178,573
"S01007355",2044,539,1505
"S01007356",734,188,546
"S01007357",822,193,629
"S01007358",985,158,827
"S01007359",116,30,86
"S01007360",431,104,327
"S01007361",1104,293,811
"S01007362",650,169,481
"S01007363",694,172,522
"S01007364",913,270,643
"S01007365",392,122,270
"S01007366",514,219,295
"S01007367",568,153,415
"S01007368",348,101,247
"S01007369",604,149,455
"S01007370",733,160,573
"S01007371",681,124,557
"S01007372",606,186,420
"S01007373",492,120,372
"S01007374",565,98,467
"S01007375",506,78,428
"S01007376",931,187,744
"S01007377",690,106,584
"S01007378",2671,116,2555
"S01007379",535,121,414
"S01007380",618,102,516
"S01007381",415,74,341
"S01007382",705,114,591
"S01007383",784,157,627
"S01007384",793,95,698
"S01007385",962,218,744
"S01007386",877,128,749
"S01007387",871,137,734
"S01007388",712,76,636
"S01007389",893,68,825
"S01007390",260,26,234
"S01007391",671,52,619
"S01007392",413,62,351
"S01007393",816,206,610
"S01007394",652,141,511
"S01007395",844,180,664
"S01007396",826,176,650
"S01007397",983,168,815
"S01007398",735,157,578
"S01007399",456,112,344
"S01007400",758,192,566
"S01007401",707,105,602
"S01007402",670,97,573
"S01007403",671,48,623
"S01007404",584,108,476
"S01007405",373,46,327
"S01007406",619,101,518
"S01007407",713,123,590
"S01007408",646,132,514
"S01007409",690,172,518
"S01007410",718,211,507
"S01007411",739,241,498
"S01007412",503,135,368
"S01007413",717,78,639
"S01007414",165,11,154
"S01007415",944,276,668
"S01007416",566,116,450
"S01007418",436,97,339
"S01007419",900,213,687
"S01007420",1195,294,901
"S01007421",234,54,180
"S01007422",569,131,438
"S01007423",377,79,298
"S01007424",702,111,591
"S01007425",1053,153,900
"S01007426",623,133,490
"S01007427",703,178,525
"S01007428",939,212,727
"S01007429",816,136,680
"S01007430",459,82,377
"S01007431",588,75,513
"S01007432",730,145,585
"S01007433",650,152,498
"S01007434",545,108,437
"S01007435",744,138,606
"S01007436",741,170,571
"S01007437",422,86,336
"S01007438",721,158,563
"S01007439",796,180,616
"S01007440",734,150,584
"S01007441",553,62,491
"S01007442",524,58,466
"S01007443",925,156,769
"S01007444",876,133,743
"S01007445",730,73,657
"S01007446",586,79,507
"S01007447",485,64,421
"S01007448",834,160,674
"S01007449",806,227,579
"S01007450",684,176,508
"S01007451",723,125,598
"S01007452",695,141,554
"S01007454",626,191,435
"S01007455",933,228,705
"S01007456",873,225,648
"S01007457",692,179,513
"S01007458",421,80,341
"S01007459",794,163,631
"S01007460",717,220,497
"S01007461",739,198,541
"S01007462",689,149,540
"S01007463",970,227,743
"S01007464",773,191,582
"S01007465",847,197,650
"S01007466",680,189,491
"S01007467",995,287,708
"S01007468",686,78,608
"S01007469",731,136,595
"S01007470",657,214,443
"S01007471",385,78,307
"S01007472",707,204,503
"S01007473",368,98,270
"S01007474",318,43,275
"S01007475",275,56,219
"S01007476",914,195,719
"S01007477",573,120,453
"S01007478",773,167,606
"S01007479",330,77,253
"S01007480",491,82,409
"S01007481",724,146,578
"S01007482",438,120,318
"S01007483",846,180,666
"S01007484",690,157,533
"S01007485",511,112,399
"S01007486",601,155,446
"S01007487",931,275,656
"S01007488",870,179,691
"S01007489",827,190,637
"S01007490",1010,228,782
"S01007491",650,167,483
"S01007492",716,182,534
"S01007493",857,153,704
"S01007494",559,127,432
"S01007495",842,140,702
"S01007496",1080,224,856
"S01007497",637,120,517
"S01007498",1026,261,765
"S01007499",870,145,725
"S01007500",675,168,507
"S01007501",685,180,505
"S01007502",591,127,464
"S01007503",991,239,752
"S01007504",683,154,529
"S01007505",424,90,334
"S01007506",557,100,457
"S01007507",880,196,684
"S01007508",689,164,525
"S01007509",657,145,512
"S01007510",968,244,724
"S01007511",867,236,631
"S01007512",488,104,384
"S01007513",814,197,617
"S01007514",503,122,381
"S01007515",511,121,390
"S01007516",583,130,453
"S01007517",353,115,238
"S01007518",714,195,519
"S01007519",648,146,502
"S01007520",979,230,749
"S01007521",640,112,528
"S01007522",892,228,664
"S01007523",511,101,410
"S01007524",934,150,784
"S01007525",565,124,441
"S01007526",773,173,600
"S01007527",800,161,639
"S01007528",773,165,608
"S01007529",611,119,492
"S01007530",534,92,442
"S01007531",701,125,576
"S01007532",505,91,414
"S01007533",917,194,723
"S01007534",748,160,588
"S01007535",660,154,506
"S01007536",988,205,783
"S01007537",818,186,632
"S01007538",874,173,701
"S01007539",678,150,528
"S01007540",833,233,600
"S01007541",799,223,576
"S01007542",824,163,661
"S01007543",1091,196,895
"S01007544",1371,291,1080
"S01007545",1012,207,805
"S01007546",488,77,411
"S01007547",546,82,464
"S01007548",466,89,377
"S01007549",635,135,500
"S01007550",991,211,780
"S01007551",857,192,665
"S01007552",953,265,688
"S01007553",847,238,609
"S01007554",451,166,285
"S01007555",470,113,357
"S01007556",494,144,350
"S01007557",1201,253,948
"S01007558",454,109,345
"S01007559",854,136,718
"S01007560",689,178,511
"S01007561",454,138,316
"S01007562",875,150,725
"S01007563",784,155,629
"S01007564",732,148,584
"S01007565",979,168,811
"S01007566",671,143,528
"S01007567",715,87,628
"S01007568",704,121,583
"S01007569",950,199,751
"S01007570",633,104,529
"S01007571",549,96,453
"S01007572",881,222,659
"S01007574",1080,180,900
"S01007575",773,216,557
"S01007576",823,185,638
"S01007577",617,112,505
"S01007578",733,159,574
"S01007579",538,118,420
"S01007580",860,191,669
"S01007581",543,106,437
"S01007582",639,143,496
"S01007583",979,219,760
"S01007584",602,142,460
"S01007585",851,207,644
"S01007586",710,144,566
"S01007587",814,164,650
"S01007588",737,119,618
"S01007589",737,130,607
"S01007590",653,122,531
"S01007591",531,123,408
"S01007592",772,149,623
"S01007593",908,245,663
"S01007594",1055,199,856
"S01007595",956,189,767
"S01007596",461,134,327
"S01007597",646,116,530
"S01007598",627,111,516
"S01007599",636,156,480
"S01007600",879,271,608
"S01007601",673,56,617
"S01007602",696,88,608
"S01007603",831,61,770
"S01007604",992,143,849
"S01007605",1043,130,913
"S01007606",500,88,412
"S01007607",771,87,684
"S01007608",845,132,713
"S01007609",792,158,634
"S01007610",613,202,411
"S01007611",780,233,547
"S01007612",1001,251,750
"S01007613",828,150,678
"S01007614",469,73,396
"S01007615",855,191,664
"S01007616",653,180,473
"S01007617",567,95,472
"S01007618",694,174,520
"S01007619",689,155,534
"S01007620",624,106,518
"S01007621",567,108,459
"S01007622",440,107,333
"S01007623",501,80,421
"S01007624",699,90,609
