dz_2011,total,house,flat,caravan,shared
S01007049,1039,1000,35,4,0
S01007050,1042,1006,36,0,0
S01007051,1029,965,60,4,0
S01007052,573,568,5,0,0
S01007053,802,766,31,5,0
S01007054,1124,1078,44,2,0
S01007055,515,507,4,4,0
S01007056,878,851,24,3,0
S01007057,833,815,14,4,0
S01007058,767,728,39,0,0
S01007059,1336,1305,28,3,0
S01007060,604,602,2,0,0
S01007061,1155,1136,12,7,0
S01007062,758,746,11,1,0
S01007063,1503,1467,27,9,0
S01007064,762,749,10,3,0
S01007065,950,938,12,0,0
S01007066,648,634,14,0,0
S01007067,1258,1174,84,0,0
S01007068,660,631,29,0,0
S01007069,995,964,27,4,0
S01007070,733,688,41,4,0
S01007071,1234,1188,46,0,0
S01007072,1327,1310,17,0,0
S01007073,1378,1359,19,0,0
S01007074,1102,983,119,0,0
S01007075,901,820,81,0,0
S01007076,1044,1019,25,0,0
S01007077,757,749,8,0,0
S01007078,960,695,262,3,0
S01007079,1221,796,422,3,0
S01007080,790,537,253,0,0
S01007081,1064,732,332,0,0
S01007082,699,413,286,0,0
S01007083,904,484,420,0,0
S01007084,849,492,357,0,0
S01007085,1076,395,681,0,0
S01007086,1343,469,872,2,0
S01007087,958,449,509,0,0
S01007088,647,189,458,0,0
S01007089,529,520,9,0,0
S01007090,540,494,46,0,0
S01007091,1388,1350,38,0,0
S01007092,624,555,67,2,0
S01007093,952,895,57,0,0
S01007094,2263,2196,67,0,0
S01007095,736,722,3,11,0
S01007096,1167,1131,27,9,0
S01007097,2154,2106,45,3,0
S01007098,1636,1598,38,0,0
S01007099,883,858,18,7,0
S01007100,863,836,16,11,0
S01007101,1302,1275,25,2,0
S01007102,838,826,3,9,0
S01007103,832,827,3,2,0
S01007104,486,479,7,0,0
S01007105,655,636,19,0,0
S01007106,896,891,5,0,0
S01007107,766,755,9,2,0
S01007108,1249,1212,35,2,0
S01007109,1526,1438,86,2,0
S01007110,1051,974,76,1,0
S01007111,534,512,21,1,0
S01007112,905,789,116,0,0
S01007113,707,487,220,0,0
S01007114,888,869,19,0,0
S01007115,669,659,10,0,0
S01007116,1304,1269,33,2,0
S01007117,553,550,3,0,0
S01007118,847,831,16,0,0
S01007119,964,950,14,0,0
S01007120,1155,1008,147,0,0
S01007121,765,348,417,0,0
S01007122,594,371,223,0,0
S01007123,941,756,185,0,0
S01007124,1095,1069,26,0,0
S01007125,867,771,96,0,0
S01007126,1082,690,392,0,0
S01007127,1007,500,507,0,0
S01007128,979,805,174,0,0
S01007129,956,932,24,0,0
S01007130,676,578,98,0,0
S01007131,1096,1041,55,0,0
S01007132,700,671,29,0,0
S01007133,674,651,21,2,0
S01007134,860,806,49,5,0
S01007135,806,763,33,4,6
S01007136,661,653,6,2,0
S01007137,842,810,30,2,0
S01007138,957,886,69,2,0
S01007139,776,769,5,2,0
S01007140,1022,1015,6,1,0
S01007141,1250,1243,7,0,0
S01007142,201,199,2,0,0
S01007143,1174,1157,8,9,0
S01007144,2231,2184,38,9,0
S01007145,892,840,52,0,0
S01007146,881,802,79,0,0
S01007147,830,767,63,0,0
S01007148,538,532,6,0,0
S01007149,850,824,26,0,0
S01007150,700,567,133,0,0
S01007151,1163,1136,27,0,0
S01007152,763,690,73,0,0
S01007153,916,863,53,0,0
S01007154,973,554,418,1,0
S01007155,715,577,138,0,0
S01007156,1127,1107,20,0,0
S01007157,748,710,38,0,0
S01007158,1043,1003,40,0,0
S01007159,933,648,285,0,0
S01007160,969,913,56,0,0
S01007161,987,842,145,0,0
S01007162,608,303,305,0,0
S01007163,1009,924,85,0,0
S01007164,760,677,83,0,0
S01007165,927,795,132,0,0
S01007166,1094,1008,86,0,0
S01007167,795,784,11,0,0
S01007168,965,961,4,0,0
S01007169,854,777,77,0,0
S01007170,744,703,31,10,0
S01007171,995,843,36,116,0
S01007172,1248,1192,30,26,0
S01007173,523,495,28,0,0
S01007174,944,915,27,2,0
S01007175,862,832,30,0,0
S01007176,1078,875,203,0,0
S01007177,801,455,346,0,0
S01007178,1045,542,503,0,0
S01007179,1254,1211,43,0,0
S01007180,967,820,146,1,0
S01007181,1044,832,209,3,0
S01007182,1227,753,473,1,0
S01007183,1317,877,440,0,0
S01007184,1039,498,541,0,0
S01007185,939,294,645,0,0
S01007186,777,262,515,0,0
S01007187,804,229,569,0,6
S01007188,803,356,447,0,0
S01007189,869,388,481,0,0
S01007190,935,866,69,0,0
S01007191,735,617,118,0,0
S01007192,784,566,218,0,0
S01007193,893,782,111,0,0
S01007194,641,337,304,0,0
S01007195,1027,853,148,26,0
S01007196,974,741,233,0,0
S01007197,743,372,371,0,0
S01007198,532,244,288,0,0
S01007199,1091,489,602,0,0
S01007200,849,737,112,0,0
S01007201,1014,813,201,0,0
S01007202,735,567,168,0,0
S01007203,840,798,42,0,0
S01007204,1054,1018,35,1,0
S01007205,827,797,28,2,0
S01007206,392,265,127,0,0
S01007207,1045,878,159,8,0
S01007208,990,278,712,0,0
S01007209,767,261,502,0,4
S01007210,1067,422,645,0,0
S01007211,967,494,473,0,0
S01007212,847,500,347,0,0
S01007213,873,556,317,0,0
S01007214,994,345,649,0,0
S01007215,984,574,407,3,0
S01007216,763,611,152,0,0
S01007217,1186,1021,162,3,0
S01007218,992,903,85,4,0
S01007219,1097,958,136,3,0
S01007220,787,668,119,0,0
S01007221,1101,1004,51,46,0
S01007222,1100,1055,45,0,0
S01007223,699,677,22,0,0
S01007224,742,689,49,4,0
S01007225,1199,1168,25,6,0
S01007226,1027,988,31,8,0
S01007227,1533,1446,80,7,0
S01007228,819,799,16,4,0
S01007229,1249,1226,23,0,0
S01007230,1283,803,476,4,0
S01007231,812,374,436,2,0
S01007232,726,382,337,7,0
S01007233,788,569,219,0,0
S01007234,613,530,81,2,0
S01007235,1078,515,563,0,0
S01007236,1076,735,338,0,3
S01007237,779,665,114,0,0
S01007238,1007,888,119,0,0
S01007239,1374,1287,87,0,0
S01007240,539,524,15,0,0
S01007241,1174,1159,15,0,0
S01007242,1158,1114,44,0,0
S01007243,1413,1370,43,0,0
S01007244,717,707,10,0,0
S01007245,776,733,43,0,0
S01007246,891,852,39,0,0
S01007247,1080,1044,36,0,0
S01007248,1060,1040,20,0,0
S01007249,553,483,70,0,0
S01007250,822,519,303,0,0
S01007251,893,705,188,0,0
S01007252,912,808,104,0,0
S01007253,798,733,65,0,0
S01007254,925,557,368,0,0
S01007255,1038,463,575,0,0
S01007256,935,493,442,0,0
S01007257,894,396,498,0,0
S01007258,870,577,293,0,0
S01007259,1032,684,348,0,0
S01007260,1190,1009,181,0,0
S01007261,1047,975,72,0,0
S01007262,712,611,101,0,0
S01007263,1112,987,125,0,0
S01007264,839,715,124,0,0
S01007265,1166,696,470,0,0
S01007266,823,739,84,0,0
S01007267,610,600,10,0,0
S01007268,594,579,13,2,0
S01007269,667,655,12,0,0
S01007270,457,452,5,0,0
S01007271,1116,839,270,7,0
S01007272,1140,642,498,0,0
S01007273,759,562,197,0,0
S01007274,904,594,310,0,0
S01007275,690,623,67,0,0
S01007276,1159,979,180,0,0
S01007277,919,912,7,0,0
S01007278,941,931,10,0,0
S01007279,665,646,15,4,0
S01007280,674,666,8,0,0
S01007281,1087,1051,33,3,0
S01007282,538,515,23,0,0
S01007283,992,919,72,1,0
S01007284,841,815,26,0,0
S01007285,1102,1042,45,15,0
S01007286,1430,1220,207,3,0
S01007287,562,501,52,9,0
S01007288,647,622,17,8,0
S01007289,1004,888,110,6,0
S01007290,1125,879,245,1,0
S01007291,599,402,197,0,0
S01007292,771,677,89,5,0
S01007293,1055,513,542,0,0
S01007294,1003,487,516,0,0
S01007295,665,212,453,0,0
S01007296,544,82,459,0,3
S01007297,1145,728,417,0,0
S01007298,532,356,176,0,0
S01007299,939,544,386,0,9
S01007300,630,287,343,0,0
S01007301,854,820,34,0,0
S01007302,794,756,38,0,0
S01007303,1060,983,63,12,2
S01007304,684,661,21,2,0
S01007305,1005,959,39,7,0
S01007306,1231,1161,65,5,0
S01007307,1084,995,84,5,0
S01007308,825,789,35,1,0
S01007309,779,725,38,16,0
S01007310,863,833,27,3,0
S01007311,882,749,133,0,0
S01007312,862,808,54,0,0
S01007313,965,893,49,23,0
S01007314,871,852,14,5,0
S01007315,937,845,92,0,0
S01007316,1141,787,352,2,0
S01007317,1117,1017,72,28,0
S01007318,607,532,75,0,0
S01007319,840,609,231,0,0
S01007320,887,872,13,2,0
S01007321,586,559,21,6,0
S01007322,829,539,288,2,0
S01007323,448,285,162,1,0
S01007324,323,312,8,3,0
S01007325,828,809,17,2,0
S01007326,964,919,36,9,0
S01007327,865,780,82,3,0
S01007328,1074,969,99,6,0
S01007329,702,686,16,0,0
S01007330,766,734,30,2,0
S01007331,1082,1054,24,4,0
S01007332,624,603,19,2,0
S01007333,1098,755,343,0,0
