"output_area","total","employed","unemployed","other"
"60QD000725",107,50,8,49
"60QD000726",35,19,1,15
"60QD000727",84,40,5,39
"60QD000728",53,29,0,24
"60QD000729",70,37,2,31
"60QD000730",31,15,4,12
"60QD000731",41,17,2,22
"60QD000732",80,26,4,50
"60QD000733",81,46,3,32
"60QD000734",54,20,6,28
"60QD000735",74,48,4,22
"60QD000736",63,26,5,32
"60QD000737",52,18,6,28
"60QD000738",48,15,7,26
"60QD000739",78,50,3,25
"60QD000740",93,56,2,35
"60QD000741",53,32,5,16
"60QD000742",59,28,6,25
"60QD000743",53,35,5,13
"60QD000744",94,29,8,57
"60QD000745",112,61,1,50
"60QD000746",40,24,1,15
"60QD000747",78,47,1,30
"60QD000748",120,69,3,48
"60QD000749",87,51,3,33
"60QD000750",58,38,1,19
"60QD000751",104,53,0,51
"60QD000752",62,36,2,24
"60QD000753",48,29,0,19
"60QD000754",111,58,7,46
"60QD000755",92,58,3,31
"60QD000756",76,46,7,23
"60QD000757",85,48,4,33
"60QD000758",116,62,10,44
"60QD000759",107,60,6,41
"60QD000760",99,79,1,19
"60QD000761",108,73,3,32
"60QD000762",130,85,6,39
"60QD000763",54,42,0,12
"60QD000764",81,54,2,25
"60QD000765",55,38,2,15
"60QD000766",106,71,4,31
"60QD000767",52,27,2,23
"60QD000768",76,37,5,34
"60QD000769",83,53,6,24
"60QD000770",112,59,5,48
"60QD000771",71,38,7,26
"60QD000772",117,90,3,24
"60QD000773",101,68,1,32
"60QD000774",118,90,2,26
"60QD000775",52,30,2,20
"60QD000776",76,38,7,31
"60QD000777",71,47,1,23
"60QD000778",89,72,0,17
"60QD000779",53,30,11,12
"60QD000780",72,45,1,26
"60QD000781",69,34,4,31
"60QD000782",89,68,3,18
"60QD000783",42,29,0,13
"60QD000784",82,49,1,32
"60QD000785",80,59,0,21
"60QF000001",85,48,1,36
"60QF000002",48,31,2,15
"60QF000003",60,38,2,20
"60QF000004",116,74,2,40
"60QF000005",66,44,1,21
"60QF000006",49,31,3,15
"60QF000007",111,61,3,47
"60QF000008",92,60,0,32
"60QF000009",105,79,0,26
"60QF000010",97,45,4,48
"60QF000011",74,51,3,20
"60QF000012",85,63,3,19
"60QF000013",51,25,1,25
"60QF000014",69,32,5,32
"60QF000015",87,60,4,23
"60QF000016",84,39,5,40
"60QF000017",93,32,12,49
"60QF000018",96,66,7,23
"60QF000019",77,31,8,38
"60QF000020",133,63,6,64
"60QF000021",129,65,10,54
"60QF000022",86,30,15,41
"60QF000023",79,25,8,46
"60QF000024",65,28,3,34
"60QF000025",74,25,6,43
"60QF000026",66,43,1,22
"60QF000027",92,61,3,28
"60QF000028",89,47,4,38
"60QF000029",119,44,8,67
"60QF000030",104,30,8,66
"60QF000031",143,88,1,54
"60QF000032",77,33,6,38
"60QF000033",134,101,4,29
"60QF000034",117,77,4,36
"60QF000035",109,55,4,50
"60QF000036",90,42,5,43
"60QF000037",78,32,1,45
"60QF000038",75,38,3,34
"60QF000039",86,47,3,36
"60QF000040",126,89,6,31
"60QF000041",95,48,6,41
"60QF000042",111,46,3,62
"60QF000043",90,37,4,49
"60QF000044",107,57,6,44
"60QF000045",92,59,5,28
"60QF000046",66,35,3,28
"60QF000047",63,32,3,28
"60QF000048",74,32,1,41
"60QF000049",87,47,0,40
"60QF000050",86,47,5,34
"60QF000051",83,57,1,25
"60QF000052",109,61,1,47
"60QF000053",144,60,12,72
"60QF000054",39,12,2,25
"60QF000055",93,43,5,45
"60QF000056",70,40,5,25
"60QF000057",50,25,1,24
"60QF000058",57,26,4,27
"60QF000059",66,33,0,33
"60QF000060",84,45,3,36
"60QF000061",68,38,1,29
"60QF000062",69,43,1,25
"60QF000063",75,39,2,34
"60QF000064",92,57,3,32
"60QF000065",136,96,1,39
"60QF000066",39,20,1,18
"60QF000067",71,13,4,54
"60QF000068",111,76,4,31
"60QF000069",89,64,2,23
"60QF000070",72,30,4,38
"60QF000071",105,61,5,39
"60QF000072",115,62,3,50
"60QF000073",88,47,2,39
"60QF000074",112,53,7,52
"60QF000075",43,19,3,21
"60QF000076",84,44,3,37
"60QF000077",53,13,1,39
"60QF000078",68,39,1,28
"60QF000079",129,86,3,40
"60QF000080",114,60,5,49
"60QF000081",89,42,1,46
"60QF000082",113,67,6,40
"60QF000083",113,65,3,45
"60QF000084",126,76,1,49
"60QF000085",108,72,0,36
"60QF000086",104,65,3,36
"60QF000087",89,38,6,45
"60QF000088",85,44,7,34
"60QF000089",96,34,14,48
"60QF000090",70,26,6,38
"60QF000091",106,39,7,60
"60QF000092",99,34,13,52
"60QF000093",123,57,4,62
"60QF000094",92,40,10,42
"60QF000095",113,70,8,35
"60QF000096",101,55,8,38
"60QF000097",93,47,12,34
"60QF000098",110,51,8,51
"60QF000099",52,21,4,27
"60QF000100",114,59,9,46
"60QF000101",97,39,7,51
"60QF000102",131,70,12,49
"60QF000103",111,59,10,42
"60QF000104",113,53,5,55
"60QF000105",90,46,6,38
"60QF000106",82,40,5,37
"60QF000107",76,41,2,33
"60QF000108",41,25,4,12
"60QF000109",82,40,4,38
"60QF000110",96,41,13,42
"60QF000111",75,35,3,37
"60QF000112",131,57,7,67
"60QF000113",68,34,3,31
"60QF000114",105,81,0,24
"60QF000115",67,33,2,32
"60QF000116",98,40,3,55
"60QF000117",71,29,1,41
"60QF000118",81,56,0,25
"60QF000119",91,73,1,17
"60QF000120",97,43,17,37
"60QF000121",100,46,3,51
"60QF000122",128,62,2,64
"60QF000123",103,46,4,53
"60QF000124",89,47,3,39
"60QF000125",32,13,0,19
"60QF000126",56,26,6,24
"60QF000127",59,19,2,38
"60QF000128",79,37,4,38
"60QF000129",100,45,3,52
"60QF000130",113,54,6,53
"60QF000131",44,22,4,18
"60QF000132",40,12,1,27
"60QF000133",89,53,7,29
"60QF000134",121,62,11,48
"60QF000135",111,54,3,54
"60QF000136",117,58,7,52
"60QF000137",97,42,8,47
"60QF000138",58,28,1,29
"60QF000139",103,66,6,31
"60QF000140",90,47,6,37
"60QF000141",97,55,3,39
"60QF000142",104,50,5,49
"60QF000143",87,42,5,40
"60QF000144",69,24,2,43
"60QF000145",77,37,8,32
"60QF000146",99,43,7,49
"60QF000147",64,34,2,28
"60QF000148",129,59,11,59
"60QF000149",83,38,9,36
"60QF000150",41,27,3,11
"60QF000151",134,56,7,71
"60QF000152",99,53,3,43
"60QF000153",81,49,4,28
"60QF000154",149,82,8,59
"60QF000155",96,47,6,43
"60QF000156",115,65,6,44
"60QF000157",88,45,8,35
"60QF000158",104,54,3,47
"60QF000159",64,32,2,30
"60QF000160",77,42,4,31
"60QF000161",37,17,0,20
"60QF000162",130,94,2,34
"60QF000163",112,61,4,47
"60QF000164",94,54,6,34
"60QF000165",62,28,5,29
"60QF000166",70,40,2,28
"60QF000167",80,33,6,41
"60QF000168",78,46,1,31
"60QF000169",140,92,2,46
"60QF000170",70,32,7,31
"60QF000171",98,67,0,31
"60QF000172",112,77,4,31
"60QF000173",77,46,0,31
"60QF000174",120,70,5,45
"60QF000175",76,39,2,35
"60QF000176",53,30,0,23
"60QF000177",48,17,4,27
"60QF000178",73,36,0,37
"60QF000179",131,68,8,55
"60QF000180",90,49,8,33
"60QF000181",52,35,1,16
"60QF000182",119,75,7,37
"60QF000183",133,56,13,64
"60QF000184",78,46,7,25
"60QF000185",105,67,6,32
"60QF000186",81,51,1,29
"60QF000187",47,24,2,21
"60QF000188",113,68,5,40
"60QF000189",103,62,4,37
"60QF000190",140,84,4,52
"60QF000191",81,40,6,35
"60QF000192",72,41,1,30
"60QF000193",106,55,6,45
"60QF000194",71,33,5,33
"60QF000195",134,76,8,50
"60QF000196",89,54,1,34
"60QF000197",101,50,6,45
"60QF000198",76,49,3,24
"60QF000199",75,38,3,34
"60QF000200",66,28,1,37
"60QF000201",95,61,1,33
"60QF000202",82,49,1,32
"60QF000203",85,65,1,19
"60QF000204",115,85,2,28
"60QF000205",100,82,0,18
"60QF000206",145,103,5,37
"60QF000207",88,61,3,24
"60QF000208",131,99,2,30
"60QF000209",48,27,3,18
"60QF000210",109,47,3,59
"60QF000211",95,44,5,46
"60QF000212",90,66,1,23
"60QF000213",145,104,4,37
"60QF000214",118,78,1,39
"60QF000215",75,47,4,24
"60QF000216",86,34,12,40
"60QF000217",121,52,7,62
"60QF000218",81,34,4,43
"60QF000219",77,29,4,44
"60QF000220",86,51,4,31
"60QF000221",89,59,3,27
"60QF000222",91,60,1,30
"60QF000223",86,51,0,35
"60QF000224",115,67,5,43
"60QF000225",86,53,0,33
"60QF000226",71,43,5,23
"60QF000227",51,23,4,24
"60QF000228",75,41,6,28
"60QF000229",132,95,1,36
"60QF000230",114,73,4,37
"60QF000231",86,45,4,37
"60QF000232",59,36,1,22
"60QF000233",63,39,0,24
"60QF000234",72,42,2,28
"60QF000235",121,95,1,25
"60QF000236",78,44,2,32
"60QF000237",84,31,6,47
"60QF000238",47,31,3,13
"60QF000239",83,48,6,29
"60QF000240",126,73,2,51
"60QF000241",90,46,4,40
"60QF000242",135,97,0,38
"60QF000243",100,63,3,34
"60QF000244",111,70,2,39
"60QF000245",70,25,5,40
"60QF000246",81,54,3,24
"60QF000247",100,58,3,39
"60QF000248",105,58,1,46
"60QF000249",97,68,2,27
"60QF000250",86,60,0,26
"60QF000251",92,56,3,33
"60QF000252",57,22,0,35
"60QF000253",103,55,5,43
"60QF000254",77,51,2,24
"60QF000255",124,71,0,53
"60QF000256",96,60,1,35
"60QF000257",83,53,0,30
"60QF000258",58,24,4,30
"60QF000259",57,37,0,20
"60QF000260",71,49,1,21
"60QF000261",76,56,0,20
"60QF000262",148,81,3,64
"60QF000263",82,45,1,36
"60QF000264",135,85,4,46
"60QF000265",135,93,2,40
"60QF000266",42,21,2,19
"60QF000267",106,73,2,31
"60QF000268",120,68,12,40
"60QF000269",87,59,2,26
"60QF000270",89,59,3,27
"60QF000271",74,47,2,25
"60QF000272",108,56,6,46
"60QF000273",67,43,1,23
"60QF000274",76,40,1,35
"60QF000275",93,61,5,27
"60QF000276",52,35,1,16
"60QF000277",41,28,0,13
"60QF000278",76,46,4,26
"60QF000279",72,38,3,31
"60QF000280",99,69,3,27
"60QF000281",76,53,2,21
"60QF000282",68,40,3,25
"60QF000283",115,87,0,28
"60QF000284",40,26,0,14
"60QF000285",79,32,1,46
"60QF000286",44,27,1,16
"60QF000287",45,22,4,19
"60QF000288",45,27,2,16
"60QF000289",91,69,5,17
"60QF000290",146,102,5,39
"60QF000291",91,45,4,42
"60QF000292",43,22,1,20
"60QF000293",62,36,1,25
"60QF000294",52,23,2,27
"60QF000295",101,66,5,30
"60QF000296",63,39,2,22
"60QF000297",51,24,3,24
"60QF000298",105,73,1,31
"60QF000299",63,40,5,18
"60QF000300",105,37,12,56
"60QF000301",89,72,1,16
"60QF000302",106,77,4,25
"60QF000303",91,55,3,33
"60QF000304",613,144,8,461
"60QF000305",107,73,2,32
"60QF000306",123,80,1,42
"60QF000307",55,43,1,11
"60QF000308",71,59,2,10
"60QF000309",139,112,2,25
"60QF000310",39,32,0,7
"60QF000311",84,51,1,32
"60QF000312",76,55,3,18
"60QF000313",74,54,2,18
"60QF000314",66,37,5,24
"60QF000315",67,25,6,36
"60QF000316",105,41,4,60
"60QF000317",59,25,3,31
"60QF000318",66,24,9,33
"60QF000319",116,57,16,43
"60QF000320",140,72,15,53
"60QF000321",74,23,6,45
"60QF000322",40,14,3,23
"60QF000323",93,47,1,45
"60QF000324",104,67,1,36
"60QF000325",146,117,4,25
"60QF000326",112,50,4,58
"60QF000327",125,109,1,15
"60QF000328",88,69,3,16
"60QF000329",91,63,1,27
"60QF000330",98,52,2,44
"60QF000331",49,30,3,16
"60QF000332",121,96,2,23
"60QF000333",65,42,0,23
"60QF000334",116,65,6,45
"60QF000335",202,139,2,61
"60QF000336",80,35,5,40
"60QF000337",63,29,0,34
"60QF000338",116,59,3,54
"60QF000339",125,87,1,37
"60QF000340",75,49,4,22
"60QF000341",194,139,7,48
"60QF000342",35,30,1,4
"60QF000343",130,97,1,32
"60QF000344",109,85,4,20
"60QF000345",44,4,0,40
"60QF000346",85,58,1,26
"60QF000347",113,42,2,69
"60QF000348",57,26,8,23
"60QF000349",108,80,4,24
"60QF000350",86,35,2,49
"60QF000351",127,80,4,43
"60QF000352",51,30,2,19
"60QF000353",94,54,3,37
"60QF000354",49,22,5,22
"60QF000355",120,63,1,56
"60QF000356",60,47,3,10
"60QF000357",113,62,8,43
"60QF000358",65,31,5,29
"60QF000359",87,49,0,38
"60QF000360",97,69,2,26
"60QF000361",86,55,4,27
"60QF000362",59,43,4,12
"60QF000363",92,60,0,32
"60QF000364",58,42,4,12
"60QF000365",55,32,2,21
"60QF000366",96,57,3,36
"60QF000367",93,69,1,23
"60QF000368",97,53,3,41
"60QF000369",53,32,1,20
"60QF000370",34,22,2,10
"60QF000371",116,66,3,47
"60QF000372",124,55,1,68
"60QF000373",51,35,0,16
"60QF000374",94,54,1,39
"60QF000375",82,66,0,16
"60QF000376",199,118,5,76
"60QF000377",62,38,3,21
"60QF000378",71,45,2,24
"60QF000379",79,47,6,26
"60QF000380",95,70,4,21
"60QF000381",76,55,5,16
"60QF000382",121,72,5,44
"60QF000383",68,45,2,21
"60QF000384",47,28,5,14
"60QF000385",97,59,3,35
"60QF000386",61,33,3,25
"60QH000001",84,47,3,34
"60QH000002",39,25,1,13
"60QH000003",76,45,3,28
"60QH000004",116,80,4,32
"60QH000005",147,96,2,49
"60QH000006",85,64,0,21
"60QH000007",99,64,3,32
"60QH000008",98,69,3,26
"60QH000009",77,51,2,24
"60QH000010",54,33,0,21
"60QH000011",74,43,1,30
"60QH000012",101,60,5,36
"60QH000013",78,44,8,26
"60QH000014",93,54,3,36
"60QH000015",81,59,2,20
"60QH000016",61,41,0,20
"60QH000017",44,25,0,19
"60QH000018",50,26,2,22
"60QH000019",69,34,4,31
"60QH000020",45,23,1,21
"60QH000021",113,69,2,42
"60QH000022",125,91,5,29
"60QH000023",77,55,0,22
"60QH000024",139,77,6,56
"60QH000025",82,49,2,31
"60QH000026",85,47,6,32
"60QH000027",105,61,4,40
"60QH000028",79,51,3,25
"60QH000029",129,83,5,41
"60QH000030",138,81,9,48
"60QH000031",78,49,3,26
"60QH000032",127,74,4,49
"60QH000033",84,53,2,29
"60QH000034",114,71,1,42
"60QH000035",128,82,3,43
"60QH000036",78,50,4,24
"60QH000037",55,35,3,17
"60QH000038",76,47,8,21
"60QH000039",98,65,2,31
"60QH000040",88,60,1,27
"60QH000041",114,78,4,32
"60QH000042",116,76,2,38
"60QH000043",78,49,4,25
"60QH000044",82,53,5,24
"60QH000045",153,103,3,47
"60QH000046",57,39,0,18
"60QH000047",114,64,7,43
"60QH000048",65,38,1,26
"60QH000049",152,110,4,38
"60QH000050",111,68,4,39
"60QH000051",104,68,2,34
"60QH000052",123,78,3,42
"60QH000053",124,68,8,48
"60QH000054",169,107,2,60
"60QH000055",57,47,0,10
"60QH000056",90,51,3,36
"60QH000057",108,60,1,47
"60QH000058",94,65,1,28
"60QH000059",62,30,1,31
"60QH000060",85,55,3,27
"60QH000061",76,61,2,13
"60QH000062",87,52,7,28
"60QH000063",80,41,0,39
"60QH000064",60,36,4,20
"60QH000065",94,50,2,42
"60QH000066",79,43,2,34
"60QH000067",71,49,2,20
"60QH000068",55,34,2,19
"60QH000069",106,57,5,44
"60QH000070",89,62,4,23
"60QH000071",70,45,0,25
"60QH000072",64,42,2,20
"60QH000073",83,64,1,18
"60QH000074",77,51,1,25
"60QH000075",110,64,5,41
"60QH000076",67,42,6,19
"60QH000077",57,38,0,19
"60QH000078",72,39,6,27
"60QH000079",152,62,24,66
"60QH000080",151,106,2,43
"60QH000081",93,62,0,31
"60QH000082",93,60,4,29
"60QH000083",63,40,1,22
"60QH000084",79,50,2,27
"60QH000085",79,45,0,34
"60QH000086",100,65,1,34
"60QH000087",84,54,2,28
"60QH000088",65,41,1,23
"60QH000089",78,54,1,23
"60QH000090",45,28,1,16
"60QH000091",105,70,2,33
"60QH000092",132,85,3,44
"60QH000093",122,80,5,37
"60QH000094",105,64,5,36
"60QH000095",135,88,6,41
"60QH000096",82,54,2,26
"60QH000097",92,57,3,32
"60QH000098",124,81,1,42
"60QH000099",95,62,1,32
"60QH000100",114,85,1,28
"60QH000101",132,80,1,51
"60QH000102",118,74,5,39
"60QH000103",88,65,5,18
"60QH000104",91,54,4,33
"60QH000105",77,36,3,38
"60QH000106",50,30,2,18
"60QH000107",93,66,1,26
"60QH000108",141,102,3,36
"60QH000109",132,84,9,39
"60QH000110",89,48,1,40
"60QH000111",116,81,4,31
"60QH000112",65,28,2,35
"60QH000113",63,48,1,14
"60QH000114",77,36,5,36
"60QH000115",129,75,4,50
"60QH000116",95,64,1,30
"60QH000117",112,70,2,40
"60QH000118",90,48,1,41
"60QH000119",97,69,1,27
"60QH000120",138,82,5,51
"60QH000121",79,50,1,28
"60QH000122",116,75,2,39
"60QH000123",60,40,1,19
"60QH000124",96,59,2,35
"60QH000125",135,91,1,43
"60QH000126",122,81,0,41
"60QH000127",135,82,5,48
"60QH000128",112,68,1,43
"60QH000129",88,56,3,29
"60QH000130",104,78,0,26
"60QH000131",98,50,10,38
"60QH000132",77,46,1,30
"60QH000133",42,19,1,22
"60QH000134",97,75,4,18
"60QH000135",47,29,1,17
"60QH000136",124,66,2,56
"60QH000137",127,72,11,44
"60QH000138",42,29,0,13
"60QH000139",64,38,1,25
"60QH000140",64,34,4,26
"60QH000141",99,83,5,11
"60QH000142",86,45,2,39
"60QH000143",68,26,6,36
"60QH000144",59,37,2,20
"60QH000145",76,38,3,35
"60QH000146",59,37,1,21
"60QH000147",95,41,3,51
"60QH000148",75,46,1,28
"60QH000149",105,71,4,30
"60QH000150",91,64,0,27
"60QH000151",87,60,3,24
"60QH000152",59,34,1,24
"60QH000153",76,40,2,34
"60QH000154",104,64,1,39
"60QH000155",74,50,6,18
"60QH000156",55,33,5,17
"60QH000157",57,44,2,11
"60QH000158",116,75,6,35
"60QH000159",104,50,9,45
"60QH000160",72,45,1,26
"60QH000161",69,37,1,31
"60QH000162",60,37,1,22
"60QH000163",97,60,4,33
"60QH000164",130,88,3,39
"60QH000165",62,41,1,20
"60QH000166",36,18,2,16
"60QH000167",102,54,9,39
"60QH000168",101,56,8,37
"60QH000169",127,91,4,32
"60QH000170",104,35,10,59
"60QH000171",119,65,6,48
"60QH000172",80,41,5,34
"60QH000173",76,46,3,27
"60QH000174",81,52,2,27
"60QH000175",126,90,3,33
"60QH000176",139,87,0,52
"60QH000177",110,73,7,30
"60QH000178",153,86,6,61
"60QH000179",38,16,0,22
"60QH000180",92,46,2,44
"60QH000181",100,53,2,45
"60QH000182",90,37,0,53
"60QH000183",50,26,1,23
"60QH000184",79,37,2,40
"60QH000185",40,22,1,17
"60QH000186",48,18,5,25
"60QH000187",49,34,2,13
"60QH000188",68,48,6,14
"60QH000189",56,32,4,20
"60QH000190",96,64,1,31
"60QH000191",97,45,2,50
"60QH000192",77,50,3,24
"60QH000193",76,46,1,29
"60QH000194",79,56,0,23
"60QH000195",88,49,0,39
"60QH000196",104,59,2,43
"60QH000197",80,61,1,18
"60QH000198",102,64,3,35
"60QH000199",69,42,1,26
"60QH000200",104,48,2,54
"60QH000201",50,24,2,24
"60QH000202",114,72,5,37
"60QH000203",62,47,1,14
"60QH000204",71,50,3,18
"60QH000205",71,45,3,23
"60QH000206",123,90,4,29
"60QH000207",74,42,2,30
"60QH000208",79,49,0,30
"60QH000209",75,40,4,31
"60QH000210",121,75,3,43
"60QH000211",103,39,3,61
"60QH000212",70,32,0,38
"60QH000213",124,70,2,52
"60QH000214",85,50,1,34
"60QH000215",83,50,4,29
"60QH000216",63,43,2,18
"60QH000217",107,66,2,39
"60QH000218",108,51,5,52
"60QH000219",115,48,11,56
"60QH000220",72,40,0,32
"60QH000221",50,34,1,15
"60QH000222",100,59,4,37
"60QH000223",37,21,0,16
"60QH000224",38,24,1,13
"60QH000225",105,56,4,45
"60QH000226",95,53,1,41
"60QH000227",80,40,6,34
"60QH000228",92,65,0,27
"60QH000229",139,75,7,57
"60QH000230",138,82,5,51
"60QH000231",122,87,4,31
"60QH000232",53,32,1,20
"60QH000233",57,38,0,19
"60QH000234",104,68,4,32
"60QH000235",107,69,2,36
"60QH000236",87,48,5,34
"60QH000237",88,45,0,43
"60QH000238",107,61,3,43
"60QH000239",83,46,1,36
"60QH000240",81,38,4,39
"60QH000241",88,44,2,42
"60QH000242",76,46,1,29
"60QH000243",84,46,11,27
"60QH000244",50,38,1,11
"60QH000245",89,49,6,34
"60QH000246",80,42,6,32
"60QH000247",90,52,2,36
"60QH000248",62,41,3,18
"60QH000249",73,34,5,34
"60QH000250",119,82,3,34
"60QH000251",123,73,3,47
"60QH000252",89,54,1,34
"60QH000253",48,24,1,23
"60QH000254",92,55,5,32
"60QH000255",59,31,3,25
"60QH000256",79,42,2,35
"60QH000257",79,49,2,28
"60QH000258",79,40,1,38
"60QH000259",103,71,2,30
"60QH000260",47,17,3,27
"60QH000261",92,38,3,51
"60QH000262",64,29,2,33
"60QH000263",101,60,6,35
"60QH000264",81,36,7,38
"60QH000265",62,22,8,32
"60QH000266",46,19,1,26
"60QH000267",56,37,1,18
"60QH000268",63,30,6,27
"60QH000269",67,36,1,30
"60QH000270",66,45,1,20
"60QH000271",63,46,1,16
"60QH000272",92,38,2,52
"60QH000273",71,44,2,25
"60QH000274",99,54,5,40
"60QH000275",99,50,2,47
"60QH000276",94,64,3,27
"60QH000277",152,75,5,72
"60QH000278",60,40,1,19
"60QH000279",95,59,2,34
"60QH000280",87,47,2,38
"60QH000281",110,61,0,49
"60QH000282",42,26,2,14
"60QH000283",110,74,1,35
"60QH000284",80,51,3,26
"60QH000285",70,39,4,27
"60QH000286",72,48,1,23
"60QH000287",80,56,4,20
"60QH000288",109,65,4,40
"60QH000289",125,76,1,48
"60QH000290",59,34,0,25
"60QH000291",71,46,3,22
"60QH000292",129,83,5,41
"60QH000293",84,52,0,32
"60QH000294",98,63,4,31
"60QH000295",141,89,2,50
"60QH000296",85,38,5,42
"60QH000297",123,70,4,49
"60QH000298",95,60,3,32
"60QH000299",105,57,8,40
"60QH000300",104,54,5,45
"60QH000301",42,26,0,16
"60QH000302",127,61,0,66
"60QH000303",64,35,3,26
"60QH000304",68,32,6,30
"60QH000305",93,51,2,40
"60QH000306",99,56,1,42
"60QH000307",101,54,3,44
"60QH000308",59,32,3,24
"60QH000309",112,52,11,49
"60QH000310",91,54,8,29
"60QH000311",76,30,2,44
"60QH000312",104,72,0,32
"60QH000313",161,107,7,47
"60QH000314",107,58,3,46
"60QH000315",155,92,11,52
"60QH000316",56,34,1,21
"60QH000317",101,62,5,34
"60QH000318",134,92,3,39
"60QH000319",72,46,3,23
"60QH000320",125,73,1,51
"60QH000321",84,40,3,41
"60QH000322",59,31,3,25
"60QH000323",85,60,2,23
"60QH000324",112,74,6,32
"60QH000325",106,73,3,30
"60QH000326",62,21,8,33
"60QH000327",86,30,4,52
"60QH000328",70,31,7,32
"60QH000329",80,42,3,35
"60QH000330",67,36,4,27
"60QH000331",95,40,7,48
"60QH000332",64,37,4,23
"60QH000333",88,33,7,48
"60QH000334",94,39,5,50
"60QH000335",51,25,3,23
"60QH000336",82,34,1,47
"60QH000337",102,49,4,49
"60QH000338",79,50,3,26
"60QH000339",106,75,3,28
"60QH000340",77,49,3,25
"60QH000341",59,33,0,26
"60QH000342",110,50,12,48
"60QH000343",74,40,3,31
"60QH000344",103,44,7,52
"60QH000345",79,46,1,32
"60QH000346",50,20,0,30
"60QH000347",57,28,0,29
"60QH000348",61,29,4,28
"60QH000349",77,46,7,24
"60QH000350",56,29,2,25
"60QH000351",90,43,1,46
"60QH000352",104,66,5,33
"60QH000353",57,33,2,22
"60QH000354",98,62,2,34
"60QH000355",78,45,4,29
"60QH000356",72,37,3,32
"60QH000357",79,40,1,38
"60QH000358",90,48,2,40
"60QH000359",64,26,0,38
"60QH000360",53,33,1,19
"60QH000361",65,43,3,19
"60QH000362",113,74,3,36
"60QH000363",116,70,3,43
"60QH000364",88,59,2,27
"60QH000365",83,39,5,39
"60QH000366",55,26,6,23
"60QH000367",85,47,2,36
"60QH000368",124,60,11,53
"60QH000369",70,37,2,31
"60QH000370",76,40,4,32
"60QH000371",48,19,4,25
"60QH000372",86,55,5,26
"60QH000373",75,35,2,38
"60QH000374",86,45,5,36
"60QH000375",88,51,2,35
"60QH000376",90,58,0,32
"60QH000377",106,64,4,38
"60QH000378",80,44,0,36
"60QH000379",98,46,8,44
"60QH000380",102,59,5,38
"60QH000381",70,37,1,32
"60QH000382",90,49,4,37
"60QH000383",80,47,5,28
"60QH000384",94,45,10,39
"60QH000385",41,22,4,15
"60QH000386",91,57,3,31
"60QH000387",124,74,8,42
"60QH000388",70,28,5,37
"60QH000389",94,39,8,47
"60QH000390",118,53,18,47
"60QH000391",126,46,14,66
"60QH000392",111,56,10,45
"60QH000393",82,33,5,44
"60QH000394",71,25,10,36
"60QH000395",61,21,8,32
"60QH000396",88,34,15,39
"60QH000397",82,26,15,41
"60QH000398",76,18,15,43
"60QH000399",87,42,3,42
"60QH000400",50,21,0,29
"60QH000401",62,39,3,20
"60QH000402",106,56,17,33
"60QH000403",129,71,9,49
"60QH000404",83,53,4,26
"60QH000405",68,49,7,12
"60QH000406",53,26,11,16
"60QH000407",59,33,5,21
"60QH000408",73,58,1,14
"60QH000409",69,48,4,17
"60QH000410",50,32,1,17
"60QH000411",133,87,9,37
"60QH000412",63,18,7,38
"60QH000413",99,73,1,25
"60QH000414",92,55,7,30
"60QH000415",77,51,1,25
"60QH000416",121,74,5,42
"60QH000417",135,78,5,52
"60QH000418",59,25,1,33
"60QH000419",71,36,5,30
"60QH000420",68,39,0,29
"60QH000421",123,67,3,53
"60QH000422",91,50,6,35
"60QH000423",78,43,4,31
"60QH000424",73,43,2,28
"60QH000425",103,55,2,46
"60QH000426",117,64,0,53
"60QH000427",51,23,0,28
"60QH000428",45,21,3,21
"60QH000429",86,45,2,39
"60QH000430",100,50,8,42
"60QH000431",124,81,8,35
"60QH000432",69,34,1,34
"60QH000433",69,28,6,35
"60QH000434",85,51,7,27
"60QH000435",102,57,0,45
"60QH000436",69,35,5,29
"60QH000437",97,57,1,39
"60QH000438",137,90,2,45
"60QH000439",80,39,9,32
"60QH000440",90,46,3,41
"60QH000441",107,72,8,27
"60QH000442",67,46,1,20
"60QH000443",106,57,6,43
"60QH000444",81,51,3,27
"60QH000445",49,23,2,24
"60QH000446",80,37,8,35
"60QH000447",61,24,5,32
"60QH000448",60,24,1,35
"60QH000449",54,37,1,16
"60QH000450",74,33,3,38
"60QH000451",77,30,2,45
"60QH000452",90,38,0,52
"60QH000453",88,50,8,30
"60QH000454",60,26,0,34
"60QH000455",66,34,0,32
"60QH000456",67,28,3,36
"60QH000457",108,59,2,47
"60QH000458",87,55,0,32
"60QH000459",100,50,5,45
"60QH000460",110,63,6,41
"60QH000461",101,46,5,50
"60QH000462",93,41,5,47
"60QH000463",84,45,5,34
"60QH000464",94,51,4,39
"60QH000465",98,42,11,45
"60QH000466",75,37,3,35
"60QH000467",128,74,9,45
"60QH000468",134,87,3,44
"60QH000469",84,52,1,31
"60QH000470",107,76,5,26
"60QH000471",79,32,6,41
"60QH000472",69,34,1,34
"60QH000473",99,57,7,35
"60QH000474",117,62,8,47
"60QH000475",81,27,10,44
"60QH000476",82,50,3,29
"60QH000477",100,65,2,33
"60QH000478",88,47,3,38
"60QH000479",79,37,15,27
"60QH000480",61,38,1,22
"60QH000481",103,64,5,34
"60QH000482",53,23,4,26
"60QH000483",93,57,7,29
"60QH000484",86,43,2,41
"60QH000485",93,62,4,27
