output_area,total,non_catholic_christian,catholic_christian,jewish,muslim,none,other
S00089314,125,42,19,0,2,57,5
S00089315,108,41,1,0,0,57,9
S00089316,106,45,8,0,7,44,2
S00089317,94,47,5,0,0,37,5
S00089318,107,35,7,0,9,44,12
S00089319,134,60,5,0,0,51,18
S00089320,125,54,10,0,0,39,22
S00089321,85,36,12,0,0,30,7
S00089322,124,77,2,0,0,39,6
S00089323,83,36,6,0,1,35,5
S00089324,94,54,5,0,0,33,2
S00089325,102,49,6,0,0,35,12
S00089326,130,41,4,0,9,58,18
S00089327,108,56,9,0,0,38,5
S00089328,111,76,3,0,1,30,1
S00089329,95,60,1,0,1,25,8
S00089330,151,68,10,0,4,57,12
S00089331,168,89,5,0,1,65,8
S00089332,172,86,4,0,0,74,8
S00089333,176,75,6,0,0,88,7
S00089334,150,74,4,0,2,47,23
S00089335,144,49,13,0,0,74,8
S00089336,93,37,1,0,0,38,17
S00089337,57,28,0,0,3,20,6
S00089338,156,94,3,0,0,44,15
S00089339,150,80,4,0,1,53,12
S00089340,125,67,10,0,0,43,5
S00089341,77,32,1,0,0,33,11
S00089342,75,51,1,0,0,14,9
S00089343,71,18,5,0,5,30,13
S00089344,70,29,4,0,0,29,8
S00089345,98,36,20,0,0,35,7
S00089346,145,72,2,0,1,52,18
S00089347,108,72,4,0,0,30,2
S00089348,92,50,7,0,0,27,8
S00089349,97,53,5,1,0,35,3
S00089350,123,67,5,0,0,34,17
S00089351,175,75,17,0,0,64,19
S00089352,158,75,10,0,0,61,12
S00089353,111,52,9,0,0,38,12
S00089354,89,44,6,0,0,31,8
S00089355,165,70,16,0,4,69,6
S00089356,61,33,0,0,1,26,1
S00089357,118,36,1,0,2,75,4
S00089358,85,36,1,0,1,47,0
S00089359,129,44,2,0,13,60,10
S00089360,113,42,12,0,1,45,13
S00089361,151,55,8,0,0,82,6
S00089362,134,86,8,0,10,22,8
S00089363,60,17,2,0,2,32,7
S00089364,96,24,13,0,1,48,10
S00089365,132,37,13,0,18,50,14
S00089366,105,21,17,0,7,48,12
S00089367,102,36,11,0,2,45,8
S00089368,58,19,4,0,0,31,4
S00089369,120,30,8,0,9,53,20
S00089370,107,45,12,0,1,42,7
S00089371,123,33,8,0,2,67,13
S00089372,63,26,4,0,0,27,6
S00089373,97,31,14,0,5,43,4
S00089374,97,57,5,0,0,26,9
S00089375,137,83,2,0,0,42,10
S00089376,135,71,4,0,3,46,11
S00089377,82,41,0,0,3,31,7
S00089378,103,65,3,0,0,27,8
S00089379,169,105,6,0,0,39,19
S00089380,156,69,4,1,0,65,17
S00089381,108,60,9,0,0,29,10
S00089382,126,75,2,0,0,42,7
S00089383,108,55,8,0,0,39,6
S00089384,106,54,6,0,0,37,9
S00089385,189,97,17,0,3,61,11
S00089386,208,90,11,0,2,79,26
S00089387,158,85,9,0,2,50,12
S00089388,159,56,8,0,0,73,22
S00089389,98,46,6,0,0,37,9
S00089390,93,36,12,0,5,27,13
S00089391,101,37,8,0,2,43,11
S00089392,85,18,4,0,0,56,7
S00089393,86,32,12,0,0,38,4
S00089394,68,33,2,0,0,30,3
S00089395,111,55,9,0,0,42,5
S00089396,72,20,6,0,1,39,6
S00089397,101,45,11,0,4,35,6
S00089398,96,55,9,0,0,26,6
S00089399,51,41,0,0,0,7,3
S00089400,98,51,7,1,7,24,8
S00089401,73,35,9,0,0,27,2
S00089402,84,27,4,0,0,48,5
S00089403,98,43,6,0,1,42,6
S00089404,95,45,5,0,0,38,7
S00089405,112,44,10,0,4,40,14
S00089406,145,74,11,0,0,50,10
S00089407,128,52,15,1,6,48,6
S00089408,104,35,14,0,9,37,9
S00089409,117,56,3,0,1,47,10
S00089410,121,52,16,0,4,40,9
S00089411,98,32,18,0,0,45,3
S00089412,190,108,8,0,5,52,17
S00089413,188,76,12,0,5,77,18
S00089414,63,27,1,0,0,26,9
S00089415,97,34,1,0,0,45,17
S00089416,151,44,5,0,5,75,22
S00089417,133,64,10,0,0,52,7
S00089418,149,74,12,0,7,47,9
S00089419,118,31,14,0,9,42,22
S00089420,142,60,4,0,4,51,23
S00089421,171,69,28,0,0,65,9
S00089422,88,39,9,0,0,35,5
S00089423,163,74,12,0,3,61,13
S00089424,144,63,7,0,3,60,11
S00089425,183,72,21,0,0,70,20
S00089426,189,68,7,0,0,113,1
S00089427,79,25,7,0,0,36,11
S00089428,83,28,8,0,1,32,14
S00089429,135,54,8,0,0,61,12
S00089430,126,73,7,0,0,37,9
S00089431,138,42,5,0,1,31,59
S00089432,61,20,4,0,0,31,6
S00089433,74,30,6,0,3,26,9
S00089434,80,33,10,0,0,26,11
S00089435,120,58,4,0,4,49,5
S00089436,117,58,8,0,0,42,9
S00089437,142,69,5,0,0,56,12
S00089438,154,68,18,0,0,54,14
S00089439,112,79,2,0,0,25,6
S00089440,59,20,16,0,0,18,5
S00089441,83,16,9,0,0,49,9
S00089442,106,40,3,0,0,53,10
S00089443,63,21,1,0,1,35,5
S00089444,132,34,10,0,6,72,10
S00089445,145,41,15,0,5,63,21
S00089446,109,28,14,1,4,53,9
S00089447,92,27,10,0,5,41,9
S00089448,104,30,8,0,5,54,7
S00089449,141,35,13,0,6,68,19
S00089450,94,11,15,0,0,56,12
S00089451,91,33,10,4,0,35,9
S00089452,99,27,7,0,1,54,10
S00089453,110,24,22,1,0,57,6
