"output_area","total","non_catholic_christian","catholic_christian","jewish","muslim","none","other"
"60QA000393",124,64,9,0,0,43,8
"60QA000394",68,41,7,0,0,19,1
"60QA000395",187,101,18,0,4,57,7
"60QA000396",136,91,4,0,0,33,8
"60QA000397",143,99,5,0,1,32,6
"60QA000398",82,61,4,0,0,16,1
"60QA000399",104,70,4,0,0,22,8
"60QA000400",194,123,8,0,5,50,8
"60QA000401",164,101,4,0,0,52,7
"60QA000402",103,69,1,0,0,27,6
"60QA000403",133,89,6,0,0,34,4
"60QA000404",127,94,6,0,0,24,3
"60QA000405",166,86,14,0,8,49,9
"60QA000406",124,81,11,0,0,29,3
"60QA000407",228,154,10,0,0,48,16
"60QA000408",176,128,7,0,1,38,2
"60QA000409",182,97,6,0,5,60,14
"60QA000410",102,64,3,0,0,27,8
"60QA000411",85,52,4,0,0,28,1
"60QA000412",101,53,4,0,0,37,7
"60QA000413",79,49,2,0,0,22,6
"60QA000414",75,40,2,0,4,25,4
"60QA000415",70,41,4,0,0,24,1
"60QA000416",128,70,6,0,0,43,9
"60QA000417",65,29,7,0,0,20,9
"60QA000418",93,52,4,0,2,31,4
"60QA000419",111,66,7,0,0,30,8
"60QA000420",64,46,6,0,0,9,3
"60QA000421",98,49,11,0,8,25,5
"60QA000422",81,49,3,0,0,24,5
"60QA000423",91,53,1,0,0,34,3
"60QA000424",114,75,4,0,0,35,0
"60QA000425",93,61,1,0,0,27,4
"60QA000426",115,79,3,0,0,29,4
"60QA000427",160,65,13,0,15,60,7
"60QA000428",118,78,9,0,0,24,7
"60QA000429",113,55,7,0,0,40,11
"60QA000430",112,65,3,0,0,44,0
"60QA000431",143,77,12,0,3,48,3
"60QA000432",98,42,15,0,0,34,7
"60QA000433",209,133,12,0,0,59,5
"60QA000434",181,85,16,0,1,66,13
"60QA000435",72,46,4,0,0,18,4
"60QA000436",104,61,5,0,0,34,4
"60QA000437",161,63,12,0,9,70,7
"60QA000438",143,83,9,0,0,48,3
"60QA000439",148,97,7,0,0,43,1
"60QA000440",106,56,2,0,0,40,8
"60QA000441",140,80,0,0,0,55,5
"60QA000442",160,86,8,0,5,52,9
"60QA000443",102,54,5,0,0,39,4
"60QA000444",169,88,16,0,1,62,2
"60QA000445",132,71,13,0,0,41,7
"60QA000446",182,82,7,0,0,81,12
"60QA000447",125,71,12,0,0,34,8
"60QA000448",163,88,19,0,0,51,5
"60QA000449",104,57,6,0,0,34,7
"60QA000450",133,92,8,0,0,27,6
"60QA000451",65,32,1,0,0,31,1
"60QA000452",60,43,3,0,1,13,0
"60QA000453",94,52,8,0,1,28,5
"60QA000454",139,73,8,0,0,45,13
"60QA000455",128,69,7,0,0,44,8
"60QA000456",135,83,5,0,0,38,9
"60QA000457",153,82,14,0,1,45,11
"60QA000458",116,70,5,0,6,30,5
"60QA000459",68,31,13,0,0,20,4
"60QA000460",97,25,2,0,7,53,10
"60QA000461",131,69,3,0,1,53,5
"60QA000462",70,35,5,0,0,24,6
"60QA000463",94,33,5,0,0,53,3
"60QA000464",107,22,5,0,5,72,3
"60QA000465",89,54,3,0,2,26,4
"60QA000466",51,9,4,0,0,25,13
"60QA000467",59,30,4,0,0,22,3
