"output_area","total","good","not_good"
"S00089855",132,119,13
"S00089856",152,143,9
"S00089857",116,109,7
"S00089858",87,83,4
"S00089859",116,114,2
"S00089860",102,99,3
"S00089861",85,81,4
"S00089862",121,110,11
"S00089863",158,152,6
"S00089864",170,164,6
"S00089865",137,136,1
"S00089866",81,71,10
"S00089867",116,111,5
"S00089868",60,57,3
"S00089869",159,154,5
"S00089870",127,125,2
"S00089871",126,112,14
"S00089872",147,144,3
"S00089873",180,175,5
"S00089874",130,127,3
"S00089875",133,124,9
"S00089876",109,107,2
"S00089877",106,100,6
"S00089878",93,82,11
"S00089879",131,128,3
"S00089880",151,147,4
"S00089881",170,159,11
"S00089882",113,109,4
"S00089883",91,89,2
"S00089884",111,108,3
"S00089885",120,110,10
"S00089886",98,93,5
"S00089887",100,93,7
"S00089888",75,73,2
"S00089889",58,48,10
"S00089890",111,108,3
"S00089891",236,211,25
"S00089892",130,129,1
"S00089893",128,117,11
"S00089894",148,145,3
"S00089895",82,79,3
"S00089896",81,73,8
"S00089897",109,102,7
"S00089898",129,123,6
"S00089899",116,116,0
"S00089900",101,100,1
"S00089901",93,91,2
"S00089902",157,152,5
"S00089903",136,131,5
"S00089904",99,95,4
"S00089905",104,99,5
"S00089906",93,88,5
"S00089907",109,104,5
"S00089908",116,113,3
"S00089909",57,52,5
"S00089910",116,111,5
"S00089911",159,147,12
"S00089912",112,103,9
"S00089913",85,83,2
"S00089914",83,75,8
"S00089915",96,89,7
"S00089916",113,99,14
"S00089917",110,107,3
"S00089918",98,94,4
"S00089919",100,99,1
"S00089920",126,115,11
"S00089921",94,89,5
"S00089922",87,84,3
"S00089923",99,95,4
"S00089924",85,82,3
"S00089925",93,85,8
"S00089926",120,113,7
"S00089927",98,94,4
"S00089928",142,134,8
"S00089929",132,127,5
"S00089930",81,75,6
"S00089931",101,95,6
"S00089932",114,106,8
"S00089933",86,77,9
"S00089934",93,89,4
"S00089935",128,122,6
"S00089936",69,63,6
"S00089937",82,79,3
"S00089938",114,105,9
"S00089939",136,124,12
