output_area,total,llti,no_llti
S00089298,98,24,74
S00089299,64,24,40
S00089300,99,17,82
S00089301,116,18,98
S00089302,104,15,89
S00089303,167,36,131
S00089304,159,32,127
S00089305,71,30,41
S00089306,141,56,85
S00089307,88,23,65
S00089308,77,10,67
S00089309,148,26,122
S00089310,171,31,140
S00089311,101,26,75
S00089312,164,21,143
S00089313,150,27,123
S00089314,125,12,113
S00089315,108,20,88
S00089316,106,14,92
S00089317,94,8,86
S00089318,107,16,91
S00089319,134,20,114
S00089320,125,13,112
S00089321,85,13,72
S00089322,124,24,100
S00089323,83,20,63
S00089324,94,18,76
S00089325,102,14,88
S00089326,130,19,111
S00089327,108,20,88
S00089328,111,21,90
S00089329,95,17,78
S00089330,151,16,135
S00089331,168,21,147
S00089332,172,21,151
S00089333,176,21,155
S00089334,150,23,127
S00089335,144,15,129
S00089336,93,11,82
S00089337,57,11,46
S00089338,156,33,123
S00089339,150,20,130
S00089340,125,31,94
S00089341,77,17,60
S00089342,75,43,32
S00089343,71,6,65
S00089344,70,16,54
S00089345,98,12,86
S00089346,145,14,131
S00089347,108,15,93
S00089348,92,14,78
S00089349,97,14,83
S00089350,123,20,103
S00089351,175,21,154
S00089352,158,34,124
S00089353,111,20,91
S00089354,89,12,77
S00089355,165,19,146
S00089356,61,9,52
S00089357,118,27,91
S00089358,85,16,69
S00089359,129,23,106
S00089360,113,30,83
S00089361,151,52,99
S00089362,134,76,58
S00089363,60,5,55
S00089364,96,3,93
S00089365,132,6,126
S00089366,105,7,98
S00089367,102,20,82
S00089368,58,5,53
S00089369,120,10,110
S00089370,107,44,63
S00089371,123,32,91
S00089372,63,14,49
S00089373,97,11,86
S00089374,97,45,52
S00089375,137,32,105
S00089376,135,18,117
S00089377,82,11,71
S00089378,103,17,86
S00089379,169,21,148
S00089380,156,14,142
S00089381,108,18,90
S00089382,126,24,102
S00089383,108,15,93
S00089384,106,13,93
S00089385,189,78,111
S00089386,208,62,146
S00089387,158,32,126
S00089388,159,17,142
S00089389,98,18,80
S00089390,93,16,77
S00089391,101,32,69
S00089392,85,23,62
S00089393,86,20,66
S00089394,68,26,42
S00089395,111,24,87
S00089396,72,31,41
S00089397,101,22,79
S00089398,96,15,81
S00089399,51,37,14
S00089400,98,12,86
S00089401,73,20,53
S00089402,84,22,62
S00089403,98,15,83
S00089404,95,17,78
S00089405,112,10,102
S00089406,145,14,131
S00089407,128,18,110
S00089408,104,13,91
S00089409,117,17,100
S00089410,121,10,111
S00089411,98,7,91
S00089412,190,32,158
S00089413,188,22,166
S00089414,63,17,46
S00089415,97,16,81
S00089416,151,13,138
S00089417,133,19,114
S00089418,149,25,124
S00089419,118,17,101
S00089420,142,17,125
S00089421,171,13,158
S00089422,88,20,68
S00089423,163,14,149
S00089424,144,9,135
S00089425,183,9,174
S00089426,189,3,186
S00089427,79,10,69
S00089428,83,7,76
S00089429,135,23,112
S00089430,126,38,88
S00089431,138,68,70
S00089432,61,9,52
S00089433,74,13,61
S00089434,80,9,71
S00089435,120,13,107
S00089436,117,9,108
S00089437,142,11,131
S00089438,154,23,131
S00089439,112,13,99
S00089440,59,7,52
S00089441,83,15,68
S00089442,106,23,83
