output_area,total,llti,no_llti
S00116857,195,19,176
S00116858,118,49,69
S00116859,130,29,101
S00116860,116,10,106
S00116861,80,16,64
S00116862,210,35,175
S00116863,57,16,41
S00116864,161,34,127
S00116865,164,34,130
S00116866,144,37,107
S00116867,127,26,101
S00116868,76,28,48
S00116869,88,42,46
S00116870,104,13,91
S00116871,95,31,64
S00116872,89,22,67
S00116873,92,16,76
S00116874,138,38,100
S00116875,137,17,120
S00116876,131,35,96
S00116877,74,29,45
S00116878,79,21,58
S00116879,101,30,71
S00116880,89,20,69
S00116881,117,32,85
S00116882,108,26,82
S00116883,55,17,38
S00116884,91,12,79
S00116885,102,23,79
S00116886,109,24,85
S00116887,76,13,63
S00116888,93,7,86
S00116889,106,10,96
S00116890,51,14,37
S00116891,152,34,118
S00116892,93,28,65
S00116893,74,5,69
S00116894,120,17,103
S00116895,96,10,86
S00116896,69,7,62
S00116897,62,9,53
S00116898,62,6,56
S00116899,211,50,161
S00116900,129,14,115
S00116901,111,12,99
S00116902,70,14,56
S00116903,67,24,43
S00116904,57,26,31
S00116905,142,12,130
S00116906,153,21,132
S00116907,114,48,66
S00116908,62,17,45
S00116909,143,28,115
S00116910,71,17,54
S00116911,116,20,96
S00116912,83,28,55
S00116913,72,17,55
S00116914,120,41,79
S00116915,88,27,61
S00116916,85,22,63
S00116917,143,59,84
S00116918,99,25,74
S00116919,81,27,54
S00116920,86,29,57
S00116921,124,16,108
S00116922,151,43,108
S00116923,67,28,39
S00116924,107,21,86
S00116925,134,35,99
S00116926,66,19,47
S00116927,100,15,85
S00116928,95,34,61
S00116929,63,28,35
S00116930,94,28,66
S00116931,86,41,45
S00116932,84,9,75
S00116933,69,3,66
S00116934,131,45,86
S00116935,95,11,84
S00116936,114,13,101
S00116937,150,33,117
S00116938,89,11,78
S00116939,150,24,126
S00116940,211,10,201
S00116941,153,22,131
S00116942,64,8,56
S00116943,94,5,89
S00116944,98,17,81
S00116945,121,47,74
S00116946,96,28,68
S00116947,106,40,66
S00116948,77,41,36
S00116949,141,57,84
S00116950,54,10,44
S00116951,120,11,109
S00116952,138,15,123
S00116953,60,11,49
S00116954,97,28,69
S00116955,64,32,32
S00116956,60,28,32
S00116957,50,15,35
S00116958,56,19,37
S00116959,51,14,37
S00116960,53,17,36
S00116961,50,19,31
S00116962,61,17,44
S00116963,106,25,81
S00116964,62,15,47
S00116965,100,29,71
S00116966,57,19,38
S00116967,85,24,61
S00116968,86,24,62
S00116969,59,17,42
S00116970,133,35,98
S00116971,128,41,87
S00116972,294,33,261
S00116973,202,71,131
S00116974,103,12,91
S00116975,51,13,38
S00116976,104,29,75
S00116977,93,22,71
S00116978,74,27,47
S00116979,121,10,111
S00116980,176,30,146
S00116981,66,14,52
S00116982,97,14,83
S00116983,69,10,59
S00116984,99,11,88
S00116985,100,20,80
S00116986,127,19,108
S00116987,101,21,80
S00116988,88,13,75
S00116989,106,21,85
S00116990,83,27,56
S00116991,65,5,60
S00116992,134,30,104
S00116993,82,20,62
S00116994,63,34,29
S00116995,104,18,86
S00116996,180,39,141
S00116997,98,31,67
S00116998,108,27,81
S00116999,140,27,113
S00117000,83,30,53
S00117001,136,37,99
S00117002,70,17,53
S00117003,135,19,116
S00117004,132,29,103
S00117005,104,30,74
S00117006,83,25,58
S00117007,109,30,79
S00117008,86,19,67
S00117009,68,31,37
S00117010,105,21,84
S00117011,87,20,67
S00117012,136,29,107
S00117013,90,27,63
S00117014,155,33,122
S00117015,118,18,100
S00117016,91,13,78
S00117017,110,15,95
S00117018,79,17,62
S00117019,115,21,94
S00117020,84,18,66
S00117021,122,22,100
S00117022,61,24,37
S00117023,113,29,84
S00117024,62,15,47
S00117025,71,26,45
S00117026,59,18,41
S00117027,146,15,131
S00117028,109,31,78
S00117029,110,32,78
S00117030,74,24,50
S00117031,60,36,24
S00117032,106,15,91
S00117033,65,14,51
S00117034,145,40,105
S00117035,81,19,62
S00117036,104,16,88
S00117037,67,4,63
S00117038,202,20,182
S00117039,129,11,118
S00117040,107,6,101
S00117041,213,24,189
S00117042,151,14,137
S00117043,144,26,118
S00117044,161,32,129
S00117045,131,37,94
S00117046,113,38,75
S00117047,130,18,112
S00117048,69,20,49
S00117049,76,23,53
S00117050,119,23,96
S00117051,83,18,65
S00117052,75,11,64
S00117053,124,14,110
S00117054,99,12,87
S00117055,166,23,143
S00117056,163,13,150
S00117057,146,46,100
S00117058,245,34,211
S00117059,75,8,67
S00117060,82,9,73
S00117061,124,16,108
S00117062,90,15,75
S00117063,66,18,48
S00117064,83,15,68
S00117065,87,10,77
S00117066,88,40,48
S00117067,68,22,46
S00117068,73,38,35
S00117069,136,46,90
S00117070,54,13,41
S00117071,90,16,74
S00117072,164,85,79
S00117073,86,43,43
S00117074,68,32,36
S00117075,125,46,79
S00117076,75,9,66
S00117077,70,24,46
S00117078,93,68,25
S00117079,220,42,178
S00117080,140,35,105
S00117081,104,26,78
S00117082,72,16,56
S00117083,58,18,40
S00117084,118,25,93
S00117085,86,29,57
S00117086,100,10,90
S00117087,91,36,55
S00117088,62,21,41
S00117089,176,61,115
S00117090,105,30,75
S00117091,55,22,33
S00117092,106,19,87
S00117093,139,33,106
S00117094,112,41,71
S00117095,157,40,117
S00117096,166,34,132
S00117097,139,22,117
S00117098,114,24,90
S00117099,105,13,92
S00117100,77,13,64
S00117101,84,8,76
S00117102,133,12,121
S00117103,107,6,101
S00117104,154,5,149
S00117105,143,12,131
S00117106,58,10,48
S00117107,89,13,76
S00117108,59,6,53
S00117109,85,12,73
S00117110,75,13,62
S00117111,83,15,68
S00117112,181,47,134
S00117113,92,37,55
S00117114,74,31,43
S00117115,73,15,58
S00117116,130,35,95
S00117117,64,25,39
S00117118,148,43,105
S00117119,133,44,89
S00117120,113,35,78
S00117121,152,37,115
S00117122,79,22,57
S00117123,93,30,63
S00117124,65,25,40
S00117125,124,14,110
S00117126,99,24,75
S00117127,101,42,59
S00117128,103,35,68
S00117129,69,30,39
S00117130,108,59,49
S00117131,135,77,58
S00117132,88,25,63
S00117133,78,26,52
S00117134,91,46,45
S00117135,57,10,47
S00117136,107,24,83
S00117137,101,36,65
S00117138,150,42,108
S00117139,75,17,58
S00117140,84,38,46
S00117141,93,35,58
S00117142,80,29,51
S00117143,85,14,71
S00117144,67,9,58
S00117145,106,12,94
S00117146,86,22,64
S00117147,106,31,75
S00117148,85,23,62
S00117149,109,26,83
S00117150,97,41,56
S00117151,80,18,62
S00117152,66,25,41
S00117153,141,48,93
S00117154,108,10,98
S00117155,95,30,65
S00117156,115,27,88
S00117157,110,24,86
S00117158,98,23,75
S00117159,171,21,150
S00117160,143,35,108
S00117161,88,26,62
S00117162,127,24,103
S00117163,80,26,54
S00117164,82,15,67
S00117165,72,20,52
S00117166,88,33,55
S00117167,60,26,34
S00117168,53,13,40
S00117169,97,38,59
S00117170,88,35,53
S00117171,104,18,86
S00117172,82,38,44
S00117173,53,21,32
S00117174,61,15,46
S00117175,121,44,77
S00117176,70,17,53
S00117177,78,34,44
S00117178,102,10,92
S00117179,179,25,154
S00117180,173,82,91
S00117181,150,15,135
S00117182,146,17,129
S00117183,116,36,80
S00117184,121,28,93
S00117185,107,52,55
S00117186,70,20,50
S00117187,112,15,97
S00117188,99,23,76
S00117189,107,38,69
S00117190,81,16,65
S00117191,131,51,80
S00117192,118,37,81
S00117193,67,32,35
S00117194,56,26,30
S00117195,72,33,39
S00117196,109,39,70
S00117197,194,19,175
S00117198,79,26,53
S00117199,146,12,134
S00117200,173,58,115
S00117201,99,13,86
S00117202,50,8,42
S00117203,62,10,52
S00117204,66,15,51
S00117205,94,28,66
S00117206,63,20,43
S00117207,143,26,117
S00117208,107,21,86
S00117209,71,22,49
S00117210,94,36,58
S00117211,139,13,126
S00117212,155,14,141
S00117213,104,27,77
S00117214,61,24,37
S00117215,73,33,40
S00117216,106,8,98
S00117217,109,8,101
S00117218,98,18,80
S00117219,98,22,76
S00117220,141,22,119
S00117221,104,22,82
S00117222,103,17,86
S00117223,120,15,105
S00117224,127,24,103
S00117225,60,11,49
S00117226,132,28,104
S00117227,142,38,104
S00117228,175,52,123
S00117229,75,12,63
S00117230,86,25,61
S00117231,102,33,69
S00117232,123,22,101
S00117233,114,15,99
S00117234,132,12,120
S00117235,95,7,88
S00117236,129,8,121
S00117237,82,10,72
S00117238,134,14,120
S00117239,83,20,63
S00117240,102,56,46
S00117241,145,60,85
S00117242,119,29,90
S00117243,105,44,61
S00117244,137,45,92
S00117245,109,44,65
S00117246,74,28,46
S00117247,77,22,55
S00117248,102,36,66
S00117249,102,33,69
S00117250,59,19,40
S00117251,135,34,101
S00117252,72,36,36
S00117253,62,35,27
S00117254,118,40,78
S00117255,52,30,22
S00117256,50,14,36
S00117257,97,9,88
S00117258,144,79,65
S00117259,138,21,117
S00117260,123,9,114
S00117261,63,5,58
S00117262,88,11,77
S00117263,128,7,121
S00117264,139,10,129
S00117265,126,16,110
S00117266,99,33,66
S00117267,150,19,131
S00117268,111,14,97
S00117269,155,44,111
S00117270,93,27,66
S00117271,101,12,89
S00117272,111,15,96
S00117273,119,15,104
S00117274,78,10,68
S00117275,53,3,50
S00117276,50,7,43
S00117277,52,6,46
S00117278,85,5,80
S00117279,60,8,52
S00117280,63,9,54
S00117281,93,16,77
S00117282,134,39,95
S00117283,114,19,95
S00117284,96,14,82
S00117285,93,27,66
S00117286,133,10,123
S00117287,61,16,45
S00117288,81,46,35
S00117289,129,24,105
S00117290,79,9,70
S00117291,62,8,54
S00117292,87,34,53
S00117293,72,17,55
S00117294,111,27,84
S00117295,52,11,41
S00117296,95,14,81
S00117297,92,11,81
S00117298,103,9,94
S00117299,58,6,52
S00117300,115,8,107
S00117301,157,43,114
S00117302,50,8,42
S00117303,108,20,88
S00117304,132,9,123
S00117305,64,4,60
S00117306,101,3,98
S00117307,79,10,69
S00117308,131,23,108
S00117309,58,29,29
S00117310,61,8,53
S00117311,51,31,20
S00117312,116,53,63
S00117313,143,45,98
S00117314,64,17,47
S00117315,98,18,80
S00117316,71,23,48
S00117317,128,56,72
S00117318,103,26,77
S00117319,70,18,52
S00117320,68,13,55
S00117321,107,25,82
S00117322,50,20,30
S00117323,92,31,61
S00117324,71,12,59
S00117325,139,33,106
S00117326,99,15,84
S00117327,79,18,61
S00117328,50,16,34
S00117329,122,35,87
S00117330,153,50,103
S00117331,80,27,53
S00117332,61,33,28
S00117333,106,36,70
S00117334,116,14,102
S00117335,88,23,65
S00117336,140,34,106
S00117337,81,25,56
S00117338,124,15,109
S00117339,166,21,145
S00117340,69,18,51
S00117341,126,22,104
S00117342,101,52,49
S00117343,86,15,71
S00117344,100,8,92
S00117345,103,14,89
S00117346,122,19,103
S00117347,107,11,96
S00117348,106,9,97
S00117349,151,15,136
S00117350,56,30,26
S00117351,165,24,141
S00117352,131,39,92
S00117353,56,16,40
S00117354,71,12,59
S00117355,107,18,89
S00117356,160,19,141
S00117357,90,19,71
S00117358,109,19,90
S00117359,108,8,100
S00117360,65,12,53
S00117361,62,14,48
S00117362,56,16,40
S00117363,78,7,71
S00117364,139,38,101
S00117365,112,13,99
S00117366,65,9,56
S00117367,181,27,154
S00117368,93,5,88
S00117369,113,18,95
S00117370,83,17,66
S00117371,65,7,58
S00117372,134,20,114
S00117373,186,42,144
S00117374,69,5,64
S00117375,66,11,55
S00117376,139,18,121
S00117377,129,29,100
S00117378,73,14,59
S00117379,139,40,99
S00117380,216,36,180
S00117381,135,45,90
S00117382,79,17,62
S00117383,147,36,111
S00117384,53,23,30
S00117385,69,30,39
S00117386,125,23,102
S00117387,70,51,19
S00117388,84,32,52
S00117389,64,26,38
S00117390,105,36,69
S00117391,86,18,68
S00117392,127,50,77
S00117393,55,22,33
S00117394,143,21,122
S00117395,141,40,101
S00117396,84,41,43
S00117397,153,43,110
S00117398,76,12,64
S00117399,71,13,58
S00117400,131,37,94
S00117401,81,25,56
S00117402,187,35,152
S00117403,119,25,94
S00117404,58,11,47
S00117405,150,10,140
S00117406,107,7,100
S00117407,203,78,125
S00117408,61,8,53
S00117409,110,23,87
S00117410,76,10,66
S00117411,188,33,155
S00117412,110,26,84
S00117413,84,41,43
S00117414,153,19,134
S00117415,208,27,181
S00117416,238,31,207
S00117417,126,14,112
S00117418,224,28,196
S00117419,84,8,76
S00117420,139,39,100
S00117421,78,18,60
S00117422,86,28,58
S00117423,66,26,40
S00117424,77,14,63
S00117425,139,32,107
S00117426,140,41,99
S00117427,76,12,64
S00117428,66,20,46
S00117429,69,17,52
S00117430,140,72,68
S00117431,91,19,72
S00117432,127,16,111
S00117433,125,10,115
S00117434,90,16,74
S00117435,104,40,64
S00117436,117,38,79
S00117437,150,44,106
S00117438,202,76,126
S00117439,111,33,78
S00117440,232,36,196
S00117441,93,38,55
S00117442,75,49,26
S00117443,59,14,45
S00117444,145,45,100
S00117445,94,14,80
S00117446,92,34,58
S00117447,73,14,59
S00117448,103,31,72
S00117449,72,21,51
S00117450,81,25,56
S00117451,108,43,65
S00117452,65,16,49
S00117453,97,39,58
S00117454,97,18,79
S00117455,69,7,62
S00117456,115,27,88
S00117457,57,20,37
S00117458,93,35,58
S00117459,94,21,73
S00117460,78,11,67
S00117461,73,18,55
S00117462,81,40,41
S00117463,86,9,77
S00117464,121,16,105
S00117465,94,37,57
S00117466,65,21,44
S00117467,108,45,63
S00117468,107,19,88
S00117469,92,27,65
S00117470,135,19,116
S00117471,68,10,58
S00117472,119,18,101
S00117473,102,18,84
S00117474,111,19,92
S00117475,69,17,52
S00117476,69,31,38
S00117477,68,24,44
S00117478,107,11,96
S00117479,84,10,74
S00117480,109,31,78
S00117481,87,26,61
S00117482,108,18,90
S00117483,178,14,164
S00117484,149,40,109
S00117485,79,22,57
S00117486,124,24,100
S00117487,101,28,73
S00117488,142,50,92
S00117489,105,35,70
S00117490,59,20,39
S00117491,90,25,65
S00117492,116,36,80
S00117493,178,26,152
S00117494,124,26,98
S00117495,52,8,44
S00117496,139,7,132
S00117497,112,27,85
S00117498,197,102,95
S00117499,109,34,75
S00117500,164,16,148
S00117501,96,27,69
S00117502,149,23,126
S00117503,162,23,139
S00117504,71,41,30
S00117505,82,46,36
S00117506,137,15,122
S00117507,152,25,127
S00117508,220,20,200
S00117509,112,4,108
S00117510,144,19,125
S00117511,213,13,200
S00117512,127,10,117
S00117513,133,16,117
S00117514,61,4,57
S00117515,129,13,116
S00117516,169,13,156
S00117517,260,30,230
S00117518,139,20,119
S00117519,197,24,173
S00117520,154,15,139
S00117521,138,15,123
S00117522,154,15,139
S00117523,129,10,119
S00117524,125,48,77
S00117525,76,12,64
S00117526,149,29,120
S00117527,69,16,53
S00117528,60,23,37
S00117529,147,22,125
S00117530,168,16,152
S00117531,197,25,172
S00117532,82,13,69
S00117533,139,9,130
S00117534,91,4,87
S00117535,97,20,77
S00117536,97,12,85
S00117537,75,20,55
S00117538,82,31,51
S00117539,54,29,25
S00117540,127,33,94
S00117541,97,2,95
S00117542,92,8,84
S00117543,128,11,117
S00117544,178,56,122
S00117545,52,13,39
S00117546,69,28,41
S00117547,108,37,71
S00117548,61,22,39
S00117549,152,43,109
S00117550,136,31,105
S00117551,67,29,38
S00117552,64,24,40
S00117553,80,1,79
S00117554,129,39,90
S00117555,196,8,188
S00117556,108,13,95
S00117557,119,22,97
S00117558,139,16,123
S00117559,67,6,61
S00117560,121,14,107
S00117561,60,5,55
S00117562,176,11,165
S00117563,76,6,70
S00117564,143,24,119
S00117565,172,19,153
S00117566,121,22,99
S00117567,124,5,119
S00117568,71,4,67
S00117569,124,10,114
S00117570,140,15,125
S00117571,97,15,82
S00117572,80,10,70
S00117573,98,10,88
S00117574,152,10,142
S00117575,201,23,178
S00117576,72,8,64
S00117577,200,96,104
S00117578,116,5,111
S00117579,89,9,80
S00117580,137,5,132
S00117581,167,12,155
S00117582,158,14,144
S00117583,137,15,122
S00117584,151,10,141
S00117585,131,16,115
S00117586,95,9,86
S00117587,52,4,48
S00117588,106,18,88
S00117589,109,19,90
S00117590,63,12,51
S00117591,76,4,72
S00117592,64,9,55
S00117593,62,20,42
S00117594,70,11,59
S00117595,83,21,62
S00117596,101,26,75
S00117597,157,13,144
S00117598,83,9,74
S00117599,172,32,140
S00117600,128,16,112
S00117601,119,4,115
S00117602,84,6,78
S00117603,128,58,70
S00117604,62,45,17
S00117605,100,12,88
S00117606,124,10,114
S00117607,145,10,135
S00117608,99,17,82
S00117609,110,7,103
S00117610,119,6,113
S00117611,115,15,100
S00117612,168,117,51
S00117613,87,17,70
S00117614,75,21,54
S00117615,211,31,180
S00117616,333,44,289
S00117617,159,20,139
S00117618,105,23,82
S00117619,104,36,68
S00117620,73,5,68
S00117621,52,4,48
S00117622,164,16,148
S00117623,172,14,158
S00117624,209,22,187
S00117625,158,17,141
S00117626,380,35,345
S00117627,66,3,63
S00117628,125,46,79
S00117629,70,13,57
S00117630,63,13,50
S00117631,76,2,74
S00117632,107,4,103
S00117633,106,7,99
S00117634,68,7,61
S00117635,117,17,100
S00117636,86,9,77
S00117637,151,16,135
S00117638,178,24,154
S00117639,95,20,75
S00117640,88,9,79
S00117641,107,10,97
S00117642,73,6,67
S00117643,70,14,56
S00117644,102,14,88
S00117645,148,14,134
S00117646,138,15,123
S00117647,129,15,114
S00117648,130,15,115
S00117649,88,20,68
S00117650,107,18,89
S00117651,129,18,111
S00117652,192,18,174
S00117653,158,19,139
S00117654,166,23,143
S00117655,77,18,59
S00117656,103,21,82
S00117657,81,10,71
S00117658,125,19,106
S00117659,136,20,116
S00117660,205,38,167
S00117661,127,24,103
S00117662,154,22,132
S00117663,120,13,107
S00117664,82,11,71
S00117665,173,25,148
S00117666,131,19,112
S00117667,129,26,103
S00117668,164,24,140
S00117669,134,30,104
S00117670,71,10,61
S00117671,175,25,150
S00117672,164,26,138
S00117673,121,23,98
S00117674,158,22,136
S00117675,170,24,146
S00117676,159,56,103
S00117677,156,18,138
S00117678,145,35,110
S00117679,112,23,89
S00117680,104,16,88
S00117681,129,25,104
S00117682,93,25,68
S00117683,121,12,109
S00117684,149,30,119
S00117685,130,28,102
S00117686,91,10,81
S00117687,132,29,103
S00117688,113,30,83
S00117689,146,32,114
S00117690,110,20,90
S00117691,79,11,68
S00117692,134,21,113
S00117693,97,16,81
S00117694,74,16,58
S00117695,107,19,88
S00117696,123,30,93
S00117697,99,43,56
S00117698,143,40,103
S00117699,131,30,101
S00117700,93,25,68
S00117701,98,33,65
S00117702,168,61,107
S00117703,142,38,104
S00117704,129,43,86
S00117705,110,37,73
S00117706,58,11,47
S00117707,96,33,63
S00117708,190,35,155
S00117709,165,20,145
S00117710,168,25,143
S00117711,161,24,137
S00117712,96,13,83
S00117713,106,20,86
S00117714,128,19,109
S00117715,128,21,107
S00117716,170,22,148
S00117717,76,6,70
S00117718,100,41,59
S00117719,80,15,65
S00117720,128,14,114
S00117721,131,22,109
S00117722,64,10,54
S00117723,123,15,108
S00117724,127,24,103
S00117725,121,27,94
S00117726,145,15,130
S00117727,155,30,125
S00117728,72,15,57
S00117729,75,17,58
S00117730,94,21,73
S00117731,73,24,49
S00117732,103,24,79
S00117733,101,14,87
S00117734,101,19,82
S00117735,127,25,102
S00117736,163,21,142
S00117737,74,5,69
S00117738,85,11,74
S00117739,152,19,133
S00117740,125,21,104
S00117741,126,9,117
S00117742,74,8,66
S00117743,81,11,70
S00117744,246,105,141
S00117745,131,17,114
S00117746,116,15,101
S00117747,141,7,134
S00117748,164,9,155
S00117749,124,13,111
S00117750,164,9,155
S00117751,197,14,183
S00117752,174,13,161
S00117753,188,15,173
S00117754,131,2,129
S00117755,127,6,121
S00117756,120,8,112
S00117757,157,13,144
S00117758,163,13,150
S00117759,101,7,94
S00117760,205,16,189
S00117761,85,9,76
S00117762,65,9,56
S00117763,118,15,103
S00117764,173,10,163
S00117765,128,5,123
S00117766,141,18,123
S00117767,107,8,99
S00117768,154,11,143
S00117769,99,5,94
S00117770,164,22,142
S00117771,159,18,141
S00117772,88,6,82
S00117773,94,8,86
S00117774,136,9,127
S00117775,108,18,90
S00117776,104,4,100
S00117777,197,26,171
S00117778,120,8,112
S00117779,141,31,110
S00117780,65,5,60
S00117781,118,3,115
S00117782,128,25,103
S00117783,77,14,63
S00117784,169,14,155
S00117785,68,5,63
S00117786,184,35,149
S00117787,126,20,106
S00117788,114,23,91
S00117789,75,9,66
S00117790,158,30,128
S00117791,139,19,120
S00117792,234,21,213
S00117793,124,23,101
S00117794,94,23,71
S00117795,77,13,64
S00117796,59,11,48
S00117797,132,22,110
S00117798,137,24,113
S00117799,59,9,50
S00117800,147,13,134
S00117801,92,17,75
S00117802,143,24,119
S00117803,74,7,67
S00117804,208,24,184
S00117805,124,16,108
S00117806,83,11,72
S00117807,136,26,110
S00117808,134,23,111
S00117809,88,16,72
S00117810,159,21,138
S00117811,143,27,116
S00117812,124,11,113
S00117813,106,20,86
S00117814,85,10,75
S00117815,85,18,67
S00117816,181,25,156
S00117817,121,26,95
S00117818,96,17,79
S00117819,86,8,78
S00117820,126,16,110
S00117821,126,16,110
S00117822,164,25,139
S00117823,108,13,95
S00117824,113,22,91
S00117825,105,10,95
S00117826,178,34,144
S00117827,172,16,156
S00117828,73,12,61
S00117829,103,18,85
S00117830,63,7,56
S00117831,126,20,106
S00117832,76,13,63
S00117833,60,10,50
S00117834,133,14,119
S00117835,148,33,115
S00117836,176,21,155
S00117837,127,32,95
S00117838,178,27,151
S00117839,94,9,85
S00117840,150,31,119
S00117841,116,22,94
S00117842,70,4,66
S00117843,175,22,153
S00117844,162,19,143
S00117845,130,24,106
S00117846,54,7,47
S00117847,113,17,96
S00117848,80,14,66
S00117849,143,22,121
S00117850,199,29,170
S00117851,131,35,96
S00117852,103,18,85
S00117853,108,11,97
S00117854,167,29,138
S00117855,140,25,115
S00117856,141,43,98
S00117857,174,28,146
S00117858,113,21,92
S00117859,101,16,85
S00117860,86,16,70
S00117861,161,27,134
S00117862,52,12,40
S00117863,69,8,61
S00117864,98,19,79
S00117865,124,22,102
S00117866,91,9,82
S00117867,129,21,108
S00117868,157,23,134
S00117869,170,18,152
S00117870,130,14,116
S00117871,70,19,51
S00117872,189,30,159
S00117873,67,12,55
S00117874,74,20,54
S00117875,72,24,48
S00117876,86,6,80
S00117877,107,19,88
S00117878,122,13,109
S00117879,100,18,82
S00117880,91,23,68
S00117881,170,25,145
S00117882,138,22,116
S00117883,125,18,107
S00117884,87,14,73
S00117885,164,23,141
S00117886,218,26,192
S00117887,129,18,111
S00117888,85,7,78
S00117889,140,25,115
S00117890,155,19,136
S00117891,174,28,146
S00117892,103,24,79
S00117893,151,23,128
S00117894,164,21,143
S00117895,124,60,64
S00117896,95,17,78
S00117897,74,16,58
S00117898,75,16,59
S00117899,89,14,75
S00117900,86,10,76
S00117901,77,9,68
S00117902,144,26,118
S00117903,184,39,145
S00117904,76,14,62
S00117905,98,11,87
S00117906,149,31,118
S00117907,86,14,72
S00117908,88,12,76
S00117909,139,21,118
S00117910,130,14,116
S00117911,50,6,44
S00117912,114,22,92
S00117913,106,13,93
S00117914,140,19,121
S00117915,136,26,110
S00117916,94,14,80
S00117917,106,14,92
S00117918,156,19,137
S00117919,185,13,172
S00117920,118,18,100
S00117921,60,6,54
S00117922,111,28,83
S00117923,69,15,54
S00117924,152,34,118
S00117925,195,23,172
S00117926,176,29,147
S00117927,155,27,128
S00117928,62,7,55
S00117929,133,20,113
S00117930,87,11,76
S00117931,121,22,99
S00117932,152,24,128
S00117933,143,15,128
S00117934,84,5,79
S00117935,112,18,94
S00117936,81,17,64
S00117937,78,13,65
S00117938,156,21,135
S00117939,133,26,107
S00117940,118,13,105
S00117941,90,15,75
S00117942,158,18,140
S00117943,94,11,83
S00117944,144,32,112
S00117945,164,40,124
S00117946,174,32,142
S00117947,139,31,108
S00117948,101,13,88
S00117949,122,22,100
S00117950,156,36,120
S00117951,148,23,125
S00117952,130,11,119
S00117953,127,23,104
S00117954,122,15,107
S00117955,140,31,109
S00117956,86,7,79
S00117957,123,26,97
S00117958,122,18,104
S00117959,62,2,60
S00117960,141,23,118
S00117961,116,24,92
S00117962,144,41,103
S00117963,168,37,131
S00117964,144,32,112
S00117965,91,19,72
S00117966,52,13,39
S00117967,126,44,82
S00117968,103,24,79
S00117969,123,24,99
S00117970,56,11,45
S00117971,98,18,80
S00117972,90,23,67
S00117973,91,17,74
S00117974,137,36,101
S00117975,152,36,116
S00117976,132,19,113
S00117977,104,33,71
S00117978,73,13,60
S00117979,170,40,130
S00117980,107,27,80
S00117981,85,23,62
S00117982,92,17,75
S00117983,92,26,66
S00117984,173,20,153
S00117985,108,21,87
S00117986,149,31,118
S00117987,111,18,93
S00117988,157,24,133
S00117989,115,30,85
S00117990,136,17,119
S00117991,103,29,74
S00117992,112,44,68
S00117993,110,26,84
S00117994,119,24,95
S00117995,133,29,104
S00117996,98,11,87
S00117997,104,23,81
S00117998,111,16,95
S00117999,108,20,88
S00118000,128,12,116
S00118001,114,23,91
S00118002,91,12,79
S00118003,114,18,96
S00118004,127,22,105
S00118005,73,10,63
S00118006,136,24,112
S00118007,132,16,116
S00118008,129,27,102
S00118009,97,20,77
S00118010,94,18,76
S00118011,126,16,110
S00118012,76,18,58
S00118013,164,42,122
S00118014,125,17,108
S00118015,168,37,131
S00118016,81,14,67
S00118017,187,27,160
S00118018,135,10,125
S00118019,97,14,83
S00118020,101,8,93
S00118021,130,18,112
S00118022,89,21,68
S00118023,140,25,115
S00118024,155,20,135
S00118025,148,21,127
S00118026,108,16,92
S00118027,167,29,138
S00118028,100,14,86
S00118029,150,23,127
S00118030,84,33,51
S00118031,77,19,58
S00118032,130,39,91
S00118033,68,9,59
S00118034,117,33,84
S00118035,125,26,99
S00118036,102,40,62
S00118037,103,21,82
S00118038,93,18,75
S00118039,160,33,127
S00118040,74,15,59
S00118041,106,20,86
S00118042,95,16,79
S00118043,103,13,90
S00118044,78,9,69
S00118045,153,23,130
S00118046,97,21,76
S00118047,60,16,44
S00118048,111,34,77
S00118049,130,32,98
S00118050,153,24,129
S00118051,95,15,80
S00118052,89,17,72
S00118053,87,22,65
S00118054,149,32,117
S00118055,171,50,121
S00118056,97,20,77
S00118057,86,17,69
S00118058,135,33,102
S00118059,143,25,118
S00118060,147,38,109
S00118061,92,21,71
S00118062,103,18,85
S00118063,117,28,89
S00118064,118,24,94
S00118065,140,41,99
S00118066,114,21,93
S00118067,104,30,74
S00118068,112,38,74
S00118069,53,11,42
S00118070,147,37,110
S00118071,83,25,58
S00118072,118,30,88
S00118073,155,31,124
S00118074,129,23,106
S00118075,93,28,65
S00118076,118,20,98
S00118077,113,23,90
S00118078,131,34,97
S00118079,84,24,60
S00118080,111,18,93
S00118081,63,6,57
S00118082,141,15,126
S00118083,86,17,69
S00118084,55,9,46
S00118085,106,27,79
S00118086,132,24,108
S00118087,109,16,93
S00118088,113,15,98
S00118089,63,11,52
S00118090,80,21,59
S00118091,85,27,58
S00118092,154,21,133
S00118093,54,12,42
S00118094,121,43,78
S00118095,150,27,123
S00118096,116,27,89
S00118097,127,20,107
S00118098,107,27,80
S00118099,98,20,78
S00118100,126,36,90
S00118101,76,23,53
S00118102,127,38,89
S00118103,117,36,81
S00118104,133,24,109
S00118105,82,31,51
S00118106,131,37,94
S00118107,63,19,44
S00118108,161,35,126
S00118109,112,15,97
S00118110,72,11,61
S00118111,182,33,149
S00118112,59,13,46
S00118113,69,19,50
S00118114,91,18,73
S00118115,123,25,98
S00118116,101,20,81
S00118117,174,40,134
S00118118,131,32,99
S00118119,137,34,103
S00118120,153,29,124
S00118121,106,20,86
S00118122,108,22,86
S00118123,59,9,50
S00118124,98,19,79
S00118125,109,25,84
S00118126,78,38,40
S00118127,66,14,52
