output_area,total,scotland,ruk,elsewhere
60QA000445,132,84,29,19
60QA000446,182,139,19,24
60QA000447,125,79,33,13
60QA000448,163,107,22,34
60QA000449,104,79,17,8
60QA000450,133,113,7,13
60QA000451,65,45,10,10
60QA000452,60,48,4,8
60QA000453,94,70,15,9
60QA000454,139,82,29,28
60QA000455,128,104,19,5
60QA000456,135,99,22,14
60QA000457,153,98,36,19
60QA000458,116,87,19,10
60QA000459,68,44,12,12
60QA000460,97,89,4,4
60QA000461,131,96,30,5
60QA000462,70,49,14,7
60QA000463,94,87,3,4
60QA000464,107,99,4,4
60QA000465,89,79,6,4
60QA000466,51,43,3,5
60QA000467,59,57,1,1
60QA000468,91,75,12,4
60QA000469,68,58,6,4
60QA000470,79,69,9,1
60QA000471,122,106,13,3
60QA000472,78,58,14,6
60QA000473,59,46,6,7
60QA000474,77,53,16,8
60QA000475,96,89,6,1
60QA000476,106,91,11,4
60QA000477,72,55,9,8
60QA000478,105,91,11,3
60QA000479,146,112,21,13
60QA000480,71,61,8,2
60QA000481,178,153,8,17
60QA000482,64,57,4,3
60QA000483,122,109,8,5
60QA000484,115,96,11,8
60QA000485,61,48,7,6
60QA000486,68,51,9,8
60QA000487,90,68,18,4
60QA000488,94,69,20,5
60QA000489,70,56,3,11
60QA000490,62,48,11,3
60QA000491,73,50,11,12
60QA000492,90,66,14,10
60QA000493,67,64,1,2
60QA000494,61,40,12,9
60QA000495,103,96,5,2
60QA000496,83,81,2,0
60QA000497,112,89,17,6
60QA000498,181,108,33,40
60QA000499,129,109,12,8
60QA000500,113,82,23,8
60QA000501,67,62,4,1
60QA000502,63,56,7,0
60QA000503,77,71,4,2
60QA000504,58,52,4,2
60QA000505,65,60,5,0
60QA000506,187,115,38,34
60QA000507,132,114,10,8
60QA000508,82,74,8,0
60QA000509,98,77,13,8
60QA000510,141,125,9,7
60QA000511,129,116,3,10
60QA000512,65,63,2,0
60QA000513,64,61,2,1
60QA000514,64,61,2,1
60QA000515,99,84,3,12
60QA000516,86,73,4,9
60QA000517,113,100,11,2
60QA000518,108,90,7,11
60QA000519,123,101,8,14
60QA000520,124,108,9,7
60QA000521,75,66,3,6
60QA000522,168,115,37,16
60QA000523,329,201,81,47
60QA000524,64,49,9,6
60QA000525,162,145,11,6
60QA000526,126,107,13,6
60QA000527,91,82,5,4
60QA000528,119,114,3,2
60QA000529,126,119,6,1
60QA000530,98,92,6,0
60QA000531,108,99,5,4
60QA000532,72,68,3,1
60QA000533,105,100,5,0
60QA000534,112,107,4,1
60QA000535,107,103,3,1
60QA000536,114,107,3,4
60QA000537,150,142,2,6
60QA000538,119,110,7,2
60QA000539,67,63,2,2
60QA000540,138,126,4,8
60QA000541,91,80,5,6
60QA000542,121,105,8,8
60QA000543,79,76,0,3
60QA000544,78,73,2,3
60QA000545,91,87,2,2
60QA000546,83,81,1,1
60QA000547,87,80,6,1
60QA000548,116,100,14,2
60QA000549,94,81,6,7
60QA000550,67,65,2,0
60QA000551,65,60,3,2
60QA000552,103,99,2,2
60QA000553,150,133,13,4
60QA000554,119,107,9,3
60QA000555,95,87,6,2
60QA000556,98,90,0,8
60QA000557,83,80,1,2
60QA000558,53,43,9,1
60QA000559,106,88,14,4
60QA000560,55,42,9,4
60QA000561,128,116,10,2
60QA000562,80,70,6,4
60QA000563,118,105,8,5
60QA000564,75,69,3,3
60QA000565,137,122,10,5
60QA000566,107,94,7,6
60QA000567,87,79,6,2
60QA000568,104,100,4,0
60QA000569,75,68,3,4
60QA000570,83,67,12,4
60QA000571,157,138,13,6
60QA000572,153,124,15,14
60QA000573,129,110,13,6
60QA000574,169,148,8,13
60QA000575,112,98,6,8
60QA000576,134,109,3,22
60QA000577,128,106,14,8
60QA000578,88,83,2,3
60QA000579,96,76,12,8
60QA000580,70,47,13,10
60QA000581,84,74,5,5
60QA000582,113,102,9,2
60QA000583,113,89,5,19
60QA000584,67,49,10,8
60QA000585,84,62,8,14
60QA000586,66,57,4,5
60QA000587,66,48,5,13
60QA000588,99,78,12,9
60QA000589,73,62,7,4
60QA000590,78,68,5,5
60QA000591,79,72,6,1
60QA000592,118,107,9,2
60QA000593,110,98,10,2
60QA000594,94,88,5,1
60QA000595,108,97,7,4
60QA000596,103,87,6,10
60QA000597,77,64,3,10
60QA000598,136,128,6,2
60QA000599,208,184,14,10
60QA000600,100,91,5,4
60QA000601,68,56,2,10
60QA000602,67,58,3,6
60QA000603,64,49,5,10
60QA000604,58,45,5,8
60QA000605,52,36,8,8
60QA000606,82,59,7,16
60QA000607,78,73,4,1
60QA000608,72,64,7,1
60QA000609,69,65,3,1
60QA000610,58,54,4,0
60QA000611,191,170,11,10
60QA000612,139,116,16,7
60QA000613,118,81,13,24
60QA000614,179,162,8,9
60QA000615,85,80,1,4
60QA000616,93,85,5,3
60QA000617,76,66,7,3
60QA000618,67,59,7,1
60QA000619,157,128,15,14
60QA000620,106,90,11,5
60QA000621,109,97,6,6
60QA000622,82,73,6,3
60QA000623,100,90,4,6
60QA000624,88,61,14,13
60QA000625,63,53,6,4
60QA000626,68,61,3,4
60QA000627,97,87,6,4
60QA000628,109,103,4,2
60QA000629,194,151,28,15
60QA000630,189,129,39,21
60QA000631,58,37,11,10
60QA000632,92,70,12,10
60QA000633,112,80,21,11
60QA000634,180,134,13,33
60QA000635,87,65,13,9
60QA000636,221,149,30,42
60QA000637,160,127,19,14
60QA000638,138,119,13,6
60QA000639,141,106,27,8
60QA000640,89,60,14,15
60QA000641,120,99,16,5
60QA000642,70,52,10,8
60QA000643,57,45,6,6
60QA000644,118,93,10,15
60QA000645,144,91,20,33
60QA000646,148,105,20,23
60QA000647,127,113,8,6
60QA000648,99,65,23,11
60QA000649,98,68,16,14
60QA000650,101,91,7,3
60QA000651,126,78,26,22
60QA000652,456,272,102,82
60QA000653,126,95,19,12
60QA000654,72,50,10,12
60QA000655,89,61,14,14
60QA000656,127,65,39,23
60QA000657,81,70,9,2
60QA000658,123,83,24,16
60QA000659,178,86,33,59
60QA000660,146,89,37,20
60QA000661,107,85,10,12
60QA000662,101,83,11,7
60QA000663,117,81,22,14
60QA000664,71,57,8,6
60QA000665,100,78,13,9
60QA000666,65,55,9,1
60QA000667,102,62,13,27
60QA000668,91,76,9,6
60QA000669,102,76,16,10
60QA000670,79,58,19,2
60QA000671,118,104,13,1
60QA000672,129,120,4,5
60QA000673,75,49,22,4
60QA000674,62,53,2,7
60QA000675,63,42,14,7
60QA000676,55,37,10,8
60QA000677,86,60,18,8
60QA000678,103,84,12,7
60QA000679,130,102,20,8
60QA000680,52,38,11,3
60QA000681,74,60,13,1
60QA000682,64,55,2,7
60QA000683,114,88,16,10
60QA000684,67,57,6,4
60QA000685,57,50,5,2
60QA000686,90,83,6,1
60QA000687,77,63,6,8
60QA000688,165,146,12,7
60QA000689,123,110,7,6
60QA000690,69,54,10,5
60QA000691,74,59,4,11
60QA000692,298,268,17,13
60QA000693,113,93,14,6
60QA000694,90,66,20,4
60QA000695,125,102,15,8
60QA000696,97,79,8,10
60QA000697,64,53,5,6
60QA000698,145,101,23,21
60QA000699,103,75,17,11
60QA000700,112,101,6,5
60QA000701,129,110,19,0
60QA000702,116,98,11,7
60QA000703,67,66,0,1
60QA000704,114,98,7,9
60QA000705,136,123,12,1
60QA000706,133,124,8,1
60QA000707,117,109,5,3
60QA000708,131,117,8,6
60QA000709,160,130,19,11
60QA000710,106,90,12,4
60QA000711,133,114,15,4
60QA000712,101,79,17,5
60QA000713,169,116,30,23
60QA000714,189,150,24,15
60QA000715,182,144,25,13
60QA000716,175,103,20,52
60QA000717,101,77,16,8
