dz_2001,total,house,nonhouse
S01000854,846,744,102
S01000855,669,505,164
S01000856,512,508,4
S01000857,507,431,76
S01000858,910,728,182
S01000859,1129,1057,72
S01000860,853,306,547
S01000861,643,630,13
S01000862,523,510,13
S01000863,542,442,100
S01000864,1172,1129,43
S01000865,1033,801,232
S01000866,853,745,108
S01000867,895,577,318
S01000868,703,663,40
S01000869,595,586,9
S01000870,865,449,416
S01000871,782,704,78
S01000872,798,773,25
S01000873,2440,2299,141
S01000874,496,273,223
S01000875,1427,1200,227
S01000876,668,475,193
S01000877,674,263,411
S01000878,554,548,6
S01000879,936,806,130
S01000880,787,774,13
S01000881,642,496,146
S01000882,887,565,322
S01000883,813,485,328
S01000884,550,404,146
S01000885,478,475,3
S01000886,645,549,96
S01000887,723,617,106
S01000888,658,396,262
S01000889,686,453,233
S01000890,746,495,251
S01000891,856,803,53
S01000892,541,531,10
S01000893,625,614,11
S01000894,493,419,74
S01000895,916,757,159
S01000896,485,479,6
S01000897,678,640,38
S01000898,526,502,24
S01000899,829,799,30
S01000900,626,621,5
S01000901,603,570,33
S01000902,943,907,36
S01000903,997,920,77
S01000904,696,658,38
S01000905,690,661,29
S01000906,504,495,9
S01000907,734,479,255
S01000908,735,550,185
S01000909,897,826,71
S01000910,842,819,23
S01000911,1031,956,75
S01000912,653,610,43
S01000913,611,560,51
S01000914,695,688,7
S01000915,900,806,94
S01000916,1044,921,123
S01000917,677,664,13
S01000918,550,504,46
S01000919,631,559,72
S01000920,597,579,18
S01000921,661,639,22
S01000922,920,893,27
S01000923,862,842,20
S01000924,861,777,84
S01000925,1005,873,132
S01000926,953,818,135
S01000927,883,843,40
S01000928,978,933,45
S01000929,481,207,274
S01000930,540,296,244
S01000931,654,610,44
S01000932,992,839,153
S01000933,1032,865,167
S01000934,893,550,343
S01000935,767,626,141
S01000936,856,791,65
S01000937,548,380,168
S01000938,783,762,21
S01000939,738,630,108
S01000940,848,812,36
S01000941,478,342,136
S01000942,975,759,216
S01000943,830,822,8
S01000944,819,641,178
S01000945,737,608,129
S01000946,775,654,121
S01000947,685,636,49
S01000948,844,830,14
S01000949,610,595,15
S01000950,772,753,19
S01000951,858,738,120
S01000952,866,742,124
S01000953,874,866,8
S01000954,1102,1063,39
S01000955,627,622,5
S01000956,851,708,143
S01000957,540,526,14
S01000958,797,770,27
S01000959,697,657,40
S01000960,527,443,84
S01000961,841,821,20
S01000962,652,499,153
S01000963,843,735,108
S01000964,984,974,10
S01000965,642,504,138
S01000966,1041,998,43
S01000967,578,469,109
S01000968,977,961,16
S01000969,908,728,180
S01000970,788,733,55
S01000971,729,671,58
S01000972,916,903,13
S01000973,660,647,13
S01000974,1219,1204,15
S01000975,646,639,7
S01000976,505,498,7
S01000977,900,871,29
S01000978,820,799,21
S01000979,703,688,15
S01000980,672,639,33
S01000981,681,676,5
S01000982,711,701,10
S01000983,533,524,9
S01000984,620,602,18
S01000985,714,669,45
S01000986,588,530,58
S01000987,627,601,26
S01000988,565,564,1
S01000989,809,791,18
S01000990,808,787,21
S01000991,428,421,7
S01000992,1047,958,89
S01000993,799,799,0
S01000994,1050,978,72
S01000995,778,770,8
S01000996,1037,773,264
S01000997,891,881,10
S01000998,694,376,318
S01000999,650,628,22
S01001000,574,414,160
S01001001,549,536,13
S01001002,631,560,71
S01001003,828,816,12
S01001004,661,633,28
S01001005,844,791,53
S01001006,702,696,6
S01001007,917,480,437
S01001008,751,439,312
S01001009,614,522,92
S01001010,917,325,592
S01001011,585,584,1
S01001012,731,716,15
S01001013,699,537,162
S01001014,842,279,563
S01001015,456,233,223
S01001016,821,800,21
S01001017,858,677,181
S01001018,798,352,446
S01001019,1048,288,760
S01001020,548,461,87
S01001021,1012,741,271
S01001022,794,542,252
S01001023,998,974,24
S01001024,1777,1617,160
S01001025,1260,1126,134
S01001026,886,865,21
S01001027,906,875,31
S01001028,774,561,213
S01001029,754,455,299
S01001030,715,700,15
S01001031,957,944,13
S01001032,692,458,234
S01001033,695,474,221
S01001034,718,358,360
S01001035,509,355,154
S01001036,663,521,142
S01001037,854,675,179
S01001038,772,758,14
S01001039,539,520,19
S01001040,696,682,14
S01001041,680,668,12
S01001042,991,975,16
S01001043,664,660,4
S01001044,915,877,38
S01001045,656,655,1
S01001046,847,837,10
S01001047,818,808,10
S01001048,579,547,32
S01001049,629,614,15
S01001050,949,938,11
S01001051,638,601,37
S01001052,519,479,40
S01001053,763,706,57
S01001054,711,683,28
S01001055,819,697,122
S01001056,711,611,100
S01001057,602,586,16
S01001058,768,556,212
S01001059,660,639,21
S01001060,706,658,48
S01001061,729,690,39
S01001062,588,584,4
S01001063,884,843,41
S01001064,717,513,204
S01001065,756,589,167
S01001066,772,746,26
S01001067,780,774,6
S01001068,856,841,15
S01001069,856,837,19
S01001070,889,872,17
S01001071,690,679,11
S01001072,896,886,10
S01001073,1122,1039,83
S01001074,490,467,23
S01001075,896,887,9
S01001076,851,841,10
S01001077,913,845,68
S01001078,955,926,29
S01001079,552,536,16
S01001080,722,640,82
S01001081,580,516,64
S01001082,925,766,159
S01001083,807,706,101
S01001084,934,889,45
S01001085,833,738,95
S01001086,748,692,56
S01001087,476,465,11
S01001088,1009,874,135
S01001089,883,782,101
S01001090,869,389,480
S01001091,579,149,430
S01001092,1015,285,730
S01001093,835,251,584
S01001094,882,670,212
S01001095,662,132,530
S01001096,939,222,717
S01001097,665,503,162
S01001098,638,500,138
S01001099,1453,347,1106
S01001100,963,114,849
S01001101,1316,36,1280
S01001102,351,9,342
S01001103,701,531,170
S01001104,800,168,632
S01001105,781,737,44
S01001106,906,807,99
S01001107,948,134,814
S01001108,1665,218,1447
S01001109,1220,264,956
S01001110,808,176,632
S01001111,1056,276,780
S01001112,761,241,520
S01001113,961,197,764
S01001114,907,52,855
S01001115,742,97,645
S01001116,528,370,158
S01001117,539,158,381
S01001118,522,365,157
S01001119,951,250,701
S01001120,649,302,347
S01001121,644,195,449
S01001122,644,94,550
S01001123,971,619,352
S01001124,624,340,284
S01001125,363,145,218
S01001126,845,733,112
S01001127,762,287,475
S01001128,644,618,26
S01001129,935,335,600
S01001130,762,252,510
S01001131,472,185,287
S01001132,695,389,306
S01001133,1062,407,655
S01001134,849,614,235
S01001135,342,89,253
S01001136,1007,267,740
S01001137,967,201,766
S01001138,1406,285,1121
S01001139,753,414,339
S01001140,924,179,745
S01001141,516,196,320
S01001142,899,622,277
S01001143,737,577,160
S01001144,711,322,389
S01001145,579,171,408
S01001146,778,751,27
S01001147,694,66,628
S01001148,708,595,113
S01001149,637,319,318
S01001150,770,265,505
S01001151,578,125,453
S01001152,928,252,676
S01001153,730,584,146
S01001154,738,645,93
S01001155,588,472,116
S01001156,772,81,691
S01001157,756,727,29
S01001158,591,312,279
S01001159,689,432,257
S01001160,545,200,345
S01001161,541,378,163
S01001162,821,667,154
S01001163,723,167,556
S01001164,629,154,475
S01001165,786,209,577
S01001166,274,83,191
S01001167,794,722,72
S01001168,764,33,731
S01001169,1075,419,656
S01001170,819,293,526
S01001171,583,317,266
S01001172,583,126,457
S01001173,934,425,509
S01001174,643,92,551
S01001175,903,482,421
S01001176,843,725,118
S01001177,883,267,616
S01001178,792,316,476
S01001179,914,901,13
S01001180,689,53,636
S01001181,840,818,22
S01001182,895,457,438
S01001183,840,108,732
S01001184,853,652,201
S01001185,532,509,23
S01001186,709,690,19
S01001187,917,516,401
S01001188,773,39,734
S01001189,964,578,386
S01001190,683,655,28
S01001191,667,308,359
S01001192,952,61,891
S01001193,827,745,82
S01001194,884,822,62
S01001195,939,719,220
S01001196,960,70,890
S01001197,535,362,173
S01001198,744,595,149
S01001199,884,722,162
S01001200,1087,736,351
S01001201,667,225,442
S01001202,629,464,165
S01001203,766,348,418
S01001204,734,721,13
S01001205,723,450,273
S01001206,730,187,543
S01001207,754,729,25
S01001208,573,365,208
S01001209,547,536,11
S01001210,877,590,287
S01001211,1013,644,369
S01001212,590,229,361
S01001213,833,547,286
S01001214,705,179,526
S01001215,727,609,118
S01001216,889,598,291
S01001217,1147,1018,129
S01001218,812,694,118
S01001219,740,702,38
