dz_2001,total,religious,nonreligious
S01001076,783,546,237
S01001077,793,675,118
S01001078,814,595,219
S01001079,501,361,140
S01001080,540,419,121
S01001081,620,424,196
S01001082,883,693,190
S01001083,798,606,192
S01001084,894,631,263
S01001085,873,651,222
S01001086,743,516,227
S01001087,524,394,130
S01001088,984,725,259
S01001089,948,690,258
S01001090,963,620,343
S01001091,662,417,245
S01001092,964,638,326
S01001093,1045,665,380
S01001094,953,702,251
S01001095,1166,800,366
S01001096,884,611,273
S01001097,643,483,160
S01001098,933,649,284
S01001099,860,568,292
S01001100,922,674,248
S01001101,1120,701,419
S01001102,265,178,87
S01001103,854,692,162
S01001104,702,460,242
S01001105,923,712,211
S01001106,787,607,180
S01001107,987,668,319
S01001108,658,411,247
S01001109,854,580,274
S01001110,820,506,314
S01001111,1020,648,372
S01001112,825,586,239
S01001113,1073,777,296
S01001114,902,626,276
S01001115,811,591,220
S01001116,511,413,98
S01001117,547,383,164
S01001118,633,523,110
S01001119,955,693,262
S01001120,655,458,197
S01001121,783,501,282
S01001122,613,379,234
S01001123,939,637,302
S01001124,641,507,134
S01001125,402,294,108
S01001126,1078,831,247
S01001127,805,576,229
S01001128,737,575,162
S01001129,961,655,306
S01001130,836,635,201
S01001131,533,410,123
S01001132,735,551,184
S01001133,916,659,257
S01001134,990,705,285
S01001135,403,304,99
S01001136,771,501,270
S01001137,903,613,290
S01001138,950,606,344
S01001139,753,595,158
S01001140,1024,787,237
S01001141,452,306,146
S01001142,966,732,234
S01001143,771,588,183
S01001144,674,469,205
S01001145,598,490,108
S01001146,916,723,193
S01001147,664,434,230
S01001148,740,565,175
S01001149,673,483,190
S01001150,726,478,248
S01001151,559,410,149
S01001152,977,737,240
S01001153,742,595,147
S01001154,761,552,209
S01001155,653,519,134
S01001156,772,483,289
S01001157,862,604,258
S01001158,573,461,112
S01001159,795,634,161
S01001160,593,458,135
S01001161,582,437,145
S01001162,865,650,215
S01001163,675,457,218
S01001164,589,464,125
S01001165,781,571,210
S01001166,292,180,112
S01001167,955,763,192
S01001168,675,432,243
S01001169,1013,762,251
S01001170,829,586,243
S01001171,634,426,208
S01001172,663,464,199
S01001173,892,618,274
S01001174,623,392,231
S01001175,890,640,250
S01001176,749,556,193
S01001177,707,523,184
S01001178,862,719,143
S01001179,982,775,207
S01001180,713,483,230
S01001181,894,711,183
S01001182,908,678,230
S01001183,874,620,254
S01001184,939,674,265
S01001185,583,461,122
S01001186,818,658,160
S01001187,914,619,295
S01001188,784,582,202
S01001189,984,749,235
S01001190,731,566,165
S01001191,669,502,167
S01001192,997,735,262
S01001193,865,661,204
S01001194,934,734,200
S01001195,971,796,175
S01001196,981,693,288
S01001197,545,354,191
S01001198,695,498,197
S01001199,976,650,326
S01001200,897,631,266
S01001201,660,476,184
S01001202,605,403,202
S01001203,795,553,242
S01001204,830,650,180
S01001205,767,600,167
S01001206,747,532,215
S01001207,852,623,229
S01001208,648,448,200
S01001209,600,416,184
S01001210,866,596,270
S01001211,960,743,217
S01001212,595,366,229
S01001213,1030,660,370
S01001214,723,585,138
S01001215,805,619,186
S01001216,963,659,304
S01001217,922,594,328
S01001218,759,539,220
S01001219,556,386,170
S01001220,546,384,162
S01001221,652,503,149
S01001222,778,548,230
S01001223,782,573,209
S01001224,938,569,369
S01001225,974,770,204
S01001226,483,298,185
S01001227,752,556,196
S01001228,834,616,218
S01001229,762,575,187
S01001230,786,539,247
S01001231,736,511,225
S01001232,693,503,190
S01001233,991,680,311
S01001234,397,281,116
S01001235,851,520,331
S01001236,933,671,262
S01001237,575,448,127
S01001238,715,440,275
S01001239,557,351,206
S01001240,810,577,233
S01001241,793,544,249
S01001242,919,584,335
S01001243,252,122,130
S01001244,700,445,255
S01001245,813,459,354
S01001246,975,729,246
S01001247,663,466,197
S01001248,876,642,234
S01001249,700,465,235
S01001250,974,642,332
S01001251,721,476,245
S01001252,642,452,190
S01001253,674,406,268
S01001254,702,468,234
S01001255,947,614,333
S01001256,747,515,232
S01001257,805,519,286
S01001258,538,317,221
S01001259,809,627,182
S01001260,659,398,261
