"dz_2001","total","owned","nonowned"
"S01000543",832,669,163
"S01000544",667,532,135
"S01000545",755,518,237
"S01000546",860,589,271
"S01000547",543,446,97
"S01000548",1085,796,289
"S01000549",1168,1096,72
"S01000550",471,423,48
"S01000551",860,701,159
"S01000552",540,480,60
"S01000553",888,761,127
"S01000554",679,264,415
"S01000555",854,469,385
"S01000556",812,377,435
"S01000557",913,659,254
"S01000558",496,400,96
"S01000559",644,427,217
"S01000560",1078,480,598
"S01000561",1012,584,428
"S01000562",847,438,409
"S01000563",1122,348,774
"S01000564",919,257,662
"S01000565",796,514,282
"S01000566",867,482,385
"S01000567",824,431,393
"S01000568",525,428,97
"S01000569",759,611,148
"S01000570",892,757,135
"S01000571",776,565,211
"S01000572",711,653,58
"S01000573",538,501,37
"S01000574",700,639,61
"S01000575",640,533,107
"S01000576",542,513,29
"S01000577",543,489,54
"S01000578",633,548,85
"S01000579",859,807,52
"S01000580",956,848,108
"S01000581",700,652,48
"S01000582",648,435,213
"S01000583",939,793,146
"S01000584",840,547,293
"S01000585",1224,747,477
"S01000586",722,572,150
"S01000587",658,447,211
"S01000588",558,454,104
"S01000589",707,554,153
"S01000590",788,652,136
"S01000591",775,661,114
"S01000592",865,672,193
"S01000593",1428,1124,304
"S01000594",1250,1113,137
"S01000595",758,626,132
"S01000596",795,745,50
"S01000597",965,918,47
"S01000598",1348,1209,139
"S01000599",1145,984,161
"S01000600",776,645,131
"S01000601",1232,1080,152
"S01000602",743,582,161
"S01000603",1022,778,244
"S01000604",914,845,69
"S01000605",739,647,92
"S01000606",820,316,504
"S01000607",750,650,100
"S01000608",1195,518,677
"S01000609",1047,391,656
"S01000610",804,292,512
"S01000611",631,345,286
"S01000612",1039,608,431
"S01000613",1024,739,285
"S01000614",678,425,253
"S01000615",768,374,394
"S01000616",1389,1007,382
"S01000617",665,482,183
"S01000618",815,618,197
"S01000619",708,424,284
"S01000620",1169,341,828
"S01000621",1078,698,380
"S01000622",768,370,398
"S01000623",769,479,290
"S01000624",616,353,263
"S01000625",641,215,426
"S01000626",804,279,525
"S01000627",849,573,276
"S01000628",580,267,313
"S01000629",851,623,228
"S01000630",738,486,252
"S01000631",612,324,288
"S01000632",539,320,219
"S01000633",523,451,72
"S01000634",735,446,289
"S01000635",643,502,141
"S01000636",521,283,238
"S01000637",648,475,173
"S01000638",560,455,105
"S01000639",641,356,285
"S01000640",717,539,178
"S01000641",814,654,160
"S01000642",908,696,212
"S01000643",673,553,120
"S01000644",711,606,105
"S01000645",956,616,340
"S01000646",782,651,131
"S01000647",777,530,247
"S01000648",884,421,463
"S01000649",594,359,235
"S01000650",712,495,217
"S01000651",870,506,364
"S01000652",744,558,186
"S01000653",978,555,423
"S01000654",921,547,374
"S01000655",792,284,508
"S01000656",799,374,425
"S01000657",793,369,424
"S01000658",606,251,355
"S01000659",1321,968,353
"S01000660",970,842,128
"S01000661",822,525,297
"S01000662",734,578,156
"S01000663",798,539,259
"S01000664",851,652,199
"S01000665",669,445,224
"S01000666",528,421,107
"S01000667",957,751,206
"S01000668",864,367,497
"S01000669",826,471,355
"S01000670",668,452,216
"S01000671",551,430,121
"S01000672",713,518,195
"S01000673",721,650,71
"S01000674",1064,708,356
"S01000675",714,614,100
"S01000676",457,256,201
"S01000677",877,342,535
"S01000678",898,658,240
"S01000679",779,354,425
"S01000680",967,443,524
"S01000681",990,426,564
"S01000682",702,371,331
"S01000683",546,394,152
"S01000684",726,313,413
"S01000685",873,620,253
"S01000686",770,433,337
"S01000687",827,479,348
"S01000688",694,554,140
"S01000689",648,404,244
"S01000690",992,853,139
"S01000691",808,498,310
"S01000692",742,270,472
"S01000693",1015,384,631
"S01000694",701,477,224
"S01000695",788,515,273
"S01000696",774,401,373
"S01000697",954,777,177
"S01000698",619,425,194
"S01000699",613,374,239
"S01000700",806,512,294
"S01000701",969,804,165
"S01000702",514,434,80
"S01000703",739,466,273
"S01000704",885,619,266
"S01000705",1131,905,226
"S01000706",859,659,200
"S01000707",618,460,158
"S01000708",558,392,166
"S01000709",992,684,308
"S01000710",1106,515,591
"S01000711",505,420,85
"S01000712",610,460,150
"S01000713",752,518,234
"S01000714",986,695,291
"S01000715",654,371,283
"S01000716",500,223,277
"S01000717",915,295,620
"S01000718",810,407,403
"S01000719",616,524,92
"S01000720",766,570,196
"S01000721",702,405,297
"S01000722",846,459,387
"S01000723",457,306,151
"S01000724",763,440,323
"S01000725",586,453,133
"S01000726",755,511,244
"S01000727",600,280,320
"S01000728",649,352,297
"S01000729",491,287,204
"S01000730",457,233,224
"S01000731",595,225,370
"S01000732",533,179,354
"S01000733",663,348,315
"S01000734",797,709,88
"S01000735",438,326,112
"S01000736",730,593,137
"S01000737",470,280,190
"S01000738",448,326,122
"S01000739",730,470,260
"S01000740",650,483,167
"S01000741",786,618,168
"S01000742",642,516,126
"S01000743",814,680,134
"S01000744",738,461,277
"S01000745",716,576,140
"S01000746",786,558,228
"S01000747",556,359,197
"S01000748",465,203,262
"S01000749",541,263,278
"S01000750",679,500,179
"S01000751",722,630,92
"S01000752",977,428,549
"S01000753",596,427,169
"S01000754",729,542,187
"S01000755",701,357,344
"S01000756",983,787,196
"S01000757",719,587,132
"S01000758",1268,1144,124
"S01000759",985,648,337
"S01000760",531,434,97
"S01000761",605,536,69
"S01000762",610,567,43
"S01000763",743,526,217
"S01000764",676,589,87
"S01000765",825,391,434
"S01000766",699,595,104
"S01000767",642,235,407
"S01000768",783,472,311
"S01000769",785,430,355
"S01000770",703,337,366
"S01000771",937,748,189
"S01000772",640,541,99
"S01000773",826,676,150
"S01000774",831,291,540
"S01000775",653,521,132
"S01000776",572,530,42
"S01000777",325,21,304
"S01000778",450,421,29
"S01000779",793,566,227
"S01000780",844,475,369
"S01000781",806,752,54
"S01000782",680,628,52
"S01000783",464,408,56
"S01000784",778,724,54
"S01000785",714,541,173
"S01000786",749,594,155
"S01000787",488,319,169
"S01000788",650,540,110
"S01000789",725,494,231
"S01000790",470,374,96
"S01000791",607,364,243
"S01000792",664,619,45
"S01000793",639,439,200
"S01000794",861,488,373
"S01000795",937,727,210
"S01000796",426,236,190
"S01000797",449,283,166
"S01000798",484,309,175
"S01000799",680,562,118
"S01000800",916,707,209
"S01000801",635,498,137
"S01000802",770,589,181
"S01000803",965,780,185
"S01000804",843,681,162
"S01000805",793,575,218
"S01000806",808,580,228
"S01000807",734,404,330
"S01000808",713,491,222
"S01000809",562,361,201
"S01000810",731,497,234
"S01000811",792,707,85
"S01000812",1300,691,609
"S01000813",771,639,132
"S01000814",786,385,401
"S01000815",520,120,400
"S01000816",544,271,273
"S01000817",865,645,220
"S01000818",880,649,231
"S01000819",825,576,249
"S01000820",534,356,178
"S01000821",785,456,329
"S01000822",532,368,164
"S01000823",464,245,219
"S01000824",756,526,230
"S01000825",723,550,173
"S01000826",625,405,220
"S01000827",736,555,181
"S01000828",868,677,191
"S01000829",684,479,205
"S01000830",833,605,228
"S01000831",841,605,236
"S01000832",939,609,330
"S01000833",1158,845,313
"S01000834",980,592,388
"S01000835",774,356,418
"S01000836",785,164,621
"S01000837",984,307,677
"S01000838",623,481,142
"S01000839",1355,1057,298
"S01000840",686,217,469
"S01000841",988,261,727
"S01000842",867,736,131
"S01000843",901,648,253
"S01000844",774,458,316
"S01000845",540,437,103
"S01000846",680,188,492
"S01000847",974,564,410
"S01000848",651,525,126
"S01000849",479,315,164
"S01000850",699,271,428
"S01000851",714,635,79
"S01000852",717,436,281
"S01000853",554,319,235
"S01000854",846,336,510
"S01000855",669,537,132
"S01000856",512,283,229
"S01000857",507,324,183
"S01000858",910,791,119
"S01000859",1129,960,169
"S01000860",853,342,511
"S01000861",643,472,171
"S01000862",523,438,85
"S01000863",542,352,190
"S01000864",1172,935,237
"S01000865",1033,624,409
"S01000866",853,455,398
