"output_area","All people aged 16 to 74","Economically active","Economically active: Employee: Part-time","Economically active: Employee: Full-time","Economically active: Self-employed with employees: Part-time","Economically active: Self-employed with employees: Full-time","Economically active: Self-employed without employees: Part-time","Economically active: Self-employed without employees: Full-time","Economically active: Unemployed","Economically active: Full-time student","Economically inactive","Economically inactive: Retired","Economically inactive: Student","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"
"S00089198",66,53,7,35,1,3,0,5,0,2,13,8,0,4,0,1
"S00089199",70,53,8,20,2,1,2,13,3,4,17,4,5,2,4,2
"S00089200",48,35,5,24,0,2,0,1,0,3,13,9,1,3,0,0
"S00089201",69,47,7,23,0,4,2,4,2,5,22,8,6,7,0,1
"S00089202",118,95,14,64,0,3,1,9,0,4,23,14,4,3,0,2
"S00089203",165,120,12,79,0,3,2,5,10,9,45,15,9,9,9,3
"S00089204",101,84,13,49,0,4,1,5,2,10,17,4,5,5,1,2
"S00089205",93,79,9,46,0,3,3,8,2,8,14,10,2,1,1,0
"S00089206",86,61,9,37,0,3,1,5,0,6,25,12,6,3,3,1
"S00089207",73,55,6,37,0,0,0,4,3,5,18,7,3,7,1,0
"S00089208",69,61,5,42,0,0,0,6,2,6,8,0,6,0,2,0
"S00089209",66,56,3,43,0,1,0,5,1,3,10,5,3,1,1,0
"S00089210",73,60,6,40,0,1,0,1,1,11,13,1,11,0,1,0
"S00089211",67,60,6,37,0,1,0,2,4,10,7,1,4,0,1,1
"S00089212",99,77,3,54,0,2,1,2,2,13,22,2,14,2,2,2
"S00089213",63,52,3,40,0,2,0,0,0,7,11,1,7,2,0,1
"S00089214",60,52,4,41,0,0,0,0,2,5,8,2,4,0,0,2
"S00089215",56,43,2,28,0,4,0,1,4,4,13,1,11,0,1,0
"S00089216",93,73,5,52,0,0,0,1,6,9,20,3,8,1,2,6
"S00089217",71,58,6,43,0,0,0,0,1,8,13,1,4,1,2,5
