"output_area","All households","Number of households comprising: One person Pensioner","Number of households comprising: One person Other","Number of households comprising: One family and no others All pensioners","Number of households comprising: One family and no others Married couple households No children","Number of households comprising: One family and no others Married couple households With dependent children","Number of households comprising: One family and no others Married couple households All children non-dependent ","Number of households comprising: One family and no others Cohabiting couple households No children","Number of households comprising: One family and no others Cohabiting couple households With dependent children","Number of households comprising: One family and no others Cohabiting couple households All children non-dependent","Number of households comprising: One family and no others Lone parent housheolds With dependent children","Number of households comprising: One family and no others Lone parent households All children non-dependent","Number of households comprising: Other households With dependent children","Number of households comprising: Other households All student","Number of households comprising: Other households All pensioner","Number of households comprising: Other households Other"
"60RF000657",37,3,14,0,1,6,0,0,2,0,5,2,3,0,0,1
"60RF000658",63,8,1,5,20,16,11,0,0,0,1,0,0,0,0,1
"60RF000659",51,6,1,10,8,16,5,0,1,0,1,0,0,0,2,1
"60RF000660",80,7,5,14,13,24,5,4,2,0,1,1,3,0,0,1
"60RF000661",28,8,1,8,5,3,2,0,0,0,0,1,0,0,0,0
"60RF000662",41,5,5,5,10,7,3,2,0,0,2,0,0,0,0,2
"60RF000663",46,6,4,7,6,8,5,1,0,0,3,2,0,0,1,3
"60RF000664",62,23,13,6,6,4,1,4,0,0,1,2,1,0,0,1
"60RF000665",51,15,14,6,5,2,1,2,1,0,2,2,0,0,0,1
"60RF000666",53,5,5,9,11,14,3,1,0,0,1,0,0,0,2,2
"60RF000667",67,20,12,5,10,7,5,0,1,0,3,1,0,0,0,3
"60RF000668",46,7,3,7,6,14,4,2,0,0,1,0,0,0,0,2
"60RF000669",70,10,10,1,9,9,8,2,4,0,11,3,2,0,0,1
"60RF000670",64,12,4,4,10,18,7,2,3,0,0,3,1,0,0,0
"60RF000671",47,7,1,4,5,16,10,0,0,0,0,1,1,0,1,1
"60RF000672",73,9,10,3,9,8,11,4,2,0,6,5,2,0,0,4
"60RF000673",76,10,12,4,7,15,5,7,2,0,9,2,1,0,0,2
"60RF000674",42,7,3,2,8,5,6,2,1,0,2,3,0,0,0,3
"60RF000675",42,4,4,4,3,7,1,0,1,1,10,4,2,0,0,1
"60RF000676",41,4,11,2,1,8,1,2,1,0,4,5,1,0,0,1
"60RF000677",44,8,5,5,5,5,4,0,3,0,4,2,0,0,1,2
"60RF000678",56,7,0,5,17,14,4,2,0,0,1,4,1,0,0,1
"60RF000679",42,5,3,6,9,12,3,0,0,0,1,0,0,0,0,3
"60RF000680",54,3,0,10,12,10,16,0,1,0,0,0,1,0,0,1
"60RF000681",48,5,4,5,12,11,2,2,0,0,4,1,0,0,0,2
"60RF000682",46,2,2,8,13,10,4,1,0,0,2,3,1,0,0,0
"60RF000683",74,6,2,16,16,17,10,1,0,0,2,2,0,0,0,2
"60RF000684",45,5,0,16,11,7,5,0,0,0,0,0,0,0,1,0
"60RF000685",48,4,4,10,7,13,1,1,1,0,4,2,0,0,0,1
"60RF000686",40,7,2,7,10,8,3,0,0,0,0,2,0,0,0,1
"60RF000687",69,6,5,13,11,17,10,0,1,0,3,1,1,0,0,1
"60RF000688",71,11,21,3,11,11,6,2,2,0,0,3,0,0,0,1
"60RF000689",45,7,20,4,2,4,1,3,0,0,2,1,0,0,1,0
"60RF000690",52,8,20,5,4,2,2,5,0,0,4,0,0,0,2,0
"60RF000691",65,4,20,5,8,13,3,2,1,0,3,1,3,0,0,2
"60RF000692",73,26,24,5,4,3,2,1,1,0,1,5,0,0,1,0
"60RF000693",30,8,10,0,4,1,1,0,1,0,4,0,0,0,0,1
"60RF000694",58,9,5,4,7,15,4,2,0,0,1,2,3,0,2,4
"60RF000695",56,5,2,6,8,19,8,0,2,0,3,1,0,0,1,1
"60RF000696",67,7,11,14,7,14,7,3,0,0,1,1,1,0,0,1
"60RF000697",45,2,0,4,10,20,5,0,0,1,1,0,0,0,0,2
"60RF000698",41,3,3,3,10,13,5,0,0,0,2,1,0,0,0,1
"60RF000699",53,4,1,9,7,18,8,0,3,0,0,1,0,0,0,2
"60RF000700",63,9,4,6,8,12,10,1,0,0,5,4,1,0,1,2
"60RF000701",55,6,1,3,8,15,6,1,4,0,5,4,0,0,1,1
"60RF000702",48,8,8,1,11,11,3,0,2,0,3,0,0,0,0,1
"60RF000703",62,15,10,2,10,6,7,2,1,0,6,1,1,0,0,1
"60RF000704",41,6,1,5,5,13,4,2,1,0,1,1,1,0,0,1
"60RF000705",43,17,5,5,2,1,3,1,0,0,4,3,0,0,1,1
"60RF000706",68,13,7,7,13,12,3,2,2,0,4,3,0,0,1,1
"60RF000707",80,18,20,7,12,7,5,3,2,1,5,0,0,0,0,0
"60RF000708",42,18,6,6,2,6,1,0,1,0,0,2,0,0,0,0
"60RF000709",54,6,3,5,5,18,4,0,2,0,6,3,0,0,0,2
"60RF000710",51,3,7,5,5,15,3,1,4,0,1,1,3,0,1,2
"60RF000711",40,7,1,5,7,7,5,0,3,0,1,3,0,0,0,1
"60RF000712",60,5,6,2,17,17,5,1,2,0,3,0,1,0,1,0
"60RF000713",41,0,3,1,10,14,5,2,1,0,4,1,0,0,0,0
"60RF000714",60,6,3,6,12,19,9,1,0,0,0,3,1,0,0,0
"60RF000715",67,3,10,3,17,17,4,7,2,0,2,2,0,0,0,0
"60RF000716",21,2,1,1,5,9,1,0,0,0,0,0,1,0,0,1
"60RF000717",58,3,8,6,8,7,6,2,3,0,6,5,1,0,0,3
"60RF000718",54,4,5,4,7,5,9,1,2,0,12,3,2,0,0,0
"60RF000719",65,4,9,6,9,10,7,5,2,1,10,2,0,0,0,0
"60RF000720",39,5,10,2,9,3,3,2,1,0,3,0,0,0,0,1
"60RF000721",21,0,2,1,7,7,1,2,0,0,0,0,1,0,0,0
"60RF000722",76,7,24,5,7,12,7,4,1,1,4,2,1,0,1,0
"60RF000723",68,13,18,1,4,9,1,2,6,0,10,1,1,0,0,2
"60RF000724",64,9,4,10,3,11,10,1,1,1,5,5,2,0,0,2
"60RF000725",54,11,9,4,6,8,4,2,2,0,4,2,1,0,0,1
"60RF000726",61,11,13,5,4,7,4,4,4,0,5,4,0,0,0,0
"60RF000727",55,1,3,2,10,26,4,4,1,0,2,0,1,0,0,1
"60RF000728",43,0,4,3,8,17,5,1,2,0,1,1,0,0,0,1
"60RF000729",77,0,6,0,16,28,11,5,1,2,6,1,0,0,0,1
"60RF000730",48,4,1,2,7,20,5,1,3,0,3,0,1,0,0,1
"60RF000731",47,4,3,4,10,14,6,1,0,1,0,0,2,0,1,1
"60RF000732",50,9,2,7,10,10,5,1,1,0,0,2,1,0,0,2
"60RF000733",73,9,7,7,7,16,6,1,5,0,5,4,2,0,2,2
"60RF000734",64,14,4,3,8,15,6,1,4,0,4,2,2,0,1,0
"60RF000735",45,3,5,2,4,5,10,3,0,1,11,0,1,0,0,0
"60RF000736",47,1,2,4,5,15,7,1,0,0,5,4,1,0,0,2
"60RF000737",49,5,3,3,7,6,11,0,5,0,6,1,1,0,0,1
"60RF000738",71,5,4,4,10,22,8,2,3,0,5,5,2,0,0,1
"60RF000739",67,10,10,9,13,7,3,1,2,1,8,2,0,0,0,1
"60RF000740",48,7,3,5,13,5,9,1,0,0,2,2,0,0,1,0
"60RF000741",45,5,4,6,4,7,5,4,0,1,4,3,1,0,0,1
"60RF000742",61,8,26,4,5,4,6,2,0,0,4,2,0,0,0,0
"60RF000743",56,11,10,2,2,8,2,1,5,0,9,4,0,0,0,2
"60RF000744",47,7,4,0,7,8,4,2,4,1,4,5,1,0,0,0
"60RF000745",46,13,10,7,5,7,2,0,0,0,0,0,0,0,1,1
"60RF000746",73,10,9,7,7,16,8,1,4,0,8,0,0,0,0,3
"60RF000747",56,7,19,5,9,4,2,3,1,0,2,0,1,0,0,3
"60RF000748",53,10,3,7,12,9,6,1,0,0,2,0,1,0,0,2
"60RF000749",67,9,21,4,7,12,3,5,1,0,2,1,0,0,0,2
"60RF000750",60,7,5,3,11,16,5,2,2,0,4,1,2,0,0,2
"60RF000751",55,3,9,1,6,12,13,4,2,0,2,1,1,0,0,1
"60RF000752",40,3,4,2,5,10,1,2,4,0,3,1,2,0,0,3
"60RF000753",58,0,19,6,1,6,1,0,5,1,15,2,1,0,0,1
"60RF000754",55,11,3,8,12,9,5,0,0,0,3,3,0,0,0,1
"60RF000755",54,9,2,9,12,7,8,0,1,0,4,0,0,0,0,2
"60RF000756",48,8,4,5,9,11,4,3,0,1,1,0,2,0,0,0
"60RF000757",58,10,15,5,8,8,4,2,0,0,2,2,2,0,0,0
"60RF000758",61,11,2,8,15,14,7,3,0,0,0,1,0,0,0,0
"60RF000759",46,5,10,0,7,15,1,2,0,0,2,3,1,0,0,0
"60RF000760",57,4,9,3,6,12,4,4,3,0,9,1,2,0,0,0
"60RF000761",70,13,6,5,7,11,3,2,5,0,12,2,2,0,1,1
"60RF000762",56,15,5,3,11,4,8,1,1,0,2,2,4,0,0,0
"60RF000763",52,10,5,4,6,9,5,2,2,0,5,3,0,0,0,1
"60RF000764",63,17,16,3,5,7,3,2,1,0,4,1,2,0,0,2
"60RF000765",38,7,7,0,4,10,1,5,1,0,0,3,0,0,0,0
"60RF000766",29,5,5,2,4,6,1,0,1,0,3,2,0,0,0,0
"60RF000767",46,12,5,2,3,9,2,0,0,0,3,7,3,0,0,0
"60RF000768",40,6,5,2,5,6,2,1,0,0,9,3,0,0,0,1
"60RF000769",41,7,5,1,10,7,4,0,1,0,4,1,0,0,1,0
"60RF000770",34,0,1,1,7,20,0,3,1,0,0,0,1,0,0,0
"60RF000771",72,12,10,1,9,7,4,0,5,2,11,5,4,0,0,2
"60RF000772",54,2,11,2,3,6,5,1,5,0,10,4,3,0,0,2
"60RF000773",64,11,6,5,4,13,4,2,7,0,6,4,1,0,0,1
"60RF000774",80,8,10,1,8,27,10,4,1,0,4,1,4,0,0,2
"60RF000775",65,5,6,6,20,15,5,3,3,0,0,2,0,0,0,0
"60RF000776",74,4,1,8,9,31,15,0,0,0,1,4,1,0,0,0
"60RF000777",76,14,7,5,21,8,9,0,2,1,4,3,2,0,0,0
"60RF000778",72,6,5,8,14,20,9,2,1,1,3,0,1,0,0,2
"60RF000779",51,6,10,1,8,13,4,4,2,0,1,1,0,0,0,1
"60RF000780",49,7,5,3,5,5,10,4,1,0,4,2,2,0,0,1
"60RF000781",75,18,11,5,11,11,3,1,0,0,5,3,2,0,1,4
"60RF000782",23,3,5,1,1,5,1,0,2,0,1,1,2,0,0,1
"60RF000783",41,4,4,1,10,9,6,4,0,0,0,0,1,0,0,2
"60RF000784",43,6,5,6,3,3,2,1,2,0,8,2,3,0,0,2
"60RF000785",42,7,5,4,6,7,5,1,1,0,3,2,1,0,0,0
"60RF000786",44,6,4,4,8,6,6,1,1,0,4,2,1,0,0,1
"60RF000787",66,14,5,7,7,8,5,3,3,1,4,4,0,0,1,4
"60RF000788",43,7,2,8,6,6,4,0,1,0,4,3,0,0,1,1
"60RF000789",67,12,6,6,10,12,7,2,0,0,6,5,1,0,0,0
"60RF000790",55,15,8,2,5,8,6,3,0,0,4,3,1,0,0,0
"60RF000791",38,4,1,3,6,11,3,2,2,0,3,2,0,0,0,1
"60RF000792",60,6,9,4,6,13,12,1,3,0,2,0,3,0,0,1
"60RF000793",42,9,1,5,6,11,5,1,2,0,0,2,0,0,0,0
"60RF000794",45,7,11,2,8,2,1,4,0,0,5,3,1,0,0,1
"60RF000795",75,15,32,2,6,10,2,2,0,0,3,1,0,0,1,1
"60RF000796",47,9,18,1,4,3,2,0,0,1,0,8,0,0,0,1
"60RF000797",70,3,14,5,10,9,5,0,3,0,10,5,5,0,0,1
"60RF000798",70,11,18,2,6,7,3,1,4,0,7,6,1,0,2,2
"60RF000799",49,11,28,3,2,2,0,0,0,0,1,2,0,0,0,0
"60RF000800",59,3,4,5,5,9,13,1,1,1,8,5,2,0,0,2
"60RF000801",78,4,9,2,12,11,7,0,4,1,20,5,2,0,0,1
"60RF000802",66,8,25,5,3,6,1,0,3,0,7,3,1,0,0,4
"60RF000803",67,4,6,2,6,11,9,1,6,0,14,4,1,0,0,3
"60RF000804",42,3,3,1,9,6,8,1,1,0,7,2,1,0,0,0
"60RF000805",40,5,6,2,4,6,5,2,0,0,5,1,3,0,0,1
"60RF000806",69,10,7,1,4,14,8,2,1,1,13,2,2,0,1,3
"60RF000807",76,11,12,4,10,10,5,0,4,0,12,2,4,0,0,2
"60RF000808",69,13,9,2,4,9,4,3,4,1,11,5,3,0,0,1
"60RF000809",74,9,11,6,8,14,2,2,4,0,11,5,0,0,0,2
"60RF000810",26,1,4,2,7,6,2,0,1,0,1,0,1,0,0,1
"60RF000811",36,8,10,7,2,0,1,1,1,1,2,2,0,0,1,0
"60RF000812",28,2,1,0,6,9,5,1,0,0,1,0,2,0,0,1
"60RF000813",72,12,8,4,6,15,11,3,1,1,7,2,1,0,1,0
"60RF000814",60,8,17,8,4,9,2,3,0,0,4,5,0,0,0,0
"60RF000815",57,10,5,4,10,18,3,1,0,1,1,1,0,0,1,2
"60RF000816",52,7,7,7,9,10,5,2,2,0,2,1,0,0,0,0
"60RF000817",51,10,7,2,6,8,2,2,2,0,7,2,1,0,0,2
"60RF000818",46,7,6,4,4,7,6,2,2,0,6,1,0,0,0,1
"60RF000819",63,7,9,7,13,14,5,3,0,0,3,1,1,0,0,0
"60RF000820",67,11,3,6,16,13,3,2,2,0,4,2,1,0,1,3
"60RF000821",66,8,9,1,13,17,8,2,0,0,2,3,1,0,0,2
"60RF000822",62,25,2,7,8,7,5,3,0,0,1,1,1,0,0,2
"60RF000823",64,14,15,4,3,8,3,3,2,0,5,3,2,0,1,1
"60RF000824",67,25,15,5,5,4,6,1,1,0,1,2,0,0,0,2
"60RF000825",51,23,4,5,6,4,0,1,0,0,4,3,0,0,0,1
"60RF000826",41,9,5,7,3,4,4,0,0,0,3,1,3,0,0,2
"60RF000827",47,7,6,10,6,7,2,2,0,0,0,5,0,0,1,1
"60RF000828",34,3,8,2,4,12,2,0,0,0,2,0,1,0,0,0
"60RF000829",50,6,4,8,7,6,4,2,2,0,5,4,0,0,2,0
"60RF000830",50,12,7,5,7,6,3,0,1,0,2,3,3,0,0,1
"60RF000831",41,4,2,2,8,5,5,0,1,1,7,3,0,0,1,2
"60RF000832",56,8,9,7,3,8,1,1,2,0,8,5,2,0,0,2
"60RF000833",44,4,8,2,3,10,2,0,0,0,10,5,0,0,0,0
"60RF000834",45,15,11,2,7,0,1,1,0,0,6,2,0,0,0,0
"60RF000835",46,3,2,5,10,8,7,0,3,0,4,1,1,0,0,2
"60RF000836",63,20,9,7,2,4,10,0,1,1,3,1,3,0,1,1
"60RF000837",44,8,5,3,8,0,4,1,1,0,7,5,1,0,0,1
"60RF000838",49,5,3,3,5,13,6,2,1,0,5,3,1,0,0,2
"60RF000839",45,1,2,3,7,6,5,0,3,1,11,3,1,0,0,2
"60RF000840",23,1,1,0,3,10,4,2,2,0,0,0,0,0,0,0
"60RF000841",21,1,2,3,3,7,4,0,0,0,1,0,0,0,0,0
"60RF000842",40,2,1,6,14,9,6,0,0,0,1,0,1,0,0,0
"60RF000843",56,6,6,2,7,20,8,0,0,0,4,1,1,0,0,1
"60RF000844",47,12,6,4,4,6,4,4,1,0,1,4,1,0,0,0
"60RF000845",41,8,3,4,8,9,1,1,2,0,1,4,0,0,0,0
"60RF000846",48,11,8,3,8,4,4,2,1,0,4,1,1,0,0,1
"60RF000847",39,7,19,0,2,2,2,0,0,0,3,3,0,0,0,1
"60RF000848",48,4,11,0,6,5,6,0,1,0,6,6,2,0,0,1
"60RF000849",52,7,9,1,5,6,4,2,2,0,12,4,0,0,0,0
"60RF000850",41,8,6,3,3,3,6,1,3,0,1,2,1,0,1,3
"60RF000851",47,11,5,4,6,11,4,1,0,0,3,2,0,0,0,0
"60RF000852",47,7,6,5,3,9,4,1,2,0,6,4,0,0,0,0
"60RF000853",47,5,9,1,6,4,3,0,2,0,9,5,1,0,0,2
"60RF000854",45,5,5,2,4,11,4,0,0,1,4,7,1,0,0,1
"60RF000855",48,5,6,5,4,5,4,1,2,1,8,4,1,0,0,2
"60RF000856",60,8,11,6,6,9,9,2,1,1,2,2,1,0,1,1
"60RF000857",42,6,10,6,6,6,0,1,3,0,2,0,1,0,0,1
"60RF000858",60,5,6,6,8,7,4,0,1,0,18,3,1,0,1,0
"60RF000859",54,3,5,6,14,13,8,0,0,0,2,2,0,0,0,1
"60RF000860",50,5,3,5,10,15,6,2,2,0,2,0,0,0,0,0
"60RF000861",42,3,4,3,5,11,8,2,1,0,3,2,0,0,0,0
"60RF000862",48,3,3,2,6,18,8,2,1,0,2,2,1,0,0,0
"60RF000863",27,2,1,2,4,10,6,0,0,0,0,0,2,0,0,0
"60RF000864",25,2,3,5,4,4,5,1,0,0,0,1,0,0,0,0
"60RF000865",40,2,4,0,8,12,7,2,0,0,3,0,1,0,0,1
"60RF000866",73,10,5,7,11,17,7,6,1,0,5,2,0,0,0,2
"60RF000867",29,0,2,2,3,8,5,3,1,0,3,1,1,0,0,0
"60RF000868",27,1,0,2,10,7,2,0,1,0,0,2,0,0,0,2
"60RF000869",57,5,2,4,10,14,17,0,1,0,1,2,0,0,0,1
"60RF000870",58,11,6,3,10,10,6,3,3,0,2,3,0,0,0,1
"60RF000871",49,10,3,5,7,14,6,1,0,1,1,1,0,0,0,0
"60RF000872",48,8,6,2,5,7,4,8,2,1,3,1,1,0,0,0
"60RF000873",49,6,6,5,9,9,5,2,1,0,2,3,1,0,0,0
"60RF000874",59,5,8,6,15,15,0,4,0,0,1,3,1,0,0,1
"60RF000875",68,15,9,5,4,17,5,2,1,0,4,3,1,0,2,0
"60RF000876",39,27,2,3,2,2,3,0,0,0,0,0,0,0,0,0
"60RF000877",31,5,4,0,5,10,4,0,0,1,2,0,0,0,0,0
"60RF000878",52,15,5,3,6,3,3,1,2,0,7,4,1,0,0,2
"60RF000879",51,8,8,5,8,4,5,1,1,0,5,4,1,0,1,0
"60RF000880",45,8,9,6,7,3,4,0,1,1,4,1,1,0,0,0
"60RF000881",45,5,8,5,10,9,3,0,2,0,1,0,1,0,0,1
"60RF000882",74,12,18,6,8,15,5,6,0,0,0,2,1,0,0,1
"60RF000883",61,10,13,5,10,9,4,3,0,0,4,0,1,0,1,1
"60RF000884",54,7,19,1,6,7,3,3,1,0,4,2,0,0,1,0
"60RF000885",54,4,5,6,10,15,8,0,0,0,0,2,1,0,1,2
"60RF000886",57,7,5,3,14,14,4,4,1,0,0,2,1,0,1,1
"60RF000887",54,8,6,3,11,13,8,0,1,0,2,2,0,0,0,0
"60RF000888",43,5,2,10,6,13,4,0,1,0,1,1,0,0,0,0
"60RF000889",70,10,5,6,11,19,6,0,0,0,5,4,0,0,1,3
"60RF000890",72,6,11,8,11,14,16,1,1,0,1,3,0,0,0,0
"60RF000891",22,2,4,0,3,9,1,0,0,0,1,2,0,0,0,0
"60RF000892",62,3,4,7,7,22,4,1,4,0,1,3,4,0,1,1
"60RF000893",50,4,4,4,11,14,9,2,0,0,0,1,1,0,0,0
"60RF000894",44,10,4,2,17,5,3,1,0,0,0,1,0,0,0,1
"60RF000895",50,2,2,2,11,18,12,0,1,1,0,0,0,0,0,1
"60RF000896",56,10,10,3,10,10,3,0,2,0,4,2,2,0,0,0
"60RF000897",50,7,7,5,8,9,3,1,0,0,4,4,0,0,0,2
"60RF000898",46,2,2,3,9,10,5,0,3,1,7,2,1,0,0,1
"60RF000899",47,19,9,2,3,2,2,1,3,0,3,2,0,0,1,0
"60RF000900",53,13,8,6,7,9,2,1,1,0,3,2,1,0,0,0
"60RF000901",39,2,5,3,5,7,6,1,3,0,4,1,0,0,1,1
"60RF000902",54,8,4,4,3,14,5,1,5,0,8,2,0,0,0,0
"60RF000903",50,11,7,5,6,9,1,1,0,0,7,1,2,0,0,0
"60RF000904",44,5,4,2,5,9,5,2,1,1,6,2,0,0,1,1
"60RF000905",54,8,5,2,4,10,4,2,1,0,10,5,2,0,0,1
"60RF000906",59,3,6,7,10,23,6,0,1,0,1,1,1,0,0,0
"60RF000907",52,5,8,2,5,9,7,0,3,0,5,4,1,0,0,3
"60RF000908",52,6,8,2,10,13,6,0,0,0,3,0,1,0,2,1
"60RF000909",49,7,6,3,4,13,4,1,3,1,2,3,2,0,0,0
"60RF000910",47,5,3,2,6,14,7,3,2,0,2,3,0,0,0,0
"60RF000911",42,6,2,4,3,11,1,0,5,0,6,0,4,0,0,0
"60RF000912",54,8,4,3,13,11,4,1,1,0,5,2,0,0,0,2
"60RF000913",73,7,5,5,15,8,7,2,4,0,9,2,3,0,2,4
"60RF000914",65,18,9,6,8,4,7,2,2,0,3,3,0,0,0,3
"60RF000915",56,17,3,5,4,8,5,0,3,0,4,3,2,0,0,2
"60RF000916",43,12,6,5,4,9,2,0,0,0,2,2,0,0,0,1
"60RF000917",41,22,2,3,5,3,1,1,1,0,0,1,1,0,0,1
"60RF000918",57,22,7,4,4,7,3,3,1,0,0,1,1,1,0,3
"60RF000919",46,3,19,3,6,9,2,1,0,0,3,0,0,0,0,0
"60RF000920",40,4,8,1,6,9,2,3,0,0,3,3,1,0,0,0
"60RF000921",42,2,5,3,5,9,2,1,3,0,7,1,3,0,0,1
"60RF000922",40,4,14,3,1,1,1,2,1,0,10,0,1,0,0,2
"60RF000923",56,8,8,3,4,12,6,2,2,0,2,6,0,0,2,1
"60RF000924",50,10,3,3,9,8,7,1,0,0,6,3,0,0,0,0
"60RF000925",44,8,10,1,6,5,1,2,2,0,5,3,0,0,0,1
"60RF000926",45,1,12,5,3,7,3,3,2,0,3,3,1,0,0,2
"60RF000927",58,7,8,6,1,11,8,2,3,0,6,3,2,0,0,1
"60RF000928",58,4,6,3,4,7,5,4,2,0,14,5,1,0,0,3
"60RF000929",57,4,1,3,10,18,12,1,1,1,1,3,0,0,2,0
"60RF000930",44,3,0,8,10,12,7,1,0,0,2,0,0,0,1,0
"60RF000931",52,12,5,5,9,8,2,2,2,0,3,4,0,0,0,0
"60RF000932",41,3,3,2,8,5,5,2,1,0,10,2,0,0,0,0
"60RF000933",24,0,2,4,5,5,5,0,2,0,0,1,0,0,0,0
"60RF000934",54,4,4,6,9,14,8,2,1,0,3,2,1,0,0,0
"60RF000935",43,2,5,1,13,13,5,0,0,0,1,1,1,0,0,1
"60RF000936",60,11,5,8,14,5,11,1,0,0,1,0,2,0,1,1
"60RF000937",39,6,7,3,8,7,4,1,0,0,1,2,0,0,0,0
"60RF000938",52,2,2,3,11,20,6,2,1,0,1,0,2,0,0,2
"60RF000939",62,8,8,1,10,16,7,1,2,0,4,2,1,0,1,1
"60RF000940",56,19,1,6,6,15,5,0,2,0,0,0,0,0,0,2
"60RF000941",56,5,7,4,10,13,1,3,3,1,5,3,0,0,0,1
"60RF000942",42,6,4,7,6,3,3,1,2,0,2,4,1,0,1,2
"60RF000943",67,7,7,4,11,24,8,1,0,1,3,1,0,0,0,0
"60RF000944",50,7,7,2,6,17,4,0,1,0,3,1,2,0,0,0
"60RF000945",74,11,11,11,9,15,5,1,0,0,2,4,0,0,1,4
"60RF000946",63,10,15,5,4,10,1,5,1,1,5,2,1,0,1,2
"60RF000947",24,7,2,2,3,5,4,1,0,0,0,0,0,0,0,0
"60RF000948",61,12,10,9,9,9,5,1,1,0,0,2,0,0,1,2
"60RF000949",77,3,3,4,18,21,18,4,1,0,1,4,0,0,0,0
"60RF000950",42,9,7,4,5,7,0,3,0,0,1,2,0,0,0,4
"60RF000951",80,4,9,3,13,32,10,2,1,1,0,1,2,0,0,2
"60RF000952",76,19,18,8,4,8,1,7,3,1,3,2,1,0,1,0
"60RF000953",75,25,12,9,8,8,3,1,1,0,3,2,0,0,1,2
"60RF000954",65,4,5,2,9,14,8,3,4,0,12,1,1,0,0,2
"60RF000955",47,1,5,3,12,10,7,2,3,0,2,2,0,0,0,0
"60RF000956",41,10,3,4,5,7,6,0,0,0,1,3,0,0,0,2
"60RF000957",54,5,4,3,2,18,7,0,4,0,6,3,1,0,0,1
"60RF000958",55,13,2,6,6,11,1,4,1,0,4,5,1,0,0,1
"60RF000959",46,14,14,2,3,3,5,0,0,0,0,2,0,0,1,2
"60RF000960",73,30,13,8,2,6,2,2,2,0,1,3,0,0,0,4
"60RF000961",53,15,15,2,3,5,4,3,0,1,3,1,0,0,1,0
"60RF000962",49,18,4,6,7,8,2,1,1,0,0,2,0,0,0,0
"60RF000963",31,1,20,0,4,5,0,1,0,0,0,0,0,0,0,0
"60RF000964",80,9,15,0,9,28,3,8,2,0,3,2,0,0,0,1
"60RF000965",49,1,2,2,4,17,13,4,1,0,2,1,0,0,1,1
"60RF000966",63,3,6,3,7,27,7,0,2,0,6,1,0,0,0,1
"60RF000967",41,2,4,2,9,15,4,1,0,0,2,1,1,0,0,0
"60RF000968",42,1,3,7,8,12,7,0,0,0,0,1,2,0,0,1
"60RF000969",26,3,1,5,2,10,0,0,1,0,2,2,0,0,0,0
"60RF000970",31,9,7,4,3,1,1,1,0,0,3,1,0,0,0,1
"60RF000971",44,11,3,6,3,8,5,1,2,0,1,3,1,0,0,0
"60RF000972",47,13,11,4,4,3,0,2,3,0,5,0,0,0,0,2
"60RF000973",42,15,11,8,3,0,0,0,0,0,3,2,0,0,0,0
"60RF000974",41,10,13,4,2,4,1,2,0,0,1,4,0,0,0,0
"60RF000975",42,6,2,9,8,9,3,0,1,1,0,1,2,0,0,0
"60RF000976",47,9,8,6,6,6,7,0,1,0,1,2,1,0,0,0
"60RF000977",52,10,2,2,9,7,11,2,2,0,4,2,0,0,0,1
"60RF000978",42,10,1,11,2,11,3,1,1,0,2,0,0,0,0,0
"60RF000979",43,8,10,4,4,2,4,0,0,0,7,2,1,0,0,1
"60RF000980",46,2,6,4,6,14,3,3,1,0,1,0,2,0,0,4
"60RF000981",60,6,21,4,5,2,3,3,1,0,12,3,0,0,0,0
"60RF000982",46,12,0,11,7,7,2,0,0,0,1,3,1,0,1,1
"60RF000983",47,12,6,9,4,9,2,0,0,0,3,0,1,0,0,1
"60RF000984",47,4,4,17,6,7,1,0,0,0,3,3,0,0,0,2
"60RF000985",49,8,9,4,4,5,4,2,3,0,5,2,1,0,1,1
"60RF000986",49,7,3,5,13,11,2,0,0,0,5,3,0,0,0,0
"60RF000987",39,7,3,9,2,8,6,0,1,0,0,2,0,0,0,1
"60RF000988",41,7,12,4,5,2,0,0,1,0,5,3,1,0,1,0
"60RF000989",60,17,3,16,1,15,0,2,0,0,2,3,0,0,0,1
"60RF000990",41,5,6,5,1,12,0,1,2,1,6,1,0,0,0,1
"60RF000991",67,6,18,4,7,14,5,1,1,0,8,2,1,0,0,0
"60RF000992",39,2,3,5,5,15,4,0,1,0,2,1,1,0,0,0
"60RF000993",39,7,6,3,1,11,4,1,0,0,1,2,1,0,0,2
"60RF000994",65,11,11,5,4,8,5,2,2,0,7,2,5,0,0,3
"60RF000995",63,7,7,8,7,14,8,0,3,0,6,1,0,0,0,2
"60RF000996",62,12,13,11,6,8,2,1,1,0,4,0,3,0,0,1
"60RF000997",60,11,6,7,8,10,4,1,1,1,3,4,1,0,0,3
"60RF000998",63,19,8,5,10,9,3,0,1,0,1,4,1,0,0,2
"60RF000999",42,1,3,3,7,13,6,0,2,0,1,4,0,0,0,2
"60RF001000",70,6,8,10,8,14,12,0,0,0,5,5,1,0,0,1
"60RF001001",39,1,3,4,4,16,5,0,1,0,2,0,1,0,0,2
"60RF001002",57,6,16,2,7,12,5,4,0,0,4,1,0,0,0,0
"60RF001003",46,1,0,8,10,14,7,0,0,0,1,3,1,0,0,1
"60RF001004",45,9,7,3,4,6,4,5,3,0,2,0,0,0,1,1
"60RF001005",27,0,0,2,9,8,6,0,0,0,0,0,0,0,0,2
"60RF001006",39,5,8,3,6,9,6,0,1,0,0,0,0,0,0,1
