"output_area","All households","Number of households comprising: One person Pensioner","Number of households comprising: One person Other","Number of households comprising: One family and no others All pensioners","Number of households comprising: One family and no others Married couple households No children","Number of households comprising: One family and no others Married couple households With dependent children","Number of households comprising: One family and no others Married couple households All children non-dependent ","Number of households comprising: One family and no others Cohabiting couple households No children","Number of households comprising: One family and no others Cohabiting couple households With dependent children","Number of households comprising: One family and no others Cohabiting couple households All children non-dependent","Number of households comprising: One family and no others Lone parent housheolds With dependent children","Number of households comprising: One family and no others Lone parent households All children non-dependent","Number of households comprising: Other households With dependent children","Number of households comprising: Other households All student","Number of households comprising: Other households All pensioner","Number of households comprising: Other households Other"
"60QA000129",47,1,14,0,5,6,1,1,2,0,10,4,2,0,0,1
"60QA000130",39,1,14,0,3,4,3,1,4,0,7,1,1,0,0,0
"60QA000131",72,0,26,0,1,4,2,5,7,1,18,5,1,0,0,2
"60QA000132",50,5,10,2,1,5,0,5,3,0,16,0,0,0,0,3
"60QA000133",46,8,5,10,6,5,5,1,1,0,0,1,0,0,1,3
"60QA000134",39,5,11,0,2,3,1,4,1,0,9,0,3,0,0,0
"60QA000135",37,5,10,0,2,1,0,1,1,2,15,0,0,0,0,0
"60QA000136",52,3,28,2,4,0,0,8,3,0,1,0,0,0,0,3
"60QA000137",41,3,14,1,5,6,2,6,0,0,0,4,0,0,0,0
"60QA000138",62,7,26,3,5,8,1,6,4,0,1,0,0,0,0,1
"60QA000139",55,4,19,3,7,7,2,9,1,0,0,2,0,0,0,1
"60QA000140",47,9,16,2,4,1,0,1,2,1,4,3,1,0,0,3
"60QA000141",39,5,7,5,2,5,2,1,1,1,7,2,0,1,0,0
"60QA000142",29,2,9,3,2,4,1,4,0,0,0,3,0,0,0,1
"60QA000143",57,12,23,2,5,1,4,1,1,0,6,1,1,0,0,0
"60QA000144",64,9,11,3,5,3,5,2,0,0,17,5,3,0,0,1
"60QA000145",82,7,45,6,7,2,0,4,1,0,5,1,1,0,0,3
"60QA000146",45,28,3,8,4,0,0,1,0,0,0,0,0,0,0,1
"60QA000147",48,8,7,1,3,6,1,1,8,0,8,1,2,0,0,2
"60QA000148",72,9,21,3,12,7,3,3,1,0,7,1,1,0,0,4
"60QA000149",43,1,16,0,0,5,2,1,2,0,13,1,2,0,0,0
"60QA000150",51,2,15,1,3,6,1,0,1,0,10,5,3,0,0,4
"60QA000151",60,1,6,3,15,17,5,2,2,1,1,2,2,0,0,3
"60QA000152",26,4,3,3,2,5,6,1,1,0,0,1,0,0,0,0
"60QA000153",36,6,4,3,6,8,3,1,0,0,0,3,0,0,0,2
"60QA000154",42,6,10,3,7,5,3,3,0,0,0,0,0,0,0,5
"60QA000155",40,8,12,5,2,3,1,1,0,0,5,2,0,0,0,1
"60QA000156",56,6,5,2,8,15,1,2,2,2,3,3,1,0,0,6
"60QA000157",42,1,7,5,5,2,5,1,3,0,5,4,3,0,1,0
"60QA000158",65,6,9,4,6,11,8,0,0,0,8,5,4,0,0,4
"60QA000159",45,4,2,2,6,7,4,0,3,1,7,5,3,0,0,1
"60QA000160",37,2,6,5,3,6,4,1,1,0,2,4,2,0,0,1
"60QA000161",40,2,5,4,6,7,4,0,2,0,2,1,1,0,2,4
"60QA000162",42,1,7,1,2,15,2,3,4,0,2,1,1,0,0,3
"60QA000163",43,10,1,7,2,5,6,1,2,1,4,4,0,0,0,0
"60QA000164",41,2,6,5,5,11,1,1,5,0,1,2,0,0,0,2
"60QA000165",41,2,10,1,7,8,3,7,1,0,0,0,2,0,0,0
"60QA000166",68,14,6,15,12,6,6,1,1,0,3,0,0,0,2,2
"60QA000167",59,6,5,9,11,10,10,1,2,0,0,4,1,0,0,0
"60QA000168",53,6,4,10,13,9,5,1,2,0,1,1,0,1,0,0
"60QA000169",50,9,4,6,9,7,4,4,1,0,1,3,0,0,0,2
"60QA000170",48,7,5,6,13,7,5,1,1,0,1,0,1,0,0,1
"60QA000171",47,36,1,7,1,0,0,0,0,0,1,0,0,0,1,0
"60QA000172",39,5,3,4,6,6,2,1,0,1,2,5,1,0,0,3
"60QA000173",46,6,3,3,8,5,5,1,0,1,5,6,2,0,0,1
"60QA000174",44,7,3,4,6,11,3,0,3,1,1,2,0,0,0,3
"60QA000175",59,8,6,3,7,14,8,1,0,1,8,1,0,0,0,2
"60QA000176",42,7,3,6,3,4,8,0,1,0,3,1,2,0,0,4
"60QA000177",45,3,6,10,2,7,5,0,3,0,4,1,3,0,0,1
"60QA000178",23,1,1,2,4,3,4,1,0,1,1,1,2,0,0,2
"60QA000179",32,8,4,1,6,4,4,0,0,0,1,2,1,0,0,1
"60QA000180",40,2,4,3,4,10,5,1,1,2,1,4,1,0,0,2
"60QA000181",44,5,7,10,1,8,2,1,0,2,2,4,1,0,0,1
"60QA000182",46,6,5,3,1,9,4,1,3,0,10,3,0,0,1,0
"60QA000183",49,8,1,5,4,10,4,0,6,0,9,1,0,0,0,1
"60QA000184",41,1,7,1,1,7,5,1,4,0,10,3,1,0,0,0
"60QA000185",58,10,11,4,10,6,4,1,3,1,5,2,0,0,0,1
"60QA000186",41,7,11,7,4,1,1,2,1,0,3,2,1,1,0,0
"60QA000187",77,27,17,13,8,4,1,0,0,0,3,3,0,0,0,1
"60QA000188",40,11,9,2,1,5,2,2,3,0,3,2,0,0,0,0
"60QA000189",41,7,3,5,7,5,2,0,1,1,5,5,0,0,0,0
"60QA000190",48,7,6,12,5,6,5,0,1,0,4,1,0,0,0,1
"60QA000191",52,5,4,7,11,7,10,1,1,0,2,3,0,0,0,1
"60QA000192",53,10,3,7,5,13,5,3,1,0,1,2,1,0,0,2
"60QA000193",42,10,4,8,2,6,3,1,2,0,2,2,1,0,0,1
"60QA000194",50,6,5,12,9,7,3,1,0,0,4,2,0,0,1,0
"60QA000195",44,10,2,7,6,5,3,0,2,0,4,2,2,0,0,1
"60QA000196",45,5,5,5,4,4,5,2,2,0,8,2,0,0,0,3
"60QA000197",51,8,6,2,5,9,5,0,1,0,6,6,1,0,0,2
"60QA000198",40,3,2,13,4,4,3,0,2,2,3,3,1,0,0,0
"60QA000199",50,8,5,12,4,8,3,2,2,0,1,1,1,0,1,2
"60QA000200",74,14,12,13,7,10,4,1,2,0,6,1,2,0,1,1
"60QA000201",60,11,11,7,3,8,2,1,3,1,7,3,1,0,1,1
"60QA000202",55,36,0,14,1,0,2,0,0,0,0,1,0,0,1,0
"60QA000203",48,3,6,4,7,7,7,1,2,1,4,4,0,0,0,2
"60QA000204",47,14,8,5,6,2,0,2,2,0,3,3,0,0,0,2
"60QA000205",42,9,6,6,2,3,1,0,4,0,5,4,1,0,1,0
"60QA000206",36,9,5,3,5,3,0,1,1,0,8,0,0,0,0,1
"60QA000207",30,3,7,1,1,2,2,2,1,0,8,1,0,0,0,2
"60QA000208",73,7,11,6,8,9,4,0,5,2,15,4,0,0,1,1
"60QA000209",67,10,12,2,9,8,2,1,7,0,11,4,1,0,0,0
"60QA000210",41,8,8,2,3,9,5,0,1,0,3,1,0,0,0,1
"60QA000211",64,15,9,3,2,9,3,2,3,1,9,5,0,0,0,3
"60QA000212",69,11,6,11,9,5,8,2,1,1,4,6,3,0,0,2
"60QA000213",77,14,6,10,13,14,5,0,4,0,3,6,0,0,0,2
"60QA000214",63,10,10,6,7,7,7,3,3,0,2,3,2,1,1,1
"60QA000215",46,7,10,6,2,7,3,0,1,0,4,4,0,0,0,2
"60QA000216",48,8,5,2,2,11,4,3,0,0,5,2,1,1,0,4
"60QA000217",46,5,6,3,4,5,6,3,0,0,8,3,2,1,0,0
"60QA000218",45,2,7,2,12,15,2,0,0,1,0,2,0,0,0,2
"60QA000219",57,8,4,10,15,15,1,0,0,0,0,0,0,0,3,1
"60QA000220",38,9,4,3,6,9,2,2,2,0,0,1,0,0,0,0
"60QA000221",68,13,16,3,12,14,2,2,0,0,2,2,0,0,1,1
"60QA000222",73,17,3,9,6,19,5,8,1,1,0,1,1,1,0,1
"60QA000223",67,12,16,6,9,12,2,1,0,0,1,0,2,0,0,6
"60QA000224",63,9,14,9,14,8,1,4,0,0,1,1,0,0,0,2
"60QA000225",45,5,4,5,9,13,3,2,1,0,2,0,0,0,0,1
"60QA000226",55,7,9,5,7,14,5,2,1,0,2,2,1,0,0,0
"60QA000227",56,6,8,7,10,15,1,6,0,0,0,1,1,0,0,1
