"output_area","ALL PEOPLE","No qualifications or qualifications outwith these groups","Group 1","Group 2","Group 3","Group 4"
"60QS004380",74,44,13,8,0,9
"60QS004381",34,10,8,5,9,2
"60QS004382",55,25,17,8,2,3
"60QS004383",123,48,45,13,9,8
"60QS004384",44,14,15,8,4,3
"60QS004385",95,44,18,17,7,9
"60QS004386",53,18,19,8,5,3
"60QS004387",97,40,22,12,10,13
"60QS004388",51,25,10,7,3,6
"60QS004389",55,18,14,12,4,7
"60QS004390",52,24,18,1,6,3
"60QS004391",47,23,13,1,6,4
"60QS004392",41,26,6,5,1,3
"60QS004393",112,62,35,4,7,4
"60QS004394",51,22,16,8,2,3
"60QS004395",59,37,13,2,4,3
"60QS004396",51,21,13,6,8,3
"60QS004397",47,18,19,2,0,8
"60QS004398",57,25,19,1,2,10
"60QS004399",63,13,6,5,3,36
"60QS004400",52,25,11,6,4,6
"60QS004401",84,48,14,3,5,14
"60QS004402",63,20,10,11,2,20
"60QS004403",77,32,9,15,5,16
"60QS004404",89,28,18,18,11,14
"60QS004405",67,27,16,12,6,6
"60QS004406",80,46,19,5,7,3
"60QS004407",115,32,43,23,9,8
"60QS004408",129,58,34,17,11,9
"60QS004409",49,37,6,3,2,1
"60QS004410",61,37,20,2,2,0
"60QS004411",64,38,16,4,2,4
"60QS004412",61,24,16,10,4,7
"60QS004413",93,54,21,8,5,5
"60QS004414",254,60,87,47,22,38
"60QS004415",144,28,43,27,19,27
"60QS004416",44,16,4,5,7,12
"60QS004417",42,8,5,13,5,11
"60QS004418",83,42,20,11,4,6
"60QS004419",81,40,22,11,3,5
"60QS004420",48,29,11,3,1,4
"60QS004421",103,45,24,8,9,17
"60QS004422",41,19,9,5,4,4
"60QS004423",81,38,13,13,5,12
"60QS004424",96,51,21,11,1,12
"60QS004425",60,30,12,11,2,5
"60QS004426",81,43,15,8,4,11
"60QS004427",45,9,8,7,3,18
"60QS004428",35,6,5,4,1,19
"60QS004429",91,25,16,18,3,29
"60QS004430",45,28,11,4,2,0
"60QS004431",65,26,11,8,8,12
"60QS004432",79,22,23,12,3,19
"60QS004433",44,19,7,7,6,5
"60QS004434",109,67,24,7,5,6
"60QS004435",100,41,20,10,3,26
"60QS004436",82,40,24,8,4,6
"60QS004437",60,22,17,5,6,10
"60QS004438",75,18,15,16,4,22
"60QS004439",84,29,13,9,7,26
"60QS004440",90,39,19,12,5,15
"60QS004441",69,21,17,14,7,10
"60QS004442",63,16,15,17,7,8
"60QS004443",61,31,19,4,4,3
"60QS004444",82,34,23,10,4,11
"60QS004445",64,32,12,4,12,4
"60QS004446",74,32,27,4,4,7
"60QS004447",88,42,27,11,4,4
"60QS004448",93,24,31,21,10,7
"60QS004449",53,32,10,2,6,3
"60QS004450",78,9,18,14,11,26
"60QS004451",100,13,23,24,15,25
"60QS004452",69,32,19,7,6,5
"60QS004453",94,19,32,14,16,13
"60QS004454",41,8,19,8,2,4
"60QS004455",58,12,12,13,6,15
"60QS004456",131,87,31,6,1,6
"60QS004457",55,18,16,9,6,6
"60QS004458",106,64,26,6,3,7
"60QS004459",50,30,8,7,3,2
"60QS004460",126,28,39,25,12,22
"60QS004461",107,34,32,22,7,12
"60QS004462",99,55,21,8,5,10
"60QS004463",105,60,25,7,8,5
"60QS004464",51,24,17,4,1,5
"60QS004465",84,37,28,10,3,6
"60QS004466",57,30,13,10,1,3
"60QS004467",56,21,19,9,4,3
"60QS004468",99,49,28,8,10,4
"60QS004469",62,40,12,3,3,4
"60QS004470",52,27,12,3,5,5
"60QS004471",61,28,22,9,1,1
"60QS004472",64,41,14,5,4,0
"60QS004473",49,21,11,8,1,8
"60QS004474",71,36,20,10,0,5
"60QS004475",111,31,38,22,12,8
"60QS004476",55,29,16,4,1,5
"60QS004477",56,35,12,6,1,2
"60QS004478",93,53,27,12,0,1
"60QS004479",76,37,30,4,2,3
"60QS004480",117,53,48,9,6,1
"60QS004481",81,39,28,7,5,2
"60QS004482",95,43,35,11,4,2
"60QS004483",90,18,8,16,10,38
"60QS004484",35,26,5,3,0,1
"60QS004485",69,36,9,15,3,6
"60QS004486",72,30,8,22,1,11
"60QS004487",105,80,6,4,3,12
"60QS004488",70,4,4,4,5,53
"60QS004489",72,1,3,14,7,47
"60QS004490",93,44,17,8,4,20
"60QS004491",90,6,4,13,4,63
"60QS004492",101,11,2,29,7,52
"60QS004493",83,25,18,12,6,22
"60QS004494",84,12,5,27,10,30
"60QS004495",81,34,17,11,4,15
"60QS004496",208,22,23,69,21,73
"60QS004497",124,8,14,39,21,42
"60QS004498",52,6,3,22,1,20
"60QS004499",90,6,9,34,7,34
"60QS004500",63,32,12,7,7,5
"60QS004501",66,18,0,12,5,31
"60QS004502",74,33,18,6,2,15
"60QS004503",118,48,20,13,6,31
"60QS004504",60,35,12,7,1,5
"60QS004505",94,60,14,7,6,7
"60QS004506",146,11,14,36,7,78
"60QS004507",77,7,9,11,2,48
"60QS004508",47,5,5,8,3,26
"60QS004509",39,11,5,3,4,16
"60QS004510",96,67,13,8,4,4
"60QS004511",31,22,2,2,2,3
"60QS004512",75,50,18,2,3,2
"60QS004513",137,67,20,20,12,18
"60QS004514",82,34,27,10,2,9
"60QS004515",52,21,10,6,5,10
"60QS004516",87,39,12,10,10,16
"60QS004517",69,23,11,7,3,25
"60QS004518",135,63,28,15,18,11
"60QS004519",55,28,16,4,4,3
"60QS004520",86,16,13,13,9,35
"60QS004521",54,12,7,11,4,20
"60QS004522",117,33,33,18,11,22
"60QS004523",218,40,4,150,1,23
"60QS004524",120,36,27,25,5,27
"60QS004525",72,10,19,19,7,17
"60QS004526",113,58,29,15,6,5
"60QS004527",76,38,23,10,1,4
"60QS004528",62,40,9,7,2,4
"60QS004529",83,23,28,12,8,12
"60QS004530",132,49,36,19,8,20
"60QS004531",52,31,14,2,0,5
"60QS004532",66,38,13,5,5,5
"60QS004533",70,39,17,5,4,5
"60QS004534",87,32,24,11,3,17
"60QS004535",80,30,11,22,0,17
"60QS004536",75,40,16,8,2,9
"60QS004537",84,42,18,10,3,11
"60QS004538",70,29,15,8,3,15
"60QS004539",65,31,11,9,5,9
"60QS004540",80,48,13,8,5,6
"60QS004541",55,24,13,10,2,6
"60QS004542",73,44,17,5,2,5
"60QS004543",61,34,13,4,1,9
"60QS004544",65,24,19,5,5,12
"60QS004545",123,50,36,14,7,16
"60QS004546",61,17,21,5,11,7
"60QS004547",41,29,3,2,3,4
"60QS004548",100,29,24,11,14,22
"60QS004549",148,49,27,30,14,28
"60QS004550",43,25,11,4,2,1
"60QS004551",92,48,21,10,4,9
"60QS004552",121,45,32,24,9,11
"60QS004553",62,29,17,7,1,8
"60QS004554",125,63,39,9,6,8
"60QS004555",50,28,9,2,7,4
"60QS004556",131,50,31,28,5,17
"60QS004557",85,47,25,8,2,3
"60QS004558",65,38,17,4,1,5
"60QS004559",65,46,12,3,3,1
"60QS004560",55,40,6,4,3,2
"60QS004561",56,34,13,4,2,3
"60QS004562",59,44,8,2,1,4
"60QS004563",71,40,16,4,6,5
"60QS004564",59,38,11,4,1,5
"60QS004565",83,46,22,4,1,10
"60QS004566",79,37,15,8,5,14
"60QS004567",91,50,28,6,2,5
"60QS004568",50,29,11,3,2,5
"60QS004569",54,36,4,6,0,8
"60QS004570",52,26,8,4,5,9
"60QS004571",55,32,13,5,3,2
"60QS004572",82,42,20,4,3,13
"60QS004573",63,24,9,9,2,19
"60QS004574",57,21,22,8,2,4
"60QS004575",105,36,37,16,7,9
"60QS004576",46,33,8,1,1,3
"60QS004577",74,47,16,10,0,1
"60QS004578",47,36,5,4,1,1
"60QS004579",57,32,16,3,4,2
"60QS004580",46,24,12,4,3,3
"60QS004581",69,45,17,2,2,3
"60QS004582",88,55,15,7,6,5
"60QS004583",55,41,11,2,0,1
"60QS004584",50,29,16,3,1,1
"60QS004585",94,26,15,18,16,19
"60QS004586",57,37,16,1,3,0
"60QS004587",110,71,20,9,7,3
"60QS004588",74,45,20,4,3,2
"60QS004589",92,52,21,7,8,4
"60QS004590",84,23,18,12,8,23
"60QS004591",133,24,35,24,14,36
"60QS004592",89,14,17,17,13,28
"60QS004593",112,19,31,16,9,37
"60QS004594",40,8,10,8,7,7
"60QS004595",108,28,27,15,13,25
"60QS004596",105,55,26,11,6,7
"60QS004597",137,61,47,18,8,3
"60QS004598",112,67,20,16,1,8
"60QS004599",63,35,13,6,5,4
"60QS004600",114,21,36,23,19,15
"60QS004601",66,18,13,13,10,12
"60QS004602",68,41,13,5,4,5
"60QS004603",96,42,21,22,5,6
"60QS004604",65,29,15,10,5,6
"60QS004605",69,17,23,15,8,6
"60QS004606",68,15,30,8,5,10
"60QS004607",114,29,47,22,6,10
"60QS004608",94,36,30,16,5,7
"60QS004609",65,45,15,4,0,1
"60QS004610",87,52,17,6,4,8
"60QS004611",57,25,16,7,4,5
"60QS004612",93,26,18,12,7,30
"60QS004613",80,46,15,10,5,4
"60QS004614",66,28,9,12,7,10
"60QS004615",64,29,18,5,3,9
"60QS004616",103,62,21,6,4,10
"60QS004617",127,58,38,17,6,8
"60QS004618",54,39,6,5,2,2
"60QS004619",64,36,18,7,1,2
"60QS004620",86,50,22,6,1,7
"60QS004621",47,34,7,2,2,2
"60QS004622",65,52,6,4,2,1
"60QS004623",102,66,17,11,3,5
"60QS004624",43,22,12,1,2,6
"60QS004625",66,37,20,5,1,3
"60QS004626",64,38,16,2,3,5
"60QS004627",120,93,19,6,0,2
"60QS004628",53,38,8,4,1,2
"60QS004629",61,43,9,4,1,4
"60QS004630",96,62,24,6,2,2
"60QS004631",59,38,12,5,1,3
"60QS004632",28,18,3,1,3,3
"60QS004633",53,27,9,10,4,3
"60QS004634",124,68,38,9,5,4
"60QS004635",103,69,26,4,2,2
"60QS004636",41,26,5,6,3,1
"60QS004637",60,34,13,4,6,3
"60QS004638",49,33,10,3,2,1
"60QS004639",50,33,9,4,2,2
"60QS004640",87,36,29,14,4,4
"60QS004641",86,50,19,9,4,4
"60QS004642",77,37,24,5,6,5
"60QS004643",70,42,9,11,4,4
"60QS004644",55,29,6,11,2,7
"60QS004645",82,49,22,8,0,3
"60QS004646",85,40,19,13,5,8
"60QS004647",43,22,9,8,2,2
"60QS004648",80,26,17,10,9,18
"60QS004649",128,91,22,4,3,8
"60QS004650",41,35,5,0,0,1
"60QS004651",67,44,6,9,4,4
"60QS004652",61,39,7,7,3,5
"60QS004653",62,35,14,9,1,3
"60QS004654",137,65,33,25,6,8
"60QS004655",136,31,31,19,8,47
"60QS004656",96,30,28,15,1,22
"60QS004657",106,32,17,14,12,31
"60QS004658",62,11,16,15,7,13
"60QS004659",80,14,13,23,5,25
"60QS004660",163,37,24,28,13,61
"60QS004661",55,16,5,15,2,17
"60QS004662",79,26,18,12,7,16
"60QS004663",81,17,7,17,8,32
"60QS004664",43,8,5,8,4,18
"60QS004665",63,13,14,16,7,13
"60QS004666",78,17,15,12,5,29
"60QS004667",136,76,21,17,6,16
"60QS004668",71,49,11,8,2,1
"60QS004669",51,25,16,7,0,3
"60QS004670",59,24,16,9,3,7
"60QS004671",108,55,25,15,6,7
"60QS004672",41,14,22,4,0,1
"60QS004673",67,46,9,4,5,3
"60QS004674",90,66,12,6,4,2
"60QS004675",70,48,14,4,3,1
"60QS004676",95,56,25,2,6,6
"60QS004677",55,33,14,6,1,1
"60QS004678",81,32,23,14,3,9
"60QS004679",61,29,16,5,5,6
"60QS004680",101,62,25,8,1,5
"60QS004681",83,50,16,10,4,3
"60QS004682",85,54,15,10,4,2
"60QS004683",67,42,14,5,3,3
"60QS004684",103,75,14,7,1,6
"60QS004685",60,41,9,3,4,3
"60QS004686",27,21,2,2,2,0
"60QS004687",56,24,16,9,4,3
"60QS004688",53,32,13,4,0,4
"60QS004689",31,21,9,0,0,1
"60QS004690",88,57,15,7,1,8
"60QS004691",80,20,25,18,5,12
"60QS004692",68,25,24,9,6,4
"60QS004693",77,47,12,9,3,6
"60QS004694",70,35,28,4,1,2
"60QS004695",65,35,25,3,1,1
"60QS004696",60,24,21,7,4,4
"60QS004697",52,37,10,1,1,3
"60QS004698",58,34,18,4,1,1
"60QS004699",80,26,30,10,7,7
"60QS004700",103,26,40,8,10,19
"60QS004701",125,58,35,15,8,9
"60QS004702",47,27,12,5,1,2
"60QS004703",58,20,20,10,4,4
"60QS004704",61,39,12,6,2,2
"60QS004705",42,23,15,3,1,0
"60QS004706",48,29,14,2,0,3
"60QS004707",112,57,39,8,6,2
"60QS004708",109,34,25,16,18,16
"60QS004709",84,35,19,17,4,9
"60QS004710",78,31,25,7,9,6
"60QS004711",68,22,17,14,6,9
"60QS004712",133,36,49,27,5,16
"60QS004713",100,25,29,17,8,21
"60QS004714",75,29,16,11,9,10
"60QS004715",101,40,17,24,4,16
"60QS004716",81,42,20,6,6,7
"60QS004717",49,22,19,7,1,0
"60QS004718",60,21,16,8,3,12
"60QS004719",51,30,9,6,3,3
"60QS004720",60,29,16,4,2,9
"60QS004721",39,16,10,3,4,6
"60QS004722",35,16,9,8,1,1
"60QS004723",73,47,12,9,0,5
"60QS004724",71,45,20,4,0,2
"60QS004725",99,31,19,15,10,24
"60QS004726",72,34,16,5,6,11
"60QS004727",50,14,13,6,5,12
"60QS004728",40,12,13,4,4,7
"60QS004729",111,73,24,8,2,4
"60QS004730",43,29,8,3,1,2
"60QS004731",71,35,16,14,1,5
"60QS004732",73,20,39,7,5,2
"60QS004733",128,37,31,21,16,23
"60QS004734",81,43,13,13,9,3
"60QS004735",114,23,30,23,6,32
"60QS004736",98,21,24,11,14,28
"60QS004737",49,24,8,6,2,9
"60QS004738",112,28,28,22,7,27
"60QS004739",100,65,12,8,6,9
"60QS004740",65,41,13,4,5,2
"60QS004741",92,24,38,14,8,8
"60QS004742",87,25,31,15,10,6
"60QS004743",39,19,7,7,2,4
"60QS004744",38,22,6,3,2,5
"60QS004745",56,18,23,10,0,5
"60QS004746",111,52,17,17,5,20
"60QS004747",46,26,13,2,4,1
"60QS004748",77,45,17,7,4,4
"60QS004749",59,33,11,6,4,5
"60QS004750",38,23,6,7,0,2
"60QS004751",48,32,9,4,1,2
"60QS004752",53,32,9,4,1,7
"60QS004753",105,25,52,16,6,6
"60QS004754",81,40,25,9,6,1
"60QS004755",99,35,45,9,3,7
"60QS004756",88,25,33,14,2,14
"60QS004757",63,19,29,8,2,5
"60QS004758",112,66,29,8,3,6
"60QS004759",95,63,22,4,3,3
"60QS004760",97,68,15,10,3,1
"60QS004761",84,50,20,8,4,2
"60QS004762",49,33,10,1,2,3
"60QS004763",77,49,21,3,4,0
"60QS004764",84,20,35,12,11,6
"60QS004765",106,38,40,10,11,7
"60QS004766",85,51,25,4,3,2
"60QS004767",57,30,17,6,3,1
"60QS004768",73,37,20,10,5,1
"60QS004769",93,24,37,18,6,8
"60QS004770",79,38,23,4,7,7
"60QS004771",82,34,26,11,8,3
"60QS004772",104,74,22,4,1,3
"60QS004773",78,28,29,12,4,5
"60QS004774",56,33,17,1,1,4
"60QS004775",147,68,43,20,7,9
"60QS004776",106,50,34,12,5,5
"60QS004777",100,64,25,6,2,3
"60QS004778",74,44,21,5,2,2
"60QS004779",109,40,25,15,6,23
"60QS004780",49,16,12,11,5,5
"60QS004781",86,51,19,9,1,6
"60QS004782",90,36,20,12,7,15
"60QS004783",90,23,25,22,9,11
"60QS004784",193,134,21,23,5,10
"60QS004785",102,38,34,13,5,12
"60QS004786",72,38,20,6,4,4
"60QS004787",76,54,12,1,3,6
"60QS004788",128,69,36,11,5,7
"60QS004789",86,54,13,13,3,3
"60QS004790",98,69,15,9,4,1
"60QS004791",151,99,24,13,6,9
"60QS004792",82,55,12,10,0,5
"60QS004793",84,53,13,11,4,3
"60QS004794",83,63,12,6,2,0
"60QS004795",52,32,12,2,5,1
"60QS004796",102,50,22,15,7,8
"60QS004797",57,35,14,1,1,6
"60QS004798",50,44,4,2,0,0
"60QS004799",71,42,20,4,2,3
"60QS004800",51,32,12,6,1,0
"60QS004801",111,75,19,8,2,7
"60QS004802",68,45,13,3,4,3
"60QS004803",65,36,14,7,5,3
"60QS004804",44,32,5,6,1,0
"60QS004805",89,31,13,12,12,21
"60QS004806",85,11,16,10,14,34
"60QS004807",82,35,14,10,7,16
"60QS004808",95,40,24,18,2,11
"60QS004809",70,26,5,9,9,21
"60QS004810",95,10,10,17,15,43
"60QS004811",80,19,23,12,4,22
"60QS004812",64,37,11,5,4,7
"60QS004813",111,41,17,19,4,30
"60QS004814",77,25,14,11,5,22
"60QS004815",101,47,14,10,9,21
"60QS004816",53,29,7,5,3,9
"60QS004817",93,24,15,14,11,29
"60QS004818",98,45,12,11,7,23
"60QS004819",55,20,3,8,5,19
"60QS004820",119,13,12,20,12,62
"60QS004821",70,12,9,14,5,30
"60QS004822",36,3,12,2,7,12
"60QS004823",59,10,11,4,7,27
"60QS004824",49,8,5,11,4,21
"60QS004825",46,19,3,7,4,13
"60QS004826",65,12,7,13,3,30
"60QS004827",114,39,25,14,9,27
"60QS004828",82,19,11,23,6,23
"60QS004829",67,16,14,7,7,23
"60QS004830",154,43,24,19,12,56
"60QS004831",104,62,23,8,8,3
"60QS004832",91,36,25,14,3,13
"60QS004833",74,13,15,11,8,27
"60QS004834",99,24,25,15,15,20
"60QS004835",49,29,9,6,1,4
"60QS004836",62,26,15,12,2,7
"60QS004837",70,35,8,11,5,11
"60QS004838",50,9,13,13,1,14
"60QS004839",81,26,11,12,11,21
"60QS004840",66,14,8,15,11,18
"60QS004841",106,11,16,25,13,41
"60QS004842",46,7,7,11,3,18
"60QS004843",96,10,13,20,11,42
"60QS004844",127,55,16,18,7,31
"60QS004845",149,27,33,31,13,45
"60QS004846",103,12,14,16,15,46
"60QS004847",41,7,2,3,3,26
"60QS004848",85,6,16,19,11,33
"60QS004849",72,12,8,10,2,40
"60QS004850",84,12,9,14,9,40
"60QS004851",32,8,5,5,1,13
"60QS004852",82,36,12,14,9,11
"60QS004853",74,36,19,7,2,10
"60QS004854",111,58,26,12,9,6
"60QS004855",43,19,17,3,4,0
"60QS004856",74,37,21,9,4,3
"60QS004857",60,31,19,5,1,4
"60QS004858",91,65,18,4,1,3
"60QS004859",78,39,23,8,7,1
"60QS004860",70,38,17,8,1,6
"60QS004861",86,41,26,10,3,6
"60QS004862",49,32,11,4,1,1
"60QS004863",44,16,17,6,2,3
"60QS004864",73,43,11,9,2,8
"60QS004865",51,31,9,6,0,5
"60QS004866",55,25,13,8,8,1
"60QS004867",90,44,23,8,5,10
"60QS004868",98,31,24,15,10,18
"60QS004869",57,28,19,4,2,4
"60QS004870",45,25,4,4,4,8
"60QS004871",68,30,19,8,5,6
"60QS004872",42,26,5,6,3,2
"60QS004873",73,35,19,8,7,4
"60QS004874",50,21,20,4,1,4
"60QS004875",68,35,22,4,4,3
"60QS004876",54,39,7,3,1,4
"60QS004877",49,32,12,2,1,2
"60QS004878",76,34,21,14,3,4
"60QS004879",55,28,16,1,5,5
"60QS004880",107,37,30,17,6,17
"60QS004881",72,37,20,6,6,3
"60QS004882",116,34,31,18,10,23
"60QS004883",129,24,13,21,5,66
"60QS004884",40,24,12,3,0,1
"60QS004885",90,38,34,8,4,6
"60QS004886",79,58,7,7,2,5
"60QS004887",59,11,5,12,7,24
"60QS004888",81,14,4,16,7,40
"60QS004889",89,11,12,15,2,49
"60QS004890",92,18,13,18,4,39
"60QS004891",19,8,5,2,1,3
"60QS004892",96,13,23,8,7,45
"60QS004893",23,9,5,1,1,7
"60QS004894",151,25,23,30,10,63
"60QS004895",51,23,11,7,5,5
"60QS004896",66,16,10,13,5,22
"60QS004897",80,13,22,16,7,22
"60QS004898",66,20,13,15,5,13
"60QS004899",58,10,10,7,4,27
"60QS004900",96,34,13,22,8,19
"60QS004901",56,24,14,11,1,6
"60QS004902",117,23,32,21,12,29
"60QS004903",92,25,13,15,11,28
"60QS004904",113,31,26,21,10,25
"60QS004905",147,23,26,42,7,49
"60QS004906",61,8,8,11,6,28
"60QS004907",85,27,25,21,7,5
"60QS004908",66,19,20,19,4,4
"60QS004909",49,10,12,10,4,13
"60QS004910",98,27,32,21,6,12
"60QS004911",147,42,44,37,8,16
"60QS004912",66,7,17,18,7,17
"60QS004913",50,11,16,12,5,6
"60QS004914",89,32,29,11,8,9
"60QS004915",99,36,23,17,9,14
"60QS004916",48,26,13,6,1,2
"60QS004917",82,46,25,5,4,2
"60QS004918",84,39,33,5,5,2
"60QS004919",101,61,29,4,6,1
"60QS004920",56,44,7,1,2,2
"60QS004921",109,60,27,6,6,10
"60QS004922",55,29,11,9,2,4
"60QS004923",99,40,40,9,5,5
"60QS004924",60,49,7,0,1,3
"60QS004925",57,36,11,6,0,4
"60QS004926",83,52,18,3,7,3
"60QS004927",77,50,18,6,1,2
"60QS004928",92,53,26,8,4,1
"60QS004929",52,37,6,5,2,2
"60QS004930",89,43,24,7,5,10
"60QS004931",45,20,9,10,2,4
"60QS004932",81,52,9,5,7,8
"60QS004933",44,21,9,6,2,6
"60QS004934",93,52,22,11,6,2
"60QS004935",57,32,12,5,2,6
"60QS004936",107,37,42,15,6,7
"60QS004937",104,60,27,10,3,4
"60QS004938",61,31,18,7,3,2
"60QS004939",67,39,17,7,2,2
"60QS004940",56,38,10,7,0,1
"60QS004941",51,32,13,3,2,1
"60QS004942",74,47,21,4,2,0
"60QS004943",58,33,17,7,1,0
"60QS004944",103,61,22,13,4,3
"60QS004945",53,24,14,10,2,3
"60QS004946",47,31,11,2,1,2
"60QS004947",102,11,23,13,8,47
"60QS004948",75,16,12,17,6,24
"60QS004949",130,36,28,30,16,20
"60QS004950",45,8,8,9,7,13
"60QS004951",100,40,22,21,7,10
"60QS004952",64,22,20,16,2,4
"60QS004953",140,79,32,16,6,7
"60QS004954",80,52,15,8,1,4
"60QS004955",66,49,9,3,3,2
"60QS004956",104,20,30,18,11,25
"60QS004957",118,34,21,20,12,31
"60QS004958",156,40,58,21,12,25
"60QS004959",95,17,36,20,8,14
"60QS004960",142,37,55,22,12,16
"60QS004961",65,15,21,14,10,5
"60QS004962",95,59,15,9,5,7
"60QS004963",57,30,16,3,4,4
"60QS004964",76,49,15,8,2,2
"60QS004965",63,16,26,7,4,10
"60QS004966",50,27,10,7,1,5
"60QS004967",100,48,31,10,7,4
"60QS004968",39,24,7,8,0,0
"60QS004969",95,47,25,10,6,7
"60QS004970",41,21,13,5,1,1
"60QS004971",42,20,8,6,1,7
"60QS004972",101,53,13,5,9,21
"60QS004973",89,31,32,14,2,10
"60QS004974",73,39,19,9,1,5
"60QS004975",116,17,24,23,11,41
"60QS004976",77,34,29,5,3,6
"60QS004977",78,45,9,5,7,12
"60QS004978",106,73,17,7,3,6
"60QS004979",102,31,14,19,9,29
"60QS004980",42,32,8,0,1,1
"60QS004981",80,33,12,11,7,17
"60QS004982",85,59,16,7,3,0
"60QS004983",61,35,16,3,4,3
"60QS004984",125,66,36,12,7,4
"60QS004985",43,31,3,4,1,4
"60QS004986",40,18,10,2,3,7
"60QS004987",126,61,32,11,11,11
"60QS004988",108,62,21,10,4,11
"60QS004989",73,28,24,7,5,9
"60QS004990",41,17,9,5,0,10
"60QS004991",63,43,10,3,3,4
"60QS004992",84,46,18,10,4,6
"60QS004993",50,21,9,14,2,4
"60QS004994",74,36,22,4,7,5
"60QS004995",77,11,11,8,13,34
"60QS004996",59,13,19,13,4,10
"60QS004997",82,39,27,4,2,10
"60QS004998",38,23,9,5,0,1
"60QS004999",84,51,19,9,3,2
"60QS005000",77,38,20,7,8,4
"60QS005001",47,19,18,6,2,2
"60QS005002",58,18,10,16,5,9
"60QS005003",68,43,15,2,2,6
"60QS005004",67,19,27,13,3,5
"60QS005005",100,37,32,12,9,10
"60QS005006",64,33,18,8,4,1
"60QS005007",52,26,12,9,2,3
"60QS005008",62,37,12,5,4,4
"60QS005009",75,33,18,12,5,7
"60QS005010",71,30,26,7,3,5
"60QS005011",112,24,28,17,9,34
"60QS005012",54,18,17,10,3,6
"60QS005013",94,26,30,17,12,9
"60QS005014",71,23,25,13,7,3
"60QS005015",85,21,24,19,15,6
"60QS005016",44,28,4,7,2,3
"60QS005017",52,32,7,9,2,2
"60QS005018",59,35,14,5,3,2
"60QS005019",48,24,13,8,2,1
"60QS005020",83,49,21,9,2,2
"60QS005021",44,18,16,5,2,3
"60QS005022",92,52,23,10,4,3
"60QS005023",61,28,17,10,2,4
"60QS005024",79,17,20,12,12,18
"60QS005025",134,23,30,22,23,36
"60QS005026",129,69,30,14,7,9
"60QS005027",54,28,15,6,4,1
"60QS005028",77,38,25,8,2,4
"60QS005029",84,47,21,11,4,1
"60QS005030",117,84,21,4,5,3
"60QS005031",101,62,15,10,5,9
"60QS005032",56,42,7,4,1,2
"60QS005033",94,50,30,5,4,5
"60QS005034",105,52,28,16,3,6
"60QS005035",113,48,28,10,7,20
"60QS005036",48,23,14,6,2,3
"60QS005037",98,21,42,12,10,13
"60QS005038",117,66,20,18,4,9
"60QS005039",63,19,16,12,7,9
"60QS005040",70,42,17,6,5,0
"60QS005041",93,34,29,11,3,16
"60QS005042",63,40,14,5,1,3
"60QS005043",102,31,35,18,11,7
"60QS005044",114,34,48,15,6,11
"60QS005045",63,41,15,2,1,4
"60QS005046",56,36,12,4,3,1
"60QS005047",110,23,30,15,15,27
"60QS005048",110,31,21,25,9,24
"60QS005049",102,19,22,27,7,27
"60QS005050",88,11,17,19,11,30
"60QS005051",129,21,44,29,10,25
"60QS005052",133,22,33,25,11,42
"60QS005053",107,9,26,14,10,48
"60QS005054",96,11,19,20,9,37
"60QS005055",104,17,32,16,9,30
"60QS005056",199,42,52,44,21,40
"60QS005057",95,22,26,19,12,16
"60QS005058",133,32,33,20,12,36
"60QS005059",110,35,24,22,8,21
"60QS005060",101,36,37,8,11,9
"60QS005061",105,33,33,15,6,18
"60QS005062",87,19,31,9,15,13
"60QS005063",70,26,16,11,6,11
"60QS005064",92,36,23,11,11,11
"60QS005065",64,19,26,11,4,4
"60QS005066",55,29,11,7,3,5
"60QS005067",118,34,25,17,7,35
"60QS005068",130,45,43,18,12,12
"60QS005069",132,25,34,35,10,28
"60QS005070",76,24,22,19,4,7
"60QS005071",101,28,26,22,8,17
"60QS005072",66,17,16,13,7,13
"60QS005073",98,30,27,18,6,17
"60QS005074",80,24,25,13,4,14
"60QS005075",69,37,16,7,5,4
"60QS005076",63,42,7,8,1,5
"60QS005077",49,29,10,4,4,2
"60QS005078",121,71,24,12,4,10
"60QS005079",98,17,33,19,10,19
"60QS005080",120,30,34,19,15,22
"60QS005081",60,7,19,15,8,11
"60QS005082",151,58,36,20,15,22
"60QS005083",98,45,23,12,4,14
"60QS005084",86,51,25,2,7,1
"60QS005085",165,115,29,11,4,6
"60QS005086",64,48,11,3,0,2
"60QS005087",49,33,9,1,3,3
"60QS005088",58,36,8,3,4,7
"60QS005089",140,54,37,18,5,26
"60QS005090",110,7,14,22,6,61
"60QS005091",93,16,13,19,8,37
"60QS005092",93,26,7,23,8,29
"60QS005093",117,13,6,42,13,43
"60QS005094",62,2,4,23,10,23
"60QS005095",95,20,3,15,4,53
"60QS005096",60,4,8,19,7,22
"60QS005097",56,10,6,13,6,21
"60QS005098",71,8,7,8,4,44
"60QS005099",138,43,19,27,11,38
"60QS005100",131,49,39,25,4,14
"60QS005101",94,37,30,13,9,5
"60QS005102",81,9,4,22,5,41
"60QS005103",87,3,11,15,12,46
"60QS005104",127,35,56,17,8,11
"60QS005105",80,23,25,17,4,11
"60QS005106",52,6,14,10,7,15
"60QS005107",61,12,17,10,8,14
"60QS005108",128,28,31,25,16,28
"60QS005109",138,29,45,29,12,23
"60QS005110",156,39,37,23,20,37
"60QS005111",98,14,21,25,7,31
"60QS005112",68,10,21,8,6,23
"60QS005113",104,13,23,25,12,31
