"dz_2011","la_name","year","total","none"
"S01006852","Aberdeenshire",2001,267,14
"S01006853","Aberdeenshire",2001,412,12
"S01006854","Aberdeenshire",2001,354,38
"S01006855","Aberdeenshire",2001,279,8
"S01006856","Aberdeenshire",2001,235,11
"S01006857","Aberdeenshire",2001,360,26
"S01006858","Aberdeenshire",2001,299,3
"S01006859","Aberdeenshire",2001,415,19
"S01006860","Aberdeenshire",2001,259,82
"S01006861","Aberdeenshire",2001,188,24
"S01006862","Aberdeenshire",2001,303,52
"S01006863","Aberdeenshire",2001,269,55
"S01006864","Aberdeenshire",2001,114,6
"S01006865","Aberdeenshire",2001,552,103
"S01006866","Aberdeenshire",2001,212,11
"S01006867","Aberdeenshire",2001,278,32
"S01006868","Aberdeenshire",2001,342,73
"S01006869","Aberdeenshire",2001,191,19
"S01006870","Aberdeenshire",2001,166,17
"S01006871","Aberdeenshire",2001,253,28
"S01006872","Aberdeenshire",2001,267,15
"S01006873","Aberdeenshire",2001,399,50
"S01006874","Aberdeenshire",2001,222,7
"S01006875","Aberdeenshire",2001,295,43
"S01006876","Aberdeenshire",2001,413,36
"S01006877","Aberdeenshire",2001,408,9
"S01006878","Aberdeenshire",2001,313,43
"S01006879","Aberdeenshire",2001,354,19
"S01006880","Aberdeenshire",2001,196,2
"S01006881","Aberdeenshire",2001,283,12
"S01006882","Aberdeenshire",2001,215,71
"S01006883","Aberdeenshire",2001,173,29
"S01006884","Aberdeenshire",2001,348,49
"S01006885","Aberdeenshire",2001,203,25
"S01006886","Aberdeenshire",2001,299,33
"S01006887","Aberdeenshire",2001,256,12
"S01006888","Aberdeenshire",2001,278,12
"S01006889","Aberdeenshire",2001,425,74
"S01006890","Aberdeenshire",2001,265,14
"S01006891","Aberdeenshire",2001,576,120
"S01006892","Aberdeenshire",2001,271,66
"S01006893","Aberdeenshire",2001,195,35
"S01006894","Aberdeenshire",2001,519,116
"S01006895","Aberdeenshire",2001,265,51
"S01006896","Aberdeenshire",2001,423,88
"S01006897","Aberdeenshire",2001,284,31
"S01006898","Aberdeenshire",2001,440,60
"S01006899","Aberdeenshire",2001,348,23
"S01006900","Aberdeenshire",2001,233,13
"S01006901","Aberdeenshire",2001,269,75
"S01006902","Aberdeenshire",2001,282,53
"S01006903","Aberdeenshire",2001,444,114
"S01006904","Aberdeenshire",2001,291,42
"S01006905","Aberdeenshire",2001,437,98
"S01006906","Aberdeenshire",2001,461,191
"S01006907","Aberdeenshire",2001,294,72
"S01006908","Aberdeenshire",2001,461,161
"S01006909","Aberdeenshire",2001,308,10
"S01006910","Aberdeenshire",2001,421,33
"S01006911","Aberdeenshire",2001,208,8
"S01006912","Aberdeenshire",2001,219,10
"S01006913","Aberdeenshire",2001,156,6
"S01006914","Aberdeenshire",2001,242,9
"S01006915","Aberdeenshire",2001,277,18
"S01006916","Aberdeenshire",2001,120,6
"S01006917","Aberdeenshire",2001,264,12
"S01006918","Aberdeenshire",2001,179,18
"S01006919","Aberdeenshire",2001,194,22
"S01006920","Aberdeenshire",2001,247,65
"S01006921","Aberdeenshire",2001,255,16
"S01006922","Aberdeenshire",2001,224,13
"S01006923","Aberdeenshire",2001,323,52
"S01006924","Aberdeenshire",2001,201,2
"S01006925","Aberdeenshire",2001,212,20
"S01006926","Aberdeenshire",2001,160,2
"S01006927","Aberdeenshire",2001,138,0
"S01006928","Aberdeenshire",2001,455,40
"S01006929","Aberdeenshire",2001,249,1
"S01006930","Aberdeenshire",2001,432,13
"S01006931","Aberdeenshire",2001,124,4
"S01006932","Aberdeenshire",2001,120,0
"S01006933","Aberdeenshire",2001,220,5
"S01006934","Aberdeenshire",2001,194,16
"S01006935","Aberdeenshire",2001,300,21
"S01006936","Aberdeenshire",2001,266,22
"S01006937","Aberdeenshire",2001,322,21
"S01006938","Aberdeenshire",2001,263,49
"S01006939","Aberdeenshire",2001,238,4
"S01006940","Aberdeenshire",2001,364,29
"S01006941","Aberdeenshire",2001,248,28
"S01006942","Aberdeenshire",2001,355,21
"S01006943","Aberdeenshire",2001,124,10
"S01006944","Aberdeenshire",2001,155,11
"S01006945","Aberdeenshire",2001,248,9
"S01006946","Aberdeenshire",2001,335,14
"S01006947","Aberdeenshire",2001,240,9
"S01006948","Aberdeenshire",2001,424,58
"S01006949","Aberdeenshire",2001,212,8
"S01006950","Aberdeenshire",2001,140,20
"S01006951","Aberdeenshire",2001,175,23
"S01006952","Aberdeenshire",2001,386,33
"S01006953","Aberdeenshire",2001,422,19
"S01006954","Aberdeenshire",2001,298,10
"S01006955","Aberdeenshire",2001,243,45
"S01006956","Aberdeenshire",2001,360,19
"S01006957","Aberdeenshire",2001,401,27
"S01006958","Aberdeenshire",2001,422,52
"S01006959","Aberdeenshire",2001,528,184
"S01006960","Aberdeenshire",2001,225,10
"S01006961","Aberdeenshire",2001,225,10
"S01006962","Aberdeenshire",2001,403,60
"S01006963","Aberdeenshire",2001,276,17
"S01006964","Aberdeenshire",2001,326,41
"S01006965","Aberdeenshire",2001,214,21
"S01006966","Aberdeenshire",2001,245,54
"S01006967","Aberdeenshire",2001,232,10
"S01006968","Aberdeenshire",2001,224,29
"S01006969","Aberdeenshire",2001,605,80
"S01006970","Aberdeenshire",2001,275,7
"S01006971","Aberdeenshire",2001,236,54
"S01006972","Aberdeenshire",2001,173,3
"S01006973","Aberdeenshire",2001,280,44
"S01006974","Aberdeenshire",2001,354,19
"S01006975","Aberdeenshire",2001,439,31
"S01006976","Aberdeenshire",2001,155,5
"S01006977","Aberdeenshire",2001,268,14
"S01006978","Aberdeenshire",2001,416,45
"S01006979","Aberdeenshire",2001,298,40
"S01006980","Aberdeenshire",2001,356,18
"S01006981","Aberdeenshire",2001,291,16
"S01006982","Aberdeenshire",2001,310,36
"S01006983","Aberdeenshire",2001,484,24
"S01006984","Aberdeenshire",2001,235,14
"S01006985","Aberdeenshire",2001,452,65
"S01006986","Aberdeenshire",2001,205,36
"S01006987","Aberdeenshire",2001,287,60
"S01006988","Aberdeenshire",2001,197,5
"S01006989","Aberdeenshire",2001,380,15
"S01006990","Aberdeenshire",2001,295,8
"S01006991","Aberdeenshire",2001,220,62
"S01006992","Aberdeenshire",2001,289,16
"S01006993","Aberdeenshire",2001,183,6
"S01006994","Aberdeenshire",2001,208,13
"S01006995","Aberdeenshire",2001,360,18
"S01006996","Aberdeenshire",2001,291,25
"S01006997","Aberdeenshire",2001,305,14
"S01006998","Aberdeenshire",2001,432,32
"S01006999","Aberdeenshire",2001,425,20
"S01007000","Aberdeenshire",2001,388,77
"S01007001","Aberdeenshire",2001,330,46
"S01007002","Aberdeenshire",2001,240,30
"S01007003","Aberdeenshire",2001,183,6
"S01007004","Aberdeenshire",2001,273,16
"S01007005","Aberdeenshire",2001,381,19
"S01007006","Aberdeenshire",2001,357,63
"S01007007","Aberdeenshire",2001,367,19
"S01007008","Aberdeenshire",2001,435,146
"S01007009","Aberdeenshire",2001,494,153
"S01007010","Aberdeenshire",2001,397,101
"S01007011","Aberdeenshire",2001,444,199
"S01007012","Aberdeenshire",2001,321,139
"S01007013","Aberdeenshire",2001,212,15
"S01007014","Aberdeenshire",2001,320,17
"S01007015","Aberdeenshire",2001,233,10
"S01007016","Aberdeenshire",2001,189,11
"S01007017","Aberdeenshire",2001,549,182
"S01007018","Aberdeenshire",2001,459,79
"S01007019","Aberdeenshire",2001,372,92
"S01007020","Aberdeenshire",2001,454,166
"S01007021","Aberdeenshire",2001,521,124
"S01007022","Aberdeenshire",2001,233,29
"S01007023","Aberdeenshire",2001,210,29
"S01007024","Aberdeenshire",2001,378,36
"S01007025","Aberdeenshire",2001,387,126
"S01007026","Aberdeenshire",2001,416,119
"S01007027","Aberdeenshire",2001,553,121
"S01007028","Aberdeenshire",2001,279,15
"S01007029","Aberdeenshire",2001,270,18
"S01007030","Aberdeenshire",2001,348,61
"S01007031","Aberdeenshire",2001,272,77
"S01007032","Aberdeenshire",2001,597,223
"S01007033","Aberdeenshire",2001,336,106
"S01007034","Aberdeenshire",2001,248,95
"S01007035","Aberdeenshire",2001,456,190
"S01007036","Aberdeenshire",2001,417,92
"S01007037","Aberdeenshire",2001,520,135
"S01007038","Aberdeenshire",2001,323,105
"S01007039","Aberdeenshire",2001,315,90
"S01007040","Aberdeenshire",2001,290,98
"S01007041","Aberdeenshire",2001,413,104
"S01007042","Aberdeenshire",2001,444,104
"S01007043","Aberdeenshire",2001,402,17
"S01007044","Aberdeenshire",2001,304,57
"S01007045","Aberdeenshire",2001,426,17
"S01007046","Aberdeenshire",2001,300,58
"S01007047","Aberdeenshire",2001,239,19
"S01007048","Aberdeenshire",2001,338,22
"S01007049","Aberdeenshire",2001,500,151
"S01007050","Aberdeenshire",2001,315,59
"S01007051","Aberdeenshire",2001,340,64
"S01007052","Aberdeenshire",2001,208,28
"S01007053","Aberdeenshire",2001,186,8
"S01007054","Aberdeenshire",2001,1059,266
"S01007055","Aberdeenshire",2001,181,7
"S01007056","Aberdeenshire",2001,260,17
"S01007057","Aberdeenshire",2001,236,33
"S01007058","Aberdeenshire",2001,278,84
"S01007059","Aberdeenshire",2001,421,59
"S01007060","Aberdeenshire",2001,241,69
"S01007061","Aberdeenshire",2001,384,11
"S01007062","Aberdeenshire",2001,238,9
"S01007063","Aberdeenshire",2001,256,42
"S01007064","Aberdeenshire",2001,266,34
"S01007065","Aberdeenshire",2001,238,24
"S01007066","Aberdeenshire",2001,258,21
"S01007067","Aberdeenshire",2001,350,30
"S01007068","Aberdeenshire",2001,305,66
"S01007069","Aberdeenshire",2001,399,83
"S01007070","Aberdeenshire",2001,288,84
"S01007071","Aberdeenshire",2001,346,58
"S01007072","Aberdeenshire",2001,234,17
"S01007073","Aberdeenshire",2001,344,24
"S01007074","Aberdeenshire",2001,453,128
"S01007075","Aberdeenshire",2001,337,108
"S01007076","Aberdeenshire",2001,285,55
"S01007077","Aberdeenshire",2001,312,70
"S01007078","Aberdeenshire",2001,395,131
"S01007079","Aberdeenshire",2001,535,232
"S01007080","Aberdeenshire",2001,385,160
"S01007081","Aberdeenshire",2001,367,146
"S01007082","Aberdeenshire",2001,222,86
"S01007083","Aberdeenshire",2001,438,227
"S01007084","Aberdeenshire",2001,334,105
"S01007085","Aberdeenshire",2001,383,150
"S01007086","Aberdeenshire",2001,630,390
"S01007087","Aberdeenshire",2001,440,228
"S01007088","Aberdeenshire",2001,249,140
"S01007089","Aberdeenshire",2001,217,7
"S01007090","Aberdeenshire",2001,235,29
"S01007091","Aberdeenshire",2001,260,20
"S01007092","Aberdeenshire",2001,308,112
"S01007093","Aberdeenshire",2001,559,58
"S01007094","Aberdeenshire",2001,338,39
"S01007095","Aberdeenshire",2001,250,18
"S01007096","Aberdeenshire",2001,289,36
"S01007097","Aberdeenshire",2001,135,4
"S01007098","Aberdeenshire",2001,364,22
"S01007099","Aberdeenshire",2001,312,43
"S01007100","Aberdeenshire",2001,289,34
"S01007101","Aberdeenshire",2001,322,84
"S01007102","Aberdeenshire",2001,234,13
"S01007103","Aberdeenshire",2001,402,77
"S01007104","Aberdeenshire",2001,182,10
"S01007105","Aberdeenshire",2001,236,66
"S01007106","Aberdeenshire",2001,317,87
"S01007107","Aberdeenshire",2001,275,13
"S01007108","Aberdeenshire",2001,286,15
"S01007109","Aberdeenshire",2001,336,133
"S01007110","Aberdeenshire",2001,365,105
"S01007111","Aberdeenshire",2001,318,72
"S01007112","Aberdeenshire",2001,204,17
"S01007113","Aberdeenshire",2001,221,36
"S01007114","Aberdeenshire",2001,619,144
"S01007115","Aberdeenshire",2001,291,19
"S01007116","Aberdeenshire",2001,350,15
"S01007117","Aberdeenshire",2001,179,3
"S01007118","Aberdeenshire",2001,378,113
"S01007119","Aberdeenshire",2001,392,113
"S01007120","Aberdeenshire",2001,440,162
"S01007121","Aberdeenshire",2001,296,180
"S01007122","Aberdeenshire",2001,290,112
"S01007123","Aberdeenshire",2001,315,128
"S01007124","Aberdeenshire",2001,455,139
"S01007125","Aberdeenshire",2001,319,107
"S01007126","Aberdeenshire",2001,381,197
"S01007127","Aberdeenshire",2001,423,216
"S01007128","Aberdeenshire",2001,493,240
"S01007129","Angus",2001,317,23
"S01007130","Angus",2001,260,44
"S01007131","Angus",2001,394,55
"S01007132","Angus",2001,520,64
"S01007133","Angus",2001,216,10
"S01007134","Angus",2001,286,37
"S01007135","Angus",2001,192,10
"S01007136","Angus",2001,198,6
"S01007137","Angus",2001,173,21
"S01007138","Angus",2001,335,25
"S01007139","Angus",2001,306,33
"S01007140","Angus",2001,359,16
"S01007141","Angus",2001,260,23
"S01007142","Angus",2001,69,6
"S01007143","Angus",2001,308,8
"S01007144","Angus",2001,230,15
"S01007145","Angus",2001,414,99
"S01007146","Angus",2001,329,69
"S01007147","Angus",2001,305,25
"S01007148","Angus",2001,206,5
"S01007149","Angus",2001,255,14
"S01007150","Angus",2001,351,57
"S01007151","Angus",2001,310,27
"S01007152","Angus",2001,227,33
"S01007153","Angus",2001,287,61
"S01007154","Angus",2001,438,180
"S01007155","Angus",2001,282,85
"S01007156","Angus",2001,309,44
"S01007157","Angus",2001,283,64
