"dz_2011","la_name","year","total","nonretired","employed","unemployed","student","sick_disabled"
"S01006949","Aberdeenshire",2001,426,392,313,8,30,5
"S01006950","Aberdeenshire",2001,240,232,196,0,16,4
"S01006951","Aberdeenshire",2001,347,314,254,7,28,4
"S01006952","Aberdeenshire",2001,735,650,508,14,43,24
"S01006953","Aberdeenshire",2001,878,818,660,10,55,13
"S01006954","Aberdeenshire",2001,634,587,464,9,65,8
"S01006955","Aberdeenshire",2001,415,392,310,10,36,9
"S01006956","Aberdeenshire",2001,765,728,583,10,79,12
"S01006957","Aberdeenshire",2001,794,708,564,20,48,20
"S01006958","Aberdeenshire",2001,735,612,466,11,44,27
"S01006959","Aberdeenshire",2001,756,609,482,11,32,40
"S01006960","Aberdeenshire",2001,500,460,350,0,55,15
"S01006961","Aberdeenshire",2001,500,460,350,0,55,15
"S01006962","Aberdeenshire",2001,708,589,465,12,54,16
"S01006963","Aberdeenshire",2001,598,557,423,13,51,13
"S01006964","Aberdeenshire",2001,574,549,451,15,37,8
"S01006965","Aberdeenshire",2001,420,371,297,10,26,11
"S01006966","Aberdeenshire",2001,481,430,315,18,31,24
"S01006967","Aberdeenshire",2001,487,458,367,10,37,8
"S01006968","Aberdeenshire",2001,449,394,319,8,24,15
"S01006969","Aberdeenshire",2001,1083,960,804,22,65,14
"S01006970","Aberdeenshire",2001,606,562,417,6,71,16
"S01006971","Aberdeenshire",2001,425,362,273,12,31,14
"S01006972","Aberdeenshire",2001,340,315,254,5,23,5
"S01006973","Aberdeenshire",2001,519,475,367,11,40,19
"S01006974","Aberdeenshire",2001,717,661,516,18,51,7
"S01006975","Aberdeenshire",2001,872,809,629,29,36,37
